study,flop,hand,status,reach_weight,share_of_study,share_of_class,positive_reach_rows,positive_reach_boards,frequencies_X,frequencies_B,action_ev_bb_X,action_ev_bb_B,forced_action_local_regret_bb_X,forced_action_local_regret_bb_B,extra_loss_vs_mixed_bb_X,extra_loss_vs_mixed_bb_B,action_loss_p95_bb_X,action_loss_p95_bb_B,action_loss_mass_gt_05_X,action_loss_mass_gt_05_B,action_loss_mass_gt_10_X,action_loss_mass_gt_10_B,mixed_ev_bb,frequencies_F,frequencies_C,frequencies_R,action_ev_bb_F,action_ev_bb_C,action_ev_bb_R,forced_action_local_regret_bb_F,forced_action_local_regret_bb_C,forced_action_local_regret_bb_R,extra_loss_vs_mixed_bb_F,extra_loss_vs_mixed_bb_C,extra_loss_vs_mixed_bb_R,action_loss_p95_bb_F,action_loss_p95_bb_C,action_loss_p95_bb_R,action_loss_mass_gt_05_F,action_loss_mass_gt_05_C,action_loss_mass_gt_05_R,action_loss_mass_gt_10_F,action_loss_mass_gt_10_C,action_loss_mass_gt_10_R
UTG_BB_BET,ABB,Two pair+,observed,54088.231400000004,0.004080826661583974,0.23460320111640703,293,6,0.007938789178784274,0.9920612147213613,7.091122867070636,7.131883985533293,0.04076111846265693,0.0,0.04060442846206746,-0.00015669000058947117,0.120729999999998,0.0,0.0,0.0,0.0,0.0,7.131727312045791,,,,,,,,,,,,,,,,,,,,,
UTG_BB_BET,ABB,Overpair,no_rows,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTG_BB_BET,ABB,Top pair,observed,60622.127,0.004573793332490618,0.2629434293665104,288,6,0.014790450567216161,0.9852095599494387,4.1129399120537276,4.139251212789349,0.026311300735620873,0.0,0.02618945201312952,-0.00012184872249135302,0.0789200000000001,0.0,0.0,0.0,0.0,0.0,4.139129410701567,,,,,,,,,,,,,,,,,,,,,
UTG_BB_BET,ABB,Second pair,observed,32177.147300000004,0.0024276881901439803,0.13956569782339295,198,6,0.03020438720550594,0.9697956200982549,3.4871904447828097,3.5311490768286657,0.044013655394678226,5.502334882247435e-05,0.04194144009514349,-0.002017191950712262,0.11267,0.0,0.0,0.0,0.0,0.0,3.529131909458321,,,,,,,,,,,,,,,,,,,,,
UTG_BB_BET,ABB,Third pair,observed,16041.506664,0.001210293004448805,0.06957869977801817,135,6,0.02902168123888964,0.9709783396972365,3.3180794171517958,3.346483214964662,0.028417574658287693,1.3776845421633909e-05,0.02782033190002324,-0.0005834659128428172,0.0659899999999998,0.0,0.0,0.0,0.0,0.0,3.3458998231467594,,,,,,,,,,,,,,,,,,,,,
UTG_BB_BET,ABB,Underpair,observed,5153.442000000001,0.0003888147748259826,0.022352625676123308,24,3,0.005643132850238733,0.9943569093386516,3.5865091055414995,3.598331377328006,0.011838937618779848,1.6665832272856705e-05,0.011791434860544722,-3.083692596226807e-05,0.0369099999999998,0.0,0.0,0.0,0.0,0.0,3.5983006943965585,,,,,,,,,,,,,,,,,,,,,
UTG_BB_BET,ABB,Weak pair,observed,43164.68089999999,0.003256671111185279,0.18722321015488463,336,6,0.012627734433231964,0.9873722643879596,2.540269880923827,2.5635597610704686,0.02331264245090252,2.2762304261583257e-05,0.022980554648663557,-0.0003093254979773824,0.0605899999999995,0.0,0.0,0.0,0.0,0.0,2.5632504329545807,,,,,,,,,,,,,,,,,,,,,
UTG_BB_BET,ABB,Combo draw,observed,10437.925396,0.0007875163070615997,0.045273632498840415,93,6,0.012716720925023555,0.9872832691301842,3.0239483257072663,3.0367765856763747,0.012828259969107804,0.0,0.012766566855284801,-6.169311382300374e-05,0.0415600000000005,0.0,0.0,0.0,0.0,0.0,3.0367148638629744,,,,,,,,,,,,,,,,,,,,,
UTG_BB_BET,ABB,OESD,observed,484.47556,3.655251301365025e-05,0.0021013724112758456,5,3,0.05273126615220797,0.9472687338477921,3.6111234296087096,3.63511611007416,0.023992680465449848,0.0,0.023713289769217764,-0.0002793906962320845,0.0632299999999995,0.0,0.0,0.0,0.0,0.0,3.6348367193779274,,,,,,,,,,,,,,,,,,,,,
UTG_BB_BET,ABB,Gutshot,observed,2986.5702079999996,0.00022532952207971054,0.01295399965981682,26,6,0.03507041620070296,0.9649295837992973,2.5632949924013304,2.5764844889129495,0.013190853383547908,1.3568719292602056e-06,0.012839430045265526,-0.00035006646635312144,0.0191600000000003,0.0,0.0,0.0,0.0,0.0,2.576134422446596,,,,,,,,,,,,,,,,,,,,,
