"board","combo","reach_probability","check_frequency","bet_frequency","ev_check_utg","ev_bet_utg","mixed_ev_utg","best_ev_action","best_ev_utg","highest_frequency_action","highest_frequency","loss_if_check_utg","loss_if_bet_utg","iteration","exploitability"
"As Kh Qd","2c2d","12,7811","0","1","2,36877","2,44836","2,44836","B","2,44836","B","1","0,07959","0","113","0,4717705249786377"
"As Kh Qd","2c2h","12,8102","0","1","2,37089","2,44178","2,44178","B","2,44178","B","1","0,0708899999999999","0","113","0,4717705249786377"
"As Kh Qd","2c2s","12,8327","0","1","2,35327","2,42664","2,42664","B","2,42664","B","1","0,0733700000000002","0","113","0,4717705249786377"
"As Kh Qd","2cAc","169,654","0","1","3,69973","3,7814","3,7814","B","3,7814","B","1","0,0816699999999999","0","113","0,4717705249786377"
"As Kh Qd","2d2h","12,8102","0","1","2,40178","2,47851","2,47851","B","2,47851","B","1","0,07673","0","113","0,4717705249786377"
"As Kh Qd","2d2s","12,8327","0","1","2,38439","2,46908","2,46908","B","2,46908","B","1","0,0846899999999997","0","113","0,4717705249786377"
"As Kh Qd","2dAd","169,006","0,001921","0,998079","4,0898","4,0933","4,0932932765","B","4,0933","B","0,998079","0,00349999999999984","0","113","0,4717705249786377"
"As Kh Qd","2h2s","12,8619","0","1","2,38647","2,45935","2,45935","B","2,45935","B","1","0,0728799999999996","0","113","0,4717705249786377"
"As Kh Qd","2hAh","169,879","0,007294","0,992706","4,0694","4,07435","4,0743138947","B","4,07435","B","0,992706","0,00495000000000001","0","113","0,4717705249786377"
"As Kh Qd","3c3d","15,3537","1E-05","0,99999","2,34271","2,40486","2,4048593785","B","2,40486","B","0,99999","0,0621500000000004","0","113","0,4717705249786377"
"As Kh Qd","3c3h","15,3956","3E-05","0,99997","2,34072","2,39797","2,3979682825","B","2,39797","B","0,99997","0,0572499999999998","0","113","0,4717705249786377"
"As Kh Qd","3c3s","15,4072","3E-06","0,999997","2,32908","2,38659","2,38658982747","B","2,38659","B","0,999997","0,0575099999999997","0","113","0,4717705249786377"
"As Kh Qd","3cAc","216,706","0","1","3,69318","3,77147","3,77147","B","3,77147","B","1","0,0782899999999995","0","113","0,4717705249786377"
"As Kh Qd","3d3h","15,3956","2,1E-05","0,999979","2,37576","2,43518","2,43517875218","B","2,43518","B","0,999979","0,0594199999999998","0","113","0,4717705249786377"
"As Kh Qd","3d3s","15,4072","0","1","2,36365","2,42987","2,42987","B","2,42987","B","1","0,0662199999999999","0","113","0,4717705249786377"
"As Kh Qd","3dAd","215,874","0,003364","0,996636","4,07892","4,08244","4,08242815872","B","4,08244","B","0,996636","0,00351999999999997","0","113","0,4717705249786377"
"As Kh Qd","3h3s","15,4491","5E-06","0,999995","2,36192","2,41924","2,4192397134","B","2,41924","B","0,999995","0,0573199999999998","0","113","0,4717705249786377"
"As Kh Qd","3hAh","217,092","0,001113","0,998887","4,06122","4,06696","4,06695361138","B","4,06696","B","0,998887","0,00573999999999941","0","113","0,4717705249786377"
"As Kh Qd","4c4d","28,1529","0,000663","0,999337","2,2969","2,34216","2,34212999262","B","2,34216","B","0,999337","0,0452600000000003","0","113","0,4717705249786377"
"As Kh Qd","4c4h","28,2404","0,000594","0,999406","2,29228","2,34325","2,34321972382","B","2,34325","B","0,999406","0,0509700000000004","0","113","0,4717705249786377"
"As Kh Qd","4c4s","28,2182","0,000222","0,999778","2,28696","2,33351","2,3334996659","B","2,33351","B","0,999778","0,0465500000000003","0","113","0,4717705249786377"
"As Kh Qd","4c5c","55,9223","0,008906","0,991094","1,89142","1,94197","1,9415198017","B","1,94197","B","0,991094","0,0505499999999999","0","113","0,4717705249786377"
"As Kh Qd","4cAc","215,328","0","1","3,68985","3,76978","3,76978","B","3,76978","B","1","0,0799300000000001","0","113","0,4717705249786377"
"As Kh Qd","4d4h","28,2568","0,000383","0,999617","2,33313","2,38124","2,38122157387","B","2,38124","B","0,999617","0,0481100000000003","0","113","0,4717705249786377"
"As Kh Qd","4d4s","28,2346","3,9E-05","0,999961","2,32722","2,377","2,37699805858","B","2,377","B","0,999961","0,0497799999999997","0","113","0,4717705249786377"
"As Kh Qd","4d5d","56,065","2,5E-05","0,999975","2,15405","2,18114","2,18113932275","B","2,18114","B","0,999975","0,0270899999999998","0","113","0,4717705249786377"
"As Kh Qd","4dAd","214,626","0,002056","0,997944","4,07518","4,07989","4,07988031624","B","4,07989","B","0,997944","0,00471000000000021","0","113","0,4717705249786377"
"As Kh Qd","4h4s","28,322","8E-05","0,99992","2,32292","2,37512","2,375115824","B","2,37512","B","0,99992","0,0522","0","113","0,4717705249786377"
"As Kh Qd","4h5h","56,3401","0,000389","0,999611","2,15596","2,19146","2,1914461905","B","2,19146","B","0,999611","0,0355000000000003","0","113","0,4717705249786377"
"As Kh Qd","4hAh","215,922","0,001487","0,998513","4,05857","4,06455","4,06454110774","B","4,06455","B","0,998513","0,00597999999999921","0","113","0,4717705249786377"
"As Kh Qd","4s5s","56,2409","0,001347","0,998653","2,17688","2,21078","2,2107343367","B","2,21078","B","0,998653","0,0339000000000005","0","113","0,4717705249786377"
"As Kh Qd","5c5d","50,9593","6,6E-05","0,999934","2,24132","2,28924","2,28923683728","B","2,28924","B","0,999934","0,04792","0","113","0,4717705249786377"
