"board","combo","reach_probability","fold_frequency","call_frequency","raise_frequency","ev_fold_bb","ev_call_bb","ev_raise_bb","mixed_ev_bb","best_ev_action","best_ev_bb","highest_frequency_action","highest_frequency","loss_if_fold_bb","loss_if_call_bb","loss_if_raise_bb","iteration","exploitability"
"As Kh Qd","2c2d","155,053","1","0","0","0","-0,8656616","-1,2351532","0","F","0","F","1","0","0,8656616","1,2351532","129","0,4568749964237213"
"As Kh Qd","2c2h","155,098","1","0","0","0","-0,8639122","-1,2300285","0","F","0","F","1","0","0,8639122","1,2300285","129","0,4568749964237213"
"As Kh Qd","2c2s","155,655","1","0","0","0","-0,8833237","-1,2352016","0","F","0","F","1","0","0,8833237","1,2352016","129","0,4568749964237213"
"As Kh Qd","2c3c","20,0993","1","0","0","0","-1,6762035","-2,1231491","0","F","0","F","1","0","1,6762035","2,1231491","129","0,4568749964237213"
"As Kh Qd","2c4c","80,8579","1","0","0","0","-1,6950203","-2,1442982","0","F","0","F","1","0","1,6950203","2,1442982","129","0,4568749964237213"
"As Kh Qd","2c5c","84,75","1","0","0","0","-1,7311214","-2,2028397","0","F","0","F","1","0","1,7311214","2,2028397","129","0,4568749964237213"
"As Kh Qd","2cKc","73,79","1","0","0","0","-0,5921982","-0,9795792","0","F","0","F","1","0","0,5921982","0,9795792","129","0,4568749964237213"
"As Kh Qd","2cAc","123,76","0,257523","0,705065","0,037412","0","0,0960522","0,0587671","0,0699216391382","C","0,0960522","C","0,705065","0,0960522","0","0,0372851","129","0,4568749964237213"
"As Kh Qd","2d2h","155,269","1","0","0","0","-0,8081078","-1,1534981","0","F","0","F","1","0","0,8081078","1,1534981","129","0,4568749964237213"
"As Kh Qd","2d2s","155,825","1","0","0","0","-0,8261917","-1,1605927","0","F","0","F","1","0","0,8261917","1,1605927","129","0,4568749964237213"
"As Kh Qd","2d3d","20,1449","1","0","0","0","-1,355341","-1,4838699","0","F","0","F","1","0","1,355341","1,4838699","129","0,4568749964237213"
"As Kh Qd","2d4d","81,0036","1","0","0","0","-1,3755867","-1,5094841","0","F","0","F","1","0","1,3755867","1,5094841","129","0,4568749964237213"
"As Kh Qd","2d5d","84,8269","1","0","0","0","-1,4051117","-1,5708229","0","F","0","F","1","0","1,4051117","1,5708229","129","0,4568749964237213"
"As Kh Qd","2dKd","73,5327","0,902858","0,097142","0","0","0,0180883","-0,0860998","0,0017571336386","C","0,0180883","F","0,902858","0,0180883","0","0,1041881","129","0,4568749964237213"
"As Kh Qd","2dAd","124,359","0","0,772415","0,227584","0","0,876675","0,867896","0,874676163389","C","0,876675","C","0,772415","0,876675","0","0,00877899999999998","129","0,4568749964237213"
"As Kh Qd","2h2s","155,87","1","0","0","0","-0,8248283","-1,1554424","0","F","0","F","1","0","0,8248283","1,1554424","129","0,4568749964237213"
"As Kh Qd","2h3h","20,1525","1","0","0","0","-1,3263245","-1,4620964","0","F","0","F","1","0","1,3263245","1,4620964","129","0,4568749964237213"
"As Kh Qd","2h4h","81,0255","1","0","0","0","-1,3428768","-1,4892776","0","F","0","F","1","0","1,3428768","1,4892776","129","0,4568749964237213"
"As Kh Qd","2h5h","85,0746","1","0","0","0","-1,3724529","-1,5244011","0","F","0","F","1","0","1,3724529","1,5244011","129","0,4568749964237213"
"As Kh Qd","2hAh","124,592","0","0,777806","0,222194","0","0,889967","0,881187","0,88801613668","C","0,889967","C","0,777806","0,889967","0","0,00878000000000001","129","0,4568749964237213"
"As Kh Qd","2s3s","20,3283","1","0","0","0","-1,2555752","-1,3008957","0","F","0","F","1","0","1,2555752","1,3008957","129","0,4568749964237213"
"As Kh Qd","2s4s","81,7446","1","0","0","0","-1,2774403","-1,3251747","0","F","0","F","1","0","1,2774403","1,3251747","129","0,4568749964237213"
"As Kh Qd","2s5s","85,6724","1","0","0","0","-1,3068832","-1,3805538","0","F","0","F","1","0","1,3068832","1,3805538","129","0,4568749964237213"
"As Kh Qd","2sKs","73,8174","0,335517","0,567654","0,096829","0","0,0602667","0,0334179","0,0374464551609","C","0,0602667","C","0,567654","0,0602667","0","0,0268488","129","0,4568749964237213"
"As Kh Qd","3c3d","154,595","1","0","0","0","-0,8520649","-1,2599911","0","F","0","F","1","0","0,8520649","1,2599911","129","0,4568749964237213"
"As Kh Qd","3c3h","154,612","1","0","0","0","-0,8547436","-1,2567623","0","F","0","F","1","0","0,8547436","1,2567623","129","0,4568749964237213"
"As Kh Qd","3c3s","155,405","1","0","0","0","-0,8696194","-1,2515968","0","F","0","F","1","0","0,8696194","1,2515968","129","0,4568749964237213"
"As Kh Qd","3c4c","142,977","1","0","0","0","-1,6965546","-2,1614658","0","F","0","F","1","0","1,6965546","2,1614658","129","0,4568749964237213"
"As Kh Qd","3c5c","129,686","1","0","0","0","-1,7332348","-2,2200169","0","F","0","F","1","0","1,7332348","2,2200169","129","0,4568749964237213"
"As Kh Qd","3c6c","85,7766","1","0","0","0","-1,9124584","-2,6648537","0","F","0","F","1","0","1,9124584","2,6648537","129","0,4568749964237213"
"As Kh Qd","3cKc","87,2655","1","0","0","0","-0,5968719","-0,9989857","0","F","0","F","1","0","0,5968719","0,9989857","129","0,4568749964237213"
"As Kh Qd","3cAc","105,489","0,211686","0,748952","0,039362","0","0,103274","0,0682716","0,0800345755672","C","0,103274","C","0,748952","0,103274","0","0,0350024","129","0,4568749964237213"
"As Kh Qd","3d3h","154,795","1","0","0","0","-0,8057095","-1,170446","0","F","0","F","1","0","0,8057095","1,170446","129","0,4568749964237213"
"As Kh Qd","3d3s","155,588","1","0","0","0","-0,8177048","-1,1681854","0","F","0","F","1","0","0,8177048","1,1681854","129","0,4568749964237213"
"As Kh Qd","3d4d","143,247","1","0","0","0","-1,3725254","-1,5158325","0","F","0","F","1","0","1,3725254","1,5158325","129","0,4568749964237213"
"As Kh Qd","3d5d","129,816","1","0","0","0","-1,4032009","-1,5770809","0","F","0","F","1","0","1,4032009","1,5770809","129","0,4568749964237213"
"As Kh Qd","3d6d","85,8724","1","0","0","0","-1,6062935","-1,9966412","0","F","0","F","1","0","1,6062935","1,9966412","129","0,4568749964237213"
