"board","combo","reach_probability","fold_frequency","call_frequency","raise_frequency","ev_fold_btn","ev_call_btn","ev_raise_btn","mixed_ev_btn","best_ev_action","best_ev_btn","highest_frequency_action","highest_frequency","loss_if_fold_btn","loss_if_call_btn","loss_if_raise_btn","iteration","exploitability"
"As Kh Qd","2c2d","40,6218","0,678452","0,291572","0,029977","0","-0,0197124","-0,032576","-0,0067241146448","F","0","F","0,678452","0","0,0197124","0,032576","140","0,4842897355556488"
"As Kh Qd","2c2h","40,626","0,68966","0,256689","0,053651","0","-0,0227306","-0,0307957","-0,0074869150841","F","0","F","0,68966","0","0,0227306","0,0307957","140","0,4842897355556488"
"As Kh Qd","2c2s","40,7823","0,542294","0,189773","0,267933","0","-0,0095562","-0,0021667","-0,0023940391737","F","0","F","0,542294","0","0,0095562","0,0021667","140","0,4842897355556488"
"As Kh Qd","2cAc","8,3152","0","1","0","0","1,80923","1,39642","1,80923","C","1,80923","C","1","1,80923","0","0,41281","140","0,4842897355556488"
"As Kh Qd","2d2h","40,6743","0,426285","0,561015","0,0127","0","0,0327328","0,0022617","0,018392315382","C","0,0327328","C","0,561015","0,0327328","0","0,0304711","140","0,4842897355556488"
"As Kh Qd","2d2s","40,8305","0,325291","0,449676","0,225033","0","0,0421955","0,0310806","0,0259684643178","C","0,0421955","C","0,449676","0,0421955","0","0,0111149","140","0,4842897355556488"
"As Kh Qd","2dAd","8,41204","0","1","0","0","2,3164","2,17459","2,3164","C","2,3164","C","1","2,3164","0","0,14181","140","0,4842897355556488"
"As Kh Qd","2h2s","40,8348","0,331844","0,425007","0,243149","0","0,0408096","0,0328667","0,0253358709055","C","0,0408096","C","0,425007","0,0408096","0","0,0079429","140","0,4842897355556488"
"As Kh Qd","2hAh","8,41508","0","1","0","0","2,34583","2,17094","2,34583","C","2,34583","C","1","2,34583","0","0,17489","140","0,4842897355556488"
"As Kh Qd","3c3d","37,5761","0,794266","0,205433","0,000302","0","-0,0279652","-0,0447269","-0,0057584824554","F","0","F","0,794266","0","0,0279652","0,0447269","140","0,4842897355556488"
"As Kh Qd","3c3h","37,5825","0,83958","0,159192","0,001229","0","-0,0312466","-0,0431496","-0,0050272396056","F","0","F","0,83958","0","0,0312466","0,0431496","140","0,4842897355556488"
"As Kh Qd","3c3s","37,7734","0,63477","0,115594","0,249636","0","-0,0176189","-0,0066662","-0,0037007626298","F","0","F","0,63477","0","0,0176189","0,0066662","140","0,4842897355556488"
"As Kh Qd","3c5c","8,487","1","0","0","0","-0,599601","-0,4218597","0","F","0","F","1","0","0,599601","0,4218597","140","0,4842897355556488"
"As Kh Qd","3cAc","46,2961","0","1","0","0","1,76209","1,39579","1,76209","C","1,76209","C","1","1,76209","0","0,3663","140","0,4842897355556488"
"As Kh Qd","3d3h","37,6306","0,50482","0,495101","7,9E-05","0","0,0247147","-0,0103695","0,0122354534942","C","0,0247147","F","0,50482","0,0247147","0","0,0350842","140","0,4842897355556488"
"As Kh Qd","3d3s","37,8215","0,385922","0,403091","0,210987","0","0,0346867","0,0268246","0,0196415384699","C","0,0346867","C","0,403091","0,0346867","0","0,0078621","140","0,4842897355556488"
"As Kh Qd","3d5d","8,50247","0,992328","0","0,007672","0","-0,2171539","-0,0106853","-8,19776216E-05","F","0","F","0,992328","0","0,2171539","0,0106853","140","0,4842897355556488"
"As Kh Qd","3dAd","46,8355","0","1","0","0","2,26108","2,17325","2,26108","C","2,26108","C","1","2,26108","0","0,0878299999999999","140","0,4842897355556488"
"As Kh Qd","3h3s","37,828","0,390864","0,375903","0,233233","0","0,0342094","0,0286148","0,0195333317366","C","0,0342094","F","0,390864","0,0342094","0","0,0055946","140","0,4842897355556488"
"As Kh Qd","3h5h","8,52069","0,914486","0","0,085514","0","-0,1869095","0,0090721","0,0007757915594","R","0,0090721","F","0,914486","0,0090721","0,1959816","0","140","0,4842897355556488"
"As Kh Qd","3hAh","46,8524","0","1","0","0","2,28852","2,16961","2,28852","C","2,28852","C","1","2,28852","0","0,11891","140","0,4842897355556488"
