"board","combo","reach_probability","check_frequency","bet_frequency","ev_check_btn","ev_bet_btn","mixed_ev_btn","best_ev_action","best_ev_btn","highest_frequency_action","highest_frequency","loss_if_check_btn","loss_if_bet_btn","iteration","exploitability"
"As Kh Qd","2c2d","26,4807","0,567444","0,432556","0,803677","0,818007","0,80987552748","B","0,818007","X","0,567444","0,01433","0","140","0,4842897355556488"
"As Kh Qd","2c2h","26,4765","0,562215","0,437785","0,801561","0,816265","0,80799819064","B","0,816265","X","0,562215","0,0147039999999998","0","140","0,4842897355556488"
"As Kh Qd","2c2s","26,6229","0,475974","0,524026","0,822932","0,840633","0,832207784226","B","0,840633","B","0,524026","0,0177010000000001","0","140","0,4842897355556488"
"As Kh Qd","2cAc","5,67107","0,899321","0,100679","3,51757","3,50058","3,51585946379","X","3,51757","X","0,899321","0","0,0169899999999998","140","0,4842897355556488"
"As Kh Qd","2d2h","26,4282","0,533459","0,466541","0,826391","0,838745","0,832154647514","B","0,838745","X","0,533459","0,0123540000000001","0","140","0,4842897355556488"
"As Kh Qd","2d2s","26,5746","0,466331","0,533669","0,844646","0,860612","0,853166559254","B","0,860612","B","0,533669","0,015966","0","140","0,4842897355556488"
"As Kh Qd","2dAd","5,57423","0,814317","0,185683","3,96399","3,94841","3,96109705886","X","3,96399","X","0,814317","0","0,0155799999999999","140","0,4842897355556488"
"As Kh Qd","2h2s","26,5704","0,460439","0,539561","0,842679","0,857911","0,850897593152","B","0,857911","B","0,539561","0,0152319999999999","0","140","0,4842897355556488"
"As Kh Qd","2hAh","5,57119","0,878441","0,121559","3,93355","3,91702","3,93154062973","X","3,93355","X","0,878441","0","0,0165300000000004","140","0,4842897355556488"
"As Kh Qd","3c3d","24,5145","0,526699","0,473301","0,790844","0,810229","0,800018939885","B","0,810229","X","0,526699","0,019385","0","140","0,4842897355556488"
"As Kh Qd","3c3h","24,5081","0,517167","0,482833","0,788822","0,809534","0,798822437096","B","0,809534","X","0,517167","0,0207120000000001","0","140","0,4842897355556488"
"As Kh Qd","3c3s","24,6781","0,451503","0,548497","0,811035","0,83092","0,821941862845","B","0,83092","B","0,548497","0,019885","0","140","0,4842897355556488"
"As Kh Qd","3c5c","5,49039","1","0","0,338646","0,288403","0,338646","X","0,338646","X","1","0","0,050243","140","0,4842897355556488"
"As Kh Qd","3cAc","31,5872","0,815744","0,184256","3,4849","3,48261","3,48447805376","X","3,4849","X","0,815744","0","0,0022899999999999","140","0,4842897355556488"
"As Kh Qd","3d3h","24,4599","0,476684","0,523316","0,815022","0,834928","0,825439128296","B","0,834928","B","0,523316","0,0199060000000001","0","140","0,4842897355556488"
"As Kh Qd","3d3s","24,63","0,431225","0,568775","0,834954","0,85369","0,8456105684","B","0,85369","B","0,568775","0,018736","0","140","0,4842897355556488"
"As Kh Qd","3d5d","5,47493","0,514219","0,485781","0,65887","0,687279","0,672670552429","B","0,687279","X","0,514219","0,0284089999999999","0","140","0,4842897355556488"
"As Kh Qd","3dAd","31,0479","0,736167","0,263833","3,93151","3,93001","3,9311142505","X","3,93151","X","0,736167","0","0,00150000000000006","140","0,4842897355556488"
"As Kh Qd","3h3s","24,6236","0,425294","0,574706","0,833061","0,851439","0,843622946868","B","0,851439","B","0,574706","0,018378","0","140","0,4842897355556488"
"As Kh Qd","3h5h","5,49573","0,578588","0,421412","0,6737","0,694915","0,68264025558","B","0,694915","X","0,578588","0,0212150000000001","0","140","0,4842897355556488"
"As Kh Qd","3hAh","31,0309","0,770875","0,229125","3,90061","3,89875","3,9001838275","X","3,90061","X","0,770875","0","0,00186000000000064","140","0,4842897355556488"
"As Kh Qd","3s5s","5,55541","0,60986","0,39014","0,73512","0,748389","0,74029676766","B","0,748389","X","0,60986","0,013269","0","140","0,4842897355556488"
"As Kh Qd","4c4d","26,032","0,612241","0,387759","0,757196","0,766174","0,760677300302","B","0,766174","X","0,612241","0,00897800000000004","0","140","0,4842897355556488"
"As Kh Qd","4c4h","26,0363","0,60624","0,39376","0,755721","0,766026","0,7597786968","B","0,766026","X","0,60624","0,0103049999999999","0","140","0,4842897355556488"
"As Kh Qd","4c4s","26,2606","0,518863","0,481137","0,779633","0,792048","0,785606315855","B","0,792048","X","0,518863","0,0124150000000001","0","140","0,4842897355556488"
"As Kh Qd","4c5c","35,6942","1","0","0,297158","0,258468","0,297158","X","0,297158","X","1","0","0,0386899999999999","140","0,4842897355556488"
"As Kh Qd","4c6c","2,72488","1","0","0,142932","0,0002625","0,142932","X","0,142932","X","1","0","0,1426695","140","0,4842897355556488"
"As Kh Qd","4cAc","32,2085","0,779304","0,220696","3,45739","3,46792","3,45971392888","B","3,46792","X","0,779304","0,0105300000000002","0","140","0,4842897355556488"
"As Kh Qd","4d4h","26,005","0,522574","0,477426","0,782871","0,796076","0,78917541033","B","0,796076","X","0,522574","0,013205","0","140","0,4842897355556488"
"As Kh Qd","4d4s","26,2318","0,468651","0,531349","0,808758","0,823575","0,816630998133","B","0,823575","B","0,531349","0,0148169999999999","0","140","0,4842897355556488"
"As Kh Qd","4d5d","35,6125","0,466708","0,533292","0,610608","0,637626","0,625016483256","B","0,637626","B","0,533292","0,027018","0","140","0,4842897355556488"
"As Kh Qd","4d6d","2,71789","0,999999","1E-06","0,44532","0,412095","0,445319966775","X","0,44532","X","0,999999","0","0,033225","140","0,4842897355556488"
"As Kh Qd","4dAd","31,6633","0,687776","0,312224","3,89627","3,91619","3,90248950208","B","3,91619","X","0,687776","0,0199200000000004","0","140","0,4842897355556488"
"As Kh Qd","4h4s","26,2374","0,458138","0,541862","0,807354","0,822896","0,815775619204","B","0,822896","B","0,541862","0,0155420000000002","0","140","0,4842897355556488"
"As Kh Qd","4h5h","35,7535","0,517633","0,482367","0,62337","0,645788","0,634183703406","B","0,645788","X","0,517633","0,022418","0","140","0,4842897355556488"
"As Kh Qd","4h6h","2,72694","1","0","0,457088","0,4162","0,457088","X","0,457088","X","1","0","0,040888","140","0,4842897355556488"
