"board","combo","reach_probability","fold_frequency","call_frequency","raise_frequency","ev_fold_utg","ev_call_utg","ev_raise_utg","mixed_ev_utg","best_ev_action","best_ev_utg","highest_frequency_action","highest_frequency","loss_if_fold_utg","loss_if_call_utg","loss_if_raise_utg","iteration","exploitability"
"As Kh Qd","2c2d","0","0,912792","0,087208","0","0","0","0","0","F","0","F","0,912792","0","0","0","140","0,4842897355556488"
"As Kh Qd","2c2h","0","0,975061","0,024939","0","0","0","0","0","F","0","F","0,975061","0","0","0","140","0,4842897355556488"
"As Kh Qd","2c2s","0","0,977001","0,022999","0","0","0","0","0","F","0","F","0,977001","0","0","0","140","0,4842897355556488"
"As Kh Qd","2cAc","6,33874","0","1","0","0","0,961444","0,400422","0,961444","C","0,961444","C","1","0,961444","0","0,561022","140","0,4842897355556488"
"As Kh Qd","2d2h","0","0,49721","0,50279","0","0","0","0","0","F","0","C","0,50279","0","0","0","140","0,4842897355556488"
"As Kh Qd","2d2s","0","0,533325","0,466675","0","0","0","0","0","F","0","F","0,533325","0","0","0","140","0,4842897355556488"
"As Kh Qd","2dAd","9,33263","0","1","0","0","1,62842","1,501","1,62842","C","1,62842","C","1","1,62842","0","0,12742","140","0,4842897355556488"
"As Kh Qd","2h2s","0","0,575547","0,424453","0","0","0","0","0","F","0","F","0,575547","0","0","0","140","0,4842897355556488"
"As Kh Qd","2hAh","9,71361","0","1","0","0","1,5981","1,47193","1,5981","C","1,5981","C","1","1,5981","0","0,12617","140","0,4842897355556488"
"As Kh Qd","3c3d","0","0,912234","0,087766","0","0","0","0","0","F","0","F","0,912234","0","0","0","140","0,4842897355556488"
"As Kh Qd","3c3h","0","0,964531","0,035469","0","0","0","0","0","F","0","F","0,964531","0","0","0","140","0,4842897355556488"
"As Kh Qd","3c3s","0","0,989618","0,010382","0","0","0","0","0","F","0","F","0,989618","0","0","0","140","0,4842897355556488"
"As Kh Qd","3cAc","8,40562","0","1","0","0","0,930677","0,403006","0,930677","C","0,930677","C","1","0,930677","0","0,527671","140","0,4842897355556488"
"As Kh Qd","3d3h","0","0,468616","0,531384","0","0","0","0","0","F","0","C","0,531384","0","0","0","140","0,4842897355556488"
"As Kh Qd","3d3s","0","0,581885","0,418115","0","0","0","0","0","F","0","F","0,581885","0","0","0","140","0,4842897355556488"
"As Kh Qd","3dAd","11,5593","0","1","0","0","1,56116","1,49193","1,56116","C","1,56116","C","1","1,56116","0","0,0692299999999999","140","0,4842897355556488"
"As Kh Qd","3h3s","0","0,594734","0,405266","0","0","0","0","0","F","0","F","0,594734","0","0","0","140","0,4842897355556488"
"As Kh Qd","3hAh","12,1424","0","1","0","0","1,52387","1,45644","1,52387","C","1,52387","C","1","1,52387","0","0,0674300000000001","140","0,4842897355556488"
"As Kh Qd","4c4d","0,997143","0,99953","0,00047","0","0","-0,0129776","-0,9277756","-6,099472E-06","F","0","F","0,99953","0","0,0129776","0,9277756","140","0,4842897355556488"
