"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","donk_frequency","ev_check","ev_donk","mixed_ev"
"As Kh Qd","1","BB_FIRST","BB","2c2d","172.5","1","0","0.72831","-2.859987","0.72831"
"As Kh Qd","1","BB_FIRST","BB","2c2h","172.5","1","0","0.723194","-2.861284","0.723194"
"As Kh Qd","1","BB_FIRST","BB","2c2s","173.278","1","0","0.726345","-2.935186","0.726345"
"As Kh Qd","1","BB_FIRST","BB","2c3c","22.3842","1","0","0.207674","-5.153343","0.207674"
"As Kh Qd","1","BB_FIRST","BB","2c4c","90.0022","1","0","0.198814","-5.254726","0.198814"
"As Kh Qd","1","BB_FIRST","BB","2c5c","94.2341","1","0","0.192291","-5.59201","0.192291"
"As Kh Qd","1","BB_FIRST","BB","2cKc","81.3405","1","0","1.3351","-2.18751","1.3351"
"As Kh Qd","1","BB_FIRST","BB","2cAc","138.66","0.999381","0.000619","7.44911","4.05515","7.44700913876"
"As Kh Qd","1","BB_FIRST","BB","2d2h","172.5","1","0","0.744167","-2.627707","0.744167"
"As Kh Qd","1","BB_FIRST","BB","2d2s","173.278","1","0","0.741112","-2.701256","0.741112"
"As Kh Qd","1","BB_FIRST","BB","2d3d","22.3842","1","0","0.432817","-3.8864","0.432817"
"As Kh Qd","1","BB_FIRST","BB","2d4d","90.0022","1","0","0.415358","-3.994789","0.415358"
"As Kh Qd","1","BB_FIRST","BB","2d5d","94.2341","1","0","0.409569","-4.229668","0.409569"
"As Kh Qd","1","BB_FIRST","BB","2dKd","81.3405","1","0","2.0473","0.194918","2.0473"
"As Kh Qd","1","BB_FIRST","BB","2dAd","138.66","0.997149","0.002851","14.9599","13.0426","14.954433777699998"
"As Kh Qd","1","BB_FIRST","BB","2h2s","173.278","1","0","0.735609","-2.705423","0.735609"
"As Kh Qd","1","BB_FIRST","BB","2h3h","22.3842","1","0","0.46936","-3.688854","0.46936"
"As Kh Qd","1","BB_FIRST","BB","2h4h","90.0022","1","0","0.45401","-3.814661","0.45401"
