"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","bet_frequency","ev_check","ev_bet","mixed_ev"
"As Kh Qd","1","UTG_CBET","UTG","2c2d","12.7681","0.034169","0.965831","25.3147","25.5507","25.542636116"
"As Kh Qd","1","UTG_CBET","UTG","2c2h","12.7972","0.026223","0.973777","25.2494","25.5487","25.5408514561"
"As Kh Qd","1","UTG_CBET","UTG","2c2s","12.8196","0.238278","0.761722","25.1316","25.2227","25.200992874199997"
"As Kh Qd","1","UTG_CBET","UTG","2cAc","169.483","0.017828","0.982172","36.9741","36.9845","36.9843145888"
"As Kh Qd","1","UTG_CBET","UTG","2d2h","12.7973","0.027635","0.972364","25.5299","25.8223","25.8141937037"
"As Kh Qd","1","UTG_CBET","UTG","2d2s","12.8197","0.0777","0.9223","25.4174","25.5473","25.53720677"
"As Kh Qd","1","UTG_CBET","UTG","2dAd","168.838","0.204924","0.795076","40.0494","40.0298","40.0338165104"
"As Kh Qd","1","UTG_CBET","UTG","2h2s","12.8488","0.050445","0.949555","25.3504","25.5165","25.5081210855"
"As Kh Qd","1","UTG_CBET","UTG","2hAh","169.71","0.239715","0.760285","39.743","39.7606","39.756381016"
"As Kh Qd","1","UTG_CBET","UTG","3c3d","15.3379","0.19396","0.80604","24.9196","25.122","25.082742496"
"As Kh Qd","1","UTG_CBET","UTG","3c3h","15.3798","0.05375","0.94625","24.9028","25.1295","25.117314875"
"As Kh Qd","1","UTG_CBET","UTG","3c3s","15.3913","0.338789","0.661211","24.7679","24.8431","24.8176230672"
"As Kh Qd","1","UTG_CBET","UTG","3cAc","216.486","0.030262","0.969738","36.8676","36.8553","36.8556722226"
"As Kh Qd","1","UTG_CBET","UTG","3d3h","15.3799","0.093974","0.906026","25.2142","25.4053","25.3873415686"
"As Kh Qd","1","UTG_CBET","UTG","3d3s","15.3913","0.262508","0.737492","25.087","25.1734","25.150719308800003"
"As Kh Qd","1","UTG_CBET","UTG","3dAd","215.657","0.144855","0.855145","39.9066","39.8753","39.879833961500005"
"As Kh Qd","1","UTG_CBET","UTG","3h3s","15.4332","0.176179","0.823821","25.063","25.1413","25.1275051843"
"As Kh Qd","1","UTG_CBET","UTG","3hAh","216.875","0.163995","0.836005","39.6165","39.6243","39.623020839"
"As Kh Qd","1","UTG_CBET","UTG","4c4d","28.1236","0.332062","0.667938","24.3581","24.5357","24.4767257888"
"As Kh Qd","1","UTG_CBET","UTG","4c4h","28.211","0.146455","0.853545","24.3675","24.5745","24.544183815000004"
"As Kh Qd","1","UTG_CBET","UTG","4c4s","28.1887","0.283062","0.716938","24.2832","24.4218","24.3825676068"
"As Kh Qd","1","UTG_CBET","UTG","4c5c","55.8634","0.393591","0.606409","20.8269","20.9107","20.8777170742"
"As Kh Qd","1","UTG_CBET","UTG","4cAc","215.108","0.041461","0.958539","36.8275","36.7964","36.7976894371"
"As Kh Qd","1","UTG_CBET","UTG","4d4h","28.2276","0.239357","0.760643","24.7164","24.8794","24.840384809"
