"board","board_index","decision_node","acting_player","combo","reach_probability","fold_frequency","call_frequency","raise_frequency","ev_fold","ev_call","ev_raise","mixed_ev"
"As Kh Qd","1","BB_RESPONSE","BB","2c2d","151.193","1","0","0","0","-5.762043","-10.28891","0"
"As Kh Qd","1","BB_RESPONSE","BB","2c2h","151.218","1","0","0","0","-5.766853","-10.269268","0"
"As Kh Qd","1","BB_RESPONSE","BB","2c2s","151.812","1","0","0","0","-6.025856","-10.324131","0"
"As Kh Qd","1","BB_RESPONSE","BB","2c3c","19.6018","1","0","0","0","-12.358841","-17.704491","0"
"As Kh Qd","1","BB_RESPONSE","BB","2c4c","78.8745","1","0","0","0","-12.446651","-17.879597","0"
"As Kh Qd","1","BB_RESPONSE","BB","2c5c","82.7218","1","0","0","0","-12.612854","-18.331535","0"
"As Kh Qd","1","BB_RESPONSE","BB","2cKc","71.8234","1","0","0","0","-3.286741","-5.625809","0"
"As Kh Qd","1","BB_RESPONSE","BB","2cAc","120.44","0","0.918707","0.081293","0","3.96948","3.98985","3.97113593841"
"As Kh Qd","1","BB_RESPONSE","BB","2d2h","151.355","1","0","0","0","-5.477757","-9.492676","0"
"As Kh Qd","1","BB_RESPONSE","BB","2d2s","151.958","1","0","0","0","-5.72625","-9.549969","0"
"As Kh Qd","1","BB_RESPONSE","BB","2d3d","19.6342","1","0","0","0","-10.098648","-11.461838","0"
"As Kh Qd","1","BB_RESPONSE","BB","2d4d","78.9373","1","0","0","0","-10.222172","-11.668728","0"
"As Kh Qd","1","BB_RESPONSE","BB","2d5d","82.7166","1","0","0","0","-10.428093","-12.163708","0"
"As Kh Qd","1","BB_RESPONSE","BB","2dKd","71.9484","0.384568","0.466326","0.149106","0","0.621172","0.519505","0.367129966602"
"As Kh Qd","1","BB_RESPONSE","BB","2dAd","120.658","0","0.715608","0.284392","0","12.0453","12.0837","12.0562206528"
"As Kh Qd","1","BB_RESPONSE","BB","2h2s","151.985","1","0","0","0","-5.732109","-9.530361","0"
"As Kh Qd","1","BB_RESPONSE","BB","2h3h","19.6379","1","0","0","0","-9.658588","-11.068649","0"
"As Kh Qd","1","BB_RESPONSE","BB","2h4h","78.9523","1","0","0","0","-9.826031","-11.29776","0"
"As Kh Qd","1","BB_RESPONSE","BB","2h5h","82.922","1","0","0","0","-10.036297","-11.613674","0"
"As Kh Qd","1","BB_RESPONSE","BB","2hAh","120.92","0","0.687674","0.312326","0","12.2209","12.2433","12.2278961024"
"As Kh Qd","1","BB_RESPONSE","BB","2s3s","19.8294","1","0","0","0","-10.067848","-9.811661","0"
"As Kh Qd","1","BB_RESPONSE","BB","2s4s","79.7188","1","0","0","0","-10.235008","-10.063622","0"
"As Kh Qd","1","BB_RESPONSE","BB","2s5s","83.4503","1","0","0","0","-10.566574","-10.570354","0"
"As Kh Qd","1","BB_RESPONSE","BB","2sKs","72.0657","0.000105","0.740744","0.259151","0","1.41281","1.34207","1.39432931321"
"As Kh Qd","1","BB_RESPONSE","BB","3c3d","150.732","1","0","0","0","-5.70248","-10.553013","0"
"As Kh Qd","1","BB_RESPONSE","BB","3c3h","150.745","1","0","0","0","-5.635078","-10.509399","0"
"As Kh Qd","1","BB_RESPONSE","BB","3c3s","151.593","1","0","0","0","-5.983006","-10.489231","0"
"As Kh Qd","1","BB_RESPONSE","BB","3c4c","139.483","1","0","0","0","-12.418774","-18.020596","0"
"As Kh Qd","1","BB_RESPONSE","BB","3c5c","126.595","1","0","0","0","-12.575943","-18.472691","0"
"As Kh Qd","1","BB_RESPONSE","BB","3c6c","83.8597","1","0","0","0","-13.511051","-22.137165","0"
"As Kh Qd","1","BB_RESPONSE","BB","3cKc","84.9485","1","0","0","0","-3.332352","-5.810287","0"
"As Kh Qd","1","BB_RESPONSE","BB","3cAc","102.661","0","0.935723","0.064277","0","4.0806","4.08722","4.0810255137399993"
"As Kh Qd","1","BB_RESPONSE","BB","3d3h","150.855","1","0","0","0","-5.355206","-9.695919","0"
"As Kh Qd","1","BB_RESPONSE","BB","3d3s","151.71","1","0","0","0","-5.687653","-9.676838","0"
"As Kh Qd","1","BB_RESPONSE","BB","3d4d","139.572","1","0","0","0","-10.162628","-11.728611","0"
"As Kh Qd","1","BB_RESPONSE","BB","3d5d","126.567","1","0","0","0","-10.359783","-12.226505","0"
"As Kh Qd","1","BB_RESPONSE","BB","3d6d","83.7689","1","0","0","0","-11.872978","-15.890331","0"
"As Kh Qd","1","BB_RESPONSE","BB","3dKd","85.0805","0.413591","0.467222","0.119187","0","0.586615","0.444355","0.327040772915"
"As Kh Qd","1","BB_RESPONSE","BB","3dAd","102.901","0","0.73215","0.26785","0","12.1724","12.1975","12.179123035"
"As Kh Qd","1","BB_RESPONSE","BB","3h3s","151.72","1","0","0","0","-5.624828","-9.635204","0"
"As Kh Qd","1","BB_RESPONSE","BB","3h4h","139.579","1","0","0","0","-9.731213","-11.339428","0"
"As Kh Qd","1","BB_RESPONSE","BB","3h5h","126.863","1","0","0","0","-9.940563","-11.656105","0"
"As Kh Qd","1","BB_RESPONSE","BB","3h6h","83.9566","1","0","0","0","-11.423546","-15.348419","0"
"As Kh Qd","1","BB_RESPONSE","BB","3hAh","103.077","0","0.708788","0.291212","0","12.363","12.3474","12.3584570928"
"As Kh Qd","1","BB_RESPONSE","BB","3s4s","141.178","1","0","0","0","-10.239128","-10.059902","0"
"As Kh Qd","1","BB_RESPONSE","BB","3s5s","127.894","1","0","0","0","-10.574219","-10.566414","0"
"As Kh Qd","1","BB_RESPONSE","BB","3s6s","84.6785","1","0","0","0","-12.335854","-14.467598","0"
