"index","board","decision_node","status","output_directory","combos","iteration","exploitability","elapsed_ms","error"
"1","As Kh Qd","UTG_VS_CHECK_RAISE","done","0001_As_Kh_Qd","250","137","459381461143494","21802",""
"2","As Kh Jd","UTG_VS_CHECK_RAISE","done","0002_As_Kh_Jd","253","129","475701421499252","19942",""
"3","As Kh Td","UTG_VS_CHECK_RAISE","done","0003_As_Kh_Td","252","129","449933171272278","69869",""
"4","As Kh 9d","UTG_VS_CHECK_RAISE","done","0004_As_Kh_9d","259","120","469368129968643","20160",""
"5","As Kh 8d","UTG_VS_CHECK_RAISE","done","0005_As_Kh_8d","259","120","472353994846344","69283",""
"6","As Kh 7d","UTG_VS_CHECK_RAISE","done","0006_As_Kh_7d","261","120","485029220581055","20458",""
"7","As Kh 6d","UTG_VS_CHECK_RAISE","done","0007_As_Kh_6d","260","120","473539173603058","20143",""
"8","As Kh 5d","UTG_VS_CHECK_RAISE","done","0008_As_Kh_5d","261","120","467311680316925","20650",""
"9","As Kh 4d","UTG_VS_CHECK_RAISE","done","0009_As_Kh_4d","263","129","466793209314346","22245",""
"10","As Kh 3d","UTG_VS_CHECK_RAISE","done","0010_As_Kh_3d","264","129","470012336969376","70598",""
"11","As Kh 2d","UTG_VS_CHECK_RAISE","done","0011_As_Kh_2d","264","129","47142031788826","70990",""
"12","As Qh Jd","UTG_VS_CHECK_RAISE","done","0012_As_Qh_Jd","257","129","475405752658844","20313",""
"13","As Qh Td","UTG_VS_CHECK_RAISE","done","0013_As_Qh_Td","256","129","450866848230362","70176",""
"14","As Qh 9d","UTG_VS_CHECK_RAISE","done","0014_As_Qh_9d","263","129","474275231361389","21723",""
"15","As Qh 8d","UTG_VS_CHECK_RAISE","done","0015_As_Qh_8d","263","129","47395446896553","71092",""
"16","As Qh 7d","UTG_VS_CHECK_RAISE","done","0016_As_Qh_7d","265","130","491401493549347","22178",""
"17","As Qh 6d","UTG_VS_CHECK_RAISE","done","0017_As_Qh_6d","264","137","449639230966568","22236",""
"18","As Qh 5d","UTG_VS_CHECK_RAISE","done","0018_As_Qh_5d","265","137","48479688167572","22576",""
"19","As Qh 4d","UTG_VS_CHECK_RAISE","done","0019_As_Qh_4d","267","145","482577413320541","22915",""
"20","As Qh 3d","UTG_VS_CHECK_RAISE","done","0020_As_Qh_3d","268","145","485138446092606","22928",""
