"board","board_index","decision_node","acting_player","combo","reach_probability","fold_frequency","call_frequency","ev_fold","ev_call","mixed_ev"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","2c2d","1.24066","1","0","0","-19.313988","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","2c2h","1.25368","1","0","0","-19.122864","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","2c2s","0.987185","1","0","0","-18.672173","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","2cAc","16.2987","1","0","0","-11.357964","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","2d2h","1.23748","1","0","0","-19.8022","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","2d2s","1.18165","1","0","0","-19.641602","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","2dAd","13.0811","0.247474","0.752526","0","0.560341","0.421671171366"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","2h2s","1.21931","1","0","0","-19.428719","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","2hAh","12.419","0.102772","0.897228","0","0.769913","0.690787501164"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","3c3d","1.26166","1","0","0","-19.175522","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","3c3h","1.48465","1","0","0","-18.889801","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","3c3s","1.04074","1","0","0","-18.718269","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","3cAc","20.6843","1","0","0","-11.418083","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","3d3h","1.40719","1","0","0","-19.605743","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","3d3s","1.14912","1","0","0","-19.607834","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","3dAd","18.0876","0.325357","0.674643","0","0.386742","0.26091278310599997"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","3h3s","1.28671","1","0","0","-19.298828","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","3hAh","17.5526","0.182167","0.817833","0","0.558506","0.45676463749799989"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4c4d","1.94162","1","0","0","-18.988647","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4c4h","2.4868","1","0","0","-18.710533","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4c4s","2.08609","1","0","0","-18.913872","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4c5c","3.56088","1","0","0","-29.062195","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4cAc","20.4455","1","0","0","-11.339363","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4d4h","2.19644","1","0","0","-19.334175","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4d4s","2.29531","1","0","0","-19.63974","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4d5d","5.47367","1","0","0","-18.731224","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4dAd","18.8712","0.294483","0.705517","0","0.450981","0.31817476217699997"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4h4s","2.6202","1","0","0","-19.339867","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4h5h","5.48305","1","0","0","-18.409294","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4hAh","17.8764","0.165352","0.834648","0","0.602512","0.502885435776"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","4s5s","5.62313","1","0","0","-13.993385","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5c5d","4.65033","1","0","0","-18.438789","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5c5h","5.02244","1","0","0","-18.354866","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5c5s","5.14353","1","0","0","-18.896965","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5c6c","0.156421","1","0","0","-30.038811","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5cKc","7.4012","1","0","0","-18.106071","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5cAc","19.6718","1","0","0","-11.41938","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5d5h","4.47285","1","0","0","-18.438293","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5d5s","5.07198","1","0","0","-18.98494","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5d6d","4.32468","1","0","0","-19.388504","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5dKd","6.27532","0.999751","0.000249","0","-3.967266","-0.000987849234"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5dAd","18.5113","0.293031","0.706969","0","0.603912","0.426947062728"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5h5s","5.10439","1","0","0","-18.921913","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5h6h","3.91373","1","0","0","-19.236435","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5hAh","17.2362","0.196339","0.803661","0","0.560337","0.450320993757"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5s6s","4.98793","1","0","0","-15.240318","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","5sKs","7.96696","0.622864","0.377136","0","0.968655","0.36531467208000007"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6c6d","14.2389","1","0","0","-18.231659","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6c6h","14.5078","1","0","0","-18.240501","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6c6s","14.4416","1","0","0","-18.522484","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6c7c","0.162012","1","0","0","-30.046249","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6c8c","0.000698","1","0","0","-30.045334","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6cKc","6.41172","1","0","0","-18.089706","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6cAc","18.1405","1","0","0","-11.582382","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6d6h","14.2707","1","0","0","-17.930786","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6d6s","14.2635","1","0","0","-18.211327","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6d7d","3.98678","1","0","0","-19.091049","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6d8d","0.025615","1","0","0","-19.09108","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6dKd","5.72246","0.99961","0.00039","0","-3.684216","-0.00143684424"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6dAd","17.4314","0.266964","0.733036","0","0.643097","0.47141325249200006"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6h6s","14.3611","1","0","0","-18.204582","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6h7h","3.58242","1","0","0","-18.963669","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6h8h","0.014904","1","0","0","-19.035782","0"
"As Kh Qd","1","UTG_VS_CHECK_RAISE","UTG","6hAh","16.342","0.21965","0.78035","0","0.390259","0.30453861065"
