"index","board","decision_node","status","output_directory","combos","iteration","exploitability","elapsed_ms","error"
"1","As Kh Qd","UTG_VS_DONK","done","0001_As_Kh_Qd","250","137","0,459381461143494","21299",""
"2","As Kh Jd","UTG_VS_DONK","done","0002_As_Kh_Jd","253","129","0,475701421499252","19744",""
"3","As Kh Td","UTG_VS_DONK","done","0003_As_Kh_Td","252","129","0,449933171272278","19774",""
"4","As Kh 9d","UTG_VS_DONK","done","0004_As_Kh_9d","259","120","0,469368129968643","20087",""
"5","As Kh 8d","UTG_VS_DONK","done","0005_As_Kh_8d","259","120","0,472353994846344","20135",""
"6","As Kh 7d","UTG_VS_DONK","done","0006_As_Kh_7d","261","120","0,485029220581055","19935",""
"7","As Kh 6d","UTG_VS_DONK","done","0007_As_Kh_6d","260","120","0,473539173603058","69424",""
"8","As Kh 5d","UTG_VS_DONK","done","0008_As_Kh_5d","261","120","0,467311680316925","70335",""
"9","As Kh 4d","UTG_VS_DONK","done","0009_As_Kh_4d","263","129","0,466793209314346","21373",""
"10","As Kh 3d","UTG_VS_DONK","done","0010_As_Kh_3d","264","129","0,470012336969376","21735",""
"11","As Kh 2d","UTG_VS_DONK","done","0011_As_Kh_2d","264","129","0,47142031788826","21307",""
"12","As Qh Jd","UTG_VS_DONK","done","0012_As_Qh_Jd","257","129","0,475405752658844","20297",""
"13","As Qh Td","UTG_VS_DONK","done","0013_As_Qh_Td","256","129","0,450866848230362","19916",""
"14","As Qh 9d","UTG_VS_DONK","done","0014_As_Qh_9d","263","129","0,474275231361389","20796",""
"15","As Qh 8d","UTG_VS_DONK","done","0015_As_Qh_8d","263","129","0,47395446896553","20954",""
"16","As Qh 7d","UTG_VS_DONK","done","0016_As_Qh_7d","265","130","0,491401493549347","22091",""
"17","As Qh 6d","UTG_VS_DONK","done","0017_As_Qh_6d","264","137","0,449639230966568","22285",""
"18","As Qh 5d","UTG_VS_DONK","done","0018_As_Qh_5d","265","137","0,48479688167572","22365",""
"19","As Qh 4d","UTG_VS_DONK","done","0019_As_Qh_4d","267","145","0,482577413320541","77225",""
"20","As Qh 3d","UTG_VS_DONK","done","0020_As_Qh_3d","268","145","0,485138446092606","24173",""
"21","As Qh 2d","UTG_VS_DONK","done","0021_As_Qh_2d","268","150","0,473089247941971","23430",""
"22","As Jh Td","UTG_VS_DONK","done","0022_As_Jh_Td","258","130","0,496709108352661","22119",""
"23","As Jh 9d","UTG_VS_DONK","done","0023_As_Jh_9d","266","150","0,478042244911194","23266",""
"24","As Jh 8d","UTG_VS_DONK","done","0024_As_Jh_8d","266","145","0,471517384052277","23209",""
"25","As Jh 7d","UTG_VS_DONK","done","0025_As_Jh_7d","268","137","0,471424639225006","22778",""
"26","As Jh 6d","UTG_VS_DONK","done","0026_As_Jh_6d","267","137","0,493797808885574","21918",""
"27","As Jh 5d","UTG_VS_DONK","done","0027_As_Jh_5d","268","145","0,482235789299011","23952",""
"28","As Jh 4d","UTG_VS_DONK","done","0028_As_Jh_4d","270","150","0,476891785860062","23893",""
"29","As Jh 3d","UTG_VS_DONK","done","0029_As_Jh_3d","271","150","0,488049775362015","23882",""
"30","As Jh 2d","UTG_VS_DONK","done","0030_As_Jh_2d","271","150","0,492555469274521","23943",""
"31","As Th 9d","UTG_VS_DONK","done","0031_As_Th_9d","265","137","0,458539605140686","21837",""
"32","As Th 8d","UTG_VS_DONK","done","0032_As_Th_8d","265","137","0,457542568445206","22493",""
"33","As Th 7d","UTG_VS_DONK","done","0033_As_Th_7d","267","140","0,486704230308533","72280",""
"34","As Th 6d","UTG_VS_DONK","done","0034_As_Th_6d","266","145","0,492944717407227","23680",""
"35","As Th 5d","UTG_VS_DONK","done","0035_As_Th_5d","267","145","0,479966968297958","23062",""
"36","As Th 4d","UTG_VS_DONK","done","0036_As_Th_4d","269","145","0,48088937997818","23449",""
"37","As Th 3d","UTG_VS_DONK","done","0037_As_Th_3d","270","145","0,479690372943878","22712",""
"38","As Th 2d","UTG_VS_DONK","done","0038_As_Th_2d","270","145","0,480748951435089","72646",""
"39","As 9h 8d","UTG_VS_DONK","done","0039_As_9h_8d","273","137","0,466315537691116","22540",""
"40","As 9h 7d","UTG_VS_DONK","done","0040_As_9h_7d","275","150","0,460961103439331","24482",""
"41","As 9h 6d","UTG_VS_DONK","done","0041_As_9h_6d","274","140","0,481513619422913","23587",""
"42","As 9h 5d","UTG_VS_DONK","done","0042_As_9h_5d","275","150","0,481491953134537","24043",""
"43","As 9h 4d","UTG_VS_DONK","done","0043_As_9h_4d","277","145","0,470288008451462","23408",""
"44","As 9h 3d","UTG_VS_DONK","done","0044_As_9h_3d","278","145","0,467488527297974","23522",""
