"board","board_index","decision_node","acting_player","combo","reach_probability","fold_frequency","call_frequency","raise_frequency","ev_fold","ev_call","ev_raise","mixed_ev"
"As Kh Qd","1","UTG_VS_DONK","UTG","2c2d","0.012956","0.6612","0.314103","0.024697","0","-6.213253","-18.259315","-2.4025517096140003"
"As Kh Qd","1","UTG_VS_DONK","UTG","2c2h","0.013019","0.643748","0.331567","0.024685","0","-6.17263","-18.186802","-2.4955816185799997"
"As Kh Qd","1","UTG_VS_DONK","UTG","2c2s","0.013103","0.674272","0.300078","0.025651","0","-5.78265","-18.70755","-2.21511341175"
"As Kh Qd","1","UTG_VS_DONK","UTG","2cAc","0.17081","0.447182","0.217921","0.334897","0","4.86825","-8.56279","-1.80675877438"
"As Kh Qd","1","UTG_VS_DONK","UTG","2d2h","0.012904","0.618553","0.356068","0.025379","0","-5.906094","-16.91835","-2.532341883042"
"As Kh Qd","1","UTG_VS_DONK","UTG","2d2s","0.012988","0.648008","0.325992","0.026","0","-5.5014","-17.571949","-2.2502830628000003"
"As Kh Qd","1","UTG_VS_DONK","UTG","2dAd","0.168479","0.025645","0.373847","0.600507","0","10.2625","0.929098","4.3945346901859992"
"As Kh Qd","1","UTG_VS_DONK","UTG","2h2s","0.013051","0.629985","0.3436","0.026415","0","-5.559689","-17.393124","-2.36974851086"
"As Kh Qd","1","UTG_VS_DONK","UTG","2hAh","0.169056","0.023778","0.357432","0.618791","0","10.2307","0.596678","4.025998538698"
"As Kh Qd","1","UTG_VS_DONK","UTG","3c3d","0.015785","0.713307","0.261755","0.024938","0","-5.32811","-18.172832","-1.847853517466"
"As Kh Qd","1","UTG_VS_DONK","UTG","3c3h","0.015832","0.687089","0.288887","0.024024","0","-5.649746","-18.078461","-2.066455119766"
"As Kh Qd","1","UTG_VS_DONK","UTG","3c3s","0.015915","0.715112","0.259717","0.025171","0","-5.765095","-18.296116","-1.957824713951"
"As Kh Qd","1","UTG_VS_DONK","UTG","3cAc","0.21955","0.457803","0.217726","0.324471","0","5.16143","-8.286545","-1.564966034515"
"As Kh Qd","1","UTG_VS_DONK","UTG","3d3h","0.015738","0.651538","0.323756","0.024706","0","-4.766182","-17.227753","-1.96870888521"
"As Kh Qd","1","UTG_VS_DONK","UTG","3d3s","0.01582","0.678322","0.296551","0.025127","0","-4.837044","-17.549919","-1.875407049957"
"As Kh Qd","1","UTG_VS_DONK","UTG","3dAd","0.216546","0.025534","0.37698","0.597486","0","10.2365","1.18002","4.56400119972"
"As Kh Qd","1","UTG_VS_DONK","UTG","3h3s","0.015867","0.651165","0.323131","0.025704","0","-5.183643","-17.363819","-2.121315349809"
"As Kh Qd","1","UTG_VS_DONK","UTG","3hAh","0.217296","0.024027","0.359158","0.616816","0","10.3913","0.907957","4.292160930311999"
"As Kh Qd","1","UTG_VS_DONK","UTG","4c4d","0.029288","0.778729","0.195545","0.025726","0","-5.481636","-18.143375","-1.53866297687"
"As Kh Qd","1","UTG_VS_DONK","UTG","4c4h","0.029371","0.745592","0.230109","0.024299","0","-5.716118","-18.303566","-1.760088547096"
"As Kh Qd","1","UTG_VS_DONK","UTG","4c4s","0.029475","0.788812","0.185059","0.026129","0","-5.368484","-18.3899","-1.473995977656"
"As Kh Qd","1","UTG_VS_DONK","UTG","4c5c","0.05895","0.943702","0.016931","0.039367","0","-12.248074","-27.352562","-1.284160449148"
"As Kh Qd","1","UTG_VS_DONK","UTG","4cAc","0.21955","0.46324","0.22307","0.31369","0","5.51168","-8.373127","-1.3970757510300005"
"As Kh Qd","1","UTG_VS_DONK","UTG","4d4h","0.029198","0.708332","0.268115","0.023553","0","-5.364578","-17.430344","-1.848860722702"
"As Kh Qd","1","UTG_VS_DONK","UTG","4d4s","0.029303","0.750627","0.224428","0.024945","0","-4.912647","-17.794727","-1.546425005931"
