"index","board","decision_node","status","output_directory","combos","iteration","exploitability","elapsed_ms","error"
"1","As Kh Qd","BB_VS_DONK_RAISE","done","0001_As_Kh_Qd","355","137","0,459381461143494","20774",""
"2","As Kh Jd","BB_VS_DONK_RAISE","done","0002_As_Kh_Jd","355","129","0,475701421499252","20754",""
"3","As Kh Td","BB_VS_DONK_RAISE","done","0003_As_Kh_Td","351","129","0,449933171272278","20522",""
"4","As Kh 9d","BB_VS_DONK_RAISE","done","0004_As_Kh_9d","360","120","0,469368129968643","20635",""
"5","As Kh 8d","BB_VS_DONK_RAISE","done","0005_As_Kh_8d","363","120","0,472353994846344","20418",""
"6","As Kh 7d","BB_VS_DONK_RAISE","done","0006_As_Kh_7d","362","120","0,485029220581055","19825",""
"7","As Kh 6d","BB_VS_DONK_RAISE","done","0007_As_Kh_6d","362","120","0,473539173603058","19889",""
"8","As Kh 5d","BB_VS_DONK_RAISE","done","0008_As_Kh_5d","362","120","0,467311680316925","20288",""
"9","As Kh 4d","BB_VS_DONK_RAISE","done","0009_As_Kh_4d","364","129","0,466793209314346","21452",""
"10","As Kh 3d","BB_VS_DONK_RAISE","done","0010_As_Kh_3d","366","129","0,470012336969376","21446",""
"11","As Kh 2d","BB_VS_DONK_RAISE","done","0011_As_Kh_2d","367","129","0,47142031788826","21542",""
"12","As Qh Jd","BB_VS_DONK_RAISE","done","0012_As_Qh_Jd","356","129","0,475405752658844","20879",""
"13","As Qh Td","BB_VS_DONK_RAISE","done","0013_As_Qh_Td","352","129","0,450866848230362","70128",""
"14","As Qh 9d","BB_VS_DONK_RAISE","done","0014_As_Qh_9d","361","129","0,474275231361389","21422",""
"15","As Qh 8d","BB_VS_DONK_RAISE","done","0015_As_Qh_8d","364","129","0,47395446896553","21360",""
"16","As Qh 7d","BB_VS_DONK_RAISE","done","0016_As_Qh_7d","363","130","0,491401493549347","21768",""
"17","As Qh 6d","BB_VS_DONK_RAISE","done","0017_As_Qh_6d","363","137","0,449639230966568","21913",""
"18","As Qh 5d","BB_VS_DONK_RAISE","done","0018_As_Qh_5d","363","137","0,48479688167572","22302",""
"19","As Qh 4d","BB_VS_DONK_RAISE","done","0019_As_Qh_4d","365","145","0,482577413320541","23379",""
"20","As Qh 3d","BB_VS_DONK_RAISE","done","0020_As_Qh_3d","367","145","0,485138446092606","22845",""
"21","As Qh 2d","BB_VS_DONK_RAISE","done","0021_As_Qh_2d","368","150","0,473089247941971","23719",""
"22","As Jh Td","BB_VS_DONK_RAISE","done","0022_As_Jh_Td","352","130","0,496709108352661","20749",""
"23","As Jh 9d","BB_VS_DONK_RAISE","done","0023_As_Jh_9d","361","150","0,478042244911194","23821",""
"24","As Jh 8d","BB_VS_DONK_RAISE","done","0024_As_Jh_8d","364","145","0,471517384052277","23644",""
"25","As Jh 7d","BB_VS_DONK_RAISE","done","0025_As_Jh_7d","363","137","0,471424639225006","22505",""
"26","As Jh 6d","BB_VS_DONK_RAISE","done","0026_As_Jh_6d","363","137","0,493797808885574","22651",""
"27","As Jh 5d","BB_VS_DONK_RAISE","done","0027_As_Jh_5d","363","145","0,482235789299011","22905",""
"28","As Jh 4d","BB_VS_DONK_RAISE","done","0028_As_Jh_4d","365","150","0,476891785860062","23747",""
