"board","board_index","decision_node","acting_player","combo","reach_probability","fold_frequency","call_frequency","ev_fold","ev_call","mixed_ev"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2c2d","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2c2h","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2c2s","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2c3c","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2c4c","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2c5c","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2cKc","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2cAc","0.040908","0.358055","0.641945","0","0.557583","0.35793761893500003"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2d2h","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2d2s","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2d3d","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2d4d","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2d5d","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2dKd","6E-06","0.993467","0.006533","0","-5.601219","-0.036592763727"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2dAd","0.182861","0.000215","0.999785","0","12.404","12.40133314"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2h2s","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2h3h","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2h4h","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2h5h","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2hAh","0.103689","0.000286","0.999714","0","11.4169","11.4136347666"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2s3s","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2s4s","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2s5s","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","2sKs","0","0.79727","0.20273","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3c3d","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3c3h","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3c3s","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3c4c","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3c5c","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3c6c","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3cKc","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3cAc","0.036898","0.334632","0.665368","0","0.699421","0.465372351928"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3d3h","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3d3s","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3d4d","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3d5d","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3d6d","0","1","0","0","0","0"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3dKd","0.000562","0.995005","0.004995","0","-5.646187","-0.028202704065000004"
"As Kh Qd","1","BB_VS_DONK_RAISE","BB","3dAd","0.13167","0.000202","0.999797","0","12.5331","12.5305557807"
