flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
ABB,Weak pair,6,288,47716.46699999995,1.0,0.0,X,0.0,0.0,0.0
ABB,Air,6,109,12790.842899999996,1.0,0.0,X,0.0,0.0,0.0
ABB,Second pair,6,39,4339.729399999999,1.0,0.0,X,0.0,0.0,0.0
ABB,Top pair,6,48,5731.6149000000005,0.9997138124999999,0.0002861875,X,0.0002861875000000011,0.0,0.0
ABB,Air + BDFD,6,327,38566.78529999999,1.0,0.0,X,0.0,0.0,0.0
ABB,Second pair + BDFD,6,78,8720.9227,0.9999111631944443,8.87951388888889e-05,X,5.1333333333333576e-05,0.0,0.0
ABB,Top pair + BDFD,6,96,11476.783400000004,0.999448625,0.0005513854166666667,X,0.0005513802083333309,0.0,0.0
ABB,Third pair,6,51,2626.6587900000013,1.0,0.0,X,0.0,0.0,0.0
ABB,Third pair + BDFD,6,48,4946.5535,0.9999243611111112,7.56388888888889e-05,X,0.00011345833333333286,0.0,0.0
ABB,Air + Gutshot,6,85,6778.198450000003,1.0,0.0,X,0.0,0.0,0.0
ABB,Air + Gutshot + BDFD,6,183,19998.5762,0.9995510852813854,0.0004489125140291807,X,0.000527035519125683,0.0,0.0
ABB,Weak pair + Gutshot,5,36,3869.0790999999995,0.9961439166666667,0.003856083333333333,X,0.004924805555555554,0.0,0.0
ABB,Two pair+,6,237,21865.88991999999,0.9970444356266149,0.0029555609603789837,X,0.0030243691983122363,0.0,0.0
ABB,Third pair + Gutshot,6,120,7362.607700000003,0.9864681083333333,0.013531908333333334,X,0.013531900000000003,0.0,0.0
ABB,Second pair + Gutshot,6,120,11400.51135,0.9990675583333334,0.0009324083333333333,X,0.0009324249999999981,0.0,0.0
ABB,Top pair + Gutshot,6,117,12554.90260000001,0.9997269083333333,0.0002730916666666667,X,0.00027141025641025585,0.0,0.0
ABB,Two pair+ + BDFD,6,33,1962.4421199999997,0.9750482166666666,0.024951777777777778,X,0.02705530303030303,0.0,0.0
ABB,Second pair + Gutshot + BDFD,6,24,908.2153899999997,0.9977108750000001,0.002289125,X,0.0022891250000000012,0.0,0.0
ABB,Top pair + Gutshot + BDFD,6,18,1087.9232,0.9982612916666668,0.0017385833333333333,X,0.001738777777777777,0.0,0.0
ABB,Third pair + Gutshot + BDFD,6,24,1920.6225000000002,0.9991325833333334,0.0008674583333333333,X,0.0008674374999999976,0.0,0.0
A[K/Q]x,Weak pair,16,864,138680.97920000003,0.9996582245370371,0.0003417766203703704,X,0.0003417760416666671,0.0,0.0
A[K/Q]x,Air,16,552,48383.47575999993,1.0,0.0,X,0.0,0.0,0.0
A[K/Q]x,Second pair,16,578,56409.21469999996,0.999924082652295,7.591570811883314e-05,X,7.604065743944607e-05,0.0,0.0
A[K/Q]x,Top pair,16,584,71761.69480000001,0.9961174708614864,0.0038825324699699702,X,0.003846210616438356,7.156495025112347e-09,2.600473000029524e-05
A[K/Q]x,Air + BDFD,16,1188,142748.45339999994,1.0,0.0,X,0.0,0.0,0.0
A[K/Q]x,Second pair + BDFD,16,292,26765.030000000013,0.9978511770833334,0.002148811545138889,X,0.0021484640410958885,0.0,0.0
A[K/Q]x,Top pair + BDFD,16,304,34019.10619999999,0.9876821243055556,0.012317871527777777,X,0.01247564967105263,2.160423472122514e-09,5.994900000416692e-07
A[K/Q]x,Third pair,16,122,12767.175650000005,0.9219738940476189,0.07802610595238094,X,0.04186572131147541,0.0,0.0
A[K/Q]x,Third pair + BDFD,16,208,25469.892900000003,0.9569173869047618,0.043082601934523804,X,0.03406092307692308,2.4414703310897566e-06,0.0005995978559999671
A[K/Q]x,Two pair+,16,198,22205.07659999998,0.9696174222756412,0.030382577724358973,X,0.030062651515151518,3.650515243507911e-08,5.626000000802378e-06
A[K/Q]x,Two pair+ + BDFD,16,38,3788.7978000000003,0.9363483020833335,0.06365165625,X,0.06609555263157896,0.0,0.0
A[K/Q]x,Air + Gutshot,16,638,45300.898299999986,0.9962522784970238,0.0037477184523809523,X,0.003901053291536052,2.4001917810618965e-07,5.1962662000004654e-05
A[K/Q]x,Air + Gutshot + BDFD,16,222,20661.825400000023,0.9819727309027779,0.018027258680555554,X,0.022569731981981977,0.0,0.0
ABB,Air + OESD,3,19,1032.2745,0.9994006111111111,0.0005993888888888888,X,0.0003177894736842102,0.0,0.0
ABB,Air + OESD + BDFD,3,21,2894.368,0.9972002222222223,0.0027997222222222225,X,0.003114023809523809,0.0,0.0
A[K/Q]x,Air + OESD,2,26,1480.2884000000001,0.9995858076923076,0.0004141923076923077,X,0.0004141923076923082,0.0,0.0
