hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,X,X,X,X,X,X/D,X,X,X,X,X,X,X/D
Two pair+ + BDFD,X,X,X,X,X,X/D,X,X,X,X,X,X,D
Overpair,—,—,—,—,—,—,—,—,—,—,X,X,X/D
Overpair + Gutshot,—,—,—,—,—,—,—,—,—,—,X/D,X,D
Overpair + OESD,—,—,—,—,—,—,—,—,—,—,—,X,D
Top pair,X,X,X,X,X,X,X,X,X,X,X,X,X/D
Top pair + BDFD,X,X,X,X,X,X,X,X,X,X,X,X,X/D
Top pair + Gutshot,X,—,—,—,—,X,X,X,—,X,X,X,D
Top pair + Gutshot + BDFD,X,—,—,—,—,X,X,X,—,X,X,X,D
Top pair + OESD,—,—,—,—,—,—,X,X,—,—,X/D,X,D
Top pair + OESD + BDFD,—,—,—,—,—,—,X,X,—,—,X/D,X,D
Second pair,X,X,X,X,X,X,X,X,X,X,X,X,X
Second pair + BDFD,X,X,X,X,X,X,X,X,X,X,X,X,X/D
Second pair + Gutshot,X,—,—,—,—,X,X,X,—,X,X,X,X/D
Second pair + Gutshot + BDFD,X,—,—,—,—,X,X,X,—,X,X,X,X/D
Second pair + OESD,—,—,—,—,—,—,X,X,—,—,X/D,X,D
Second pair + OESD + BDFD,—,—,—,—,—,—,X,X,—,—,X/D,X,D
Third pair,X,X,X,X,X,X,X,X,X,X,X,X,X
Third pair + BDFD,X,X,X,X,X,X,X,X,X,X,X,X,X
Third pair + Gutshot,X,—,—,—,—,X/D,X,X,—,X,X,X,X/D
Third pair + Gutshot + BDFD,X,—,—,—,—,X,X,X,—,X,X,X,X/D
Third pair + OESD,—,—,—,—,—,—,X,X,—,—,X,X,D
Third pair + OESD + BDFD,—,—,—,—,—,—,X,X,—,—,X/D,X,D
Underpair,—,—,X,X,X,X,—,X,X,X,X,X,X
Underpair + Gutshot,—,—,—,—,—,X,—,X,—,X,X,X,X/D
Underpair + OESD,—,—,—,—,—,—,—,X,—,—,—,X,D
Weak pair,X,X,X,X,X,X,X,X,X,X,X,X,X/D
Weak pair + Gutshot,X,—,—,—,—,X,X,X,—,—,X,X,D
Weak pair + OESD,—,—,—,—,—,—,X,X,—,—,X,X,X/D
2 overcards,—,—,—,—,—,—,—,—,X,X,X,X,X
2 overcards + BDFD,—,—,—,—,—,—,—,—,—,—,X,X,X/D
2 overcards + Gutshot,—,—,—,—,—,—,—,X,—,—,X,X,X/D
2 overcards + Gutshot + BDFD,—,—,—,—,—,—,—,X,—,—,X,X/D,X/D
2 overcards + OESD,—,—,—,—,—,—,—,X,—,—,X,X,X/D
2 overcards + OESD + BDFD,—,—,—,—,—,—,—,X,—,—,X,X,X/D
A-high,—,—,—,—,—,—,—,X,X,X,X,X,X
A-high + BDFD,—,—,—,—,—,—,—,X,X,X,X,X,X/D
A-high + Gutshot,—,—,—,—,—,—,X,X,X,X,X,X,X/D
A-high + Gutshot + BDFD,—,—,—,—,—,—,X,X,X,X,X,X,X/D
A-high + OESD,—,—,—,—,—,—,X,X,—,—,X,X,X
A-high + OESD + BDFD,—,—,—,—,—,—,X,X,—,—,X/D,X,X/D
Air,X,X,X,X,X,X,X,X,X,X,X,X,X
Air + BDFD,X,X,X,X,X,X,X,X,X,X,X,X,X/D
Air + Gutshot,X,X,X,X,X,X,X,X,X,X,X,X,X/D
Air + Gutshot + BDFD,X,X,X,X,X,X/D,X,X,X,X,X,X,X/D
Air + OESD,X,X,X,—,X,X,X,X,X,X,X,X,X/D
Air + OESD + BDFD,X,X,X,—,X,X/D,X,X,X,X,X,X,X/D
