flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
[7-4]x,A-high + BDFD,7,27,4211.7570000000005,0.5259714761904762,0.4740285238095238,X/D,0.3352676296296296,0.00996341980464351,0.038409424506
[7-4]x,Air + BDFD,10,108,12434.931699999994,0.6422777182828283,0.3577222478787879,X/D,0.34356277777777783,0.00922387794576449,0.03677070583200006
[7-4]x,A-high + Gutshot,15,24,3589.9679999999994,0.44937386666666657,0.5506260999999999,X/D,0.35764468749999995,0.007611727209710447,0.031095680879999855
A[6-2]x,Third pair,10,33,3688.1751,0.7321151708333333,0.2678848291666666,X,0.27262951515151523,0.00691906296249203,0.035044315469999886
A[6-2]x,Air + Gutshot,10,53,6216.5003,0.7914097091666668,0.20859027833333332,X,0.24770416037735848,0.00676434748169138,0.06260347916999986
[7-4]x,2 overcards + BDFD,20,1125,144919.47300000017,0.4822474941131465,0.5177525121549842,X/D,0.28936103555555553,0.005309430461003761,0.10288006755900003
A[6-2]x,Two pair+ + BDFD,10,47,6001.6144,0.43730363333333333,0.5626963833333333,X/D,0.2079707553191489,0.005130650241207458,0.05504499999999979
A[6-2]x,Second pair,10,61,7517.3657,0.6584171305555555,0.34158286944444444,X,0.2881076393442623,0.004716454552843732,0.04659915092000002
A[6-2]x,Two pair+,10,95,16209.982799999996,0.5606363397222223,0.43936366027777785,X/D,0.22876093684210522,0.004601309518499397,0.0608949999999993
[7-4]x,Air + Gutshot,16,53,6362.635800000001,0.4808202887152777,0.5191797029513889,X/D,0.20437150943396226,0.0032061913112598718,0.04769500000000004
