flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
[7-4]x,Weak pair + OESD,6,36,408.98371,0.45472833333333335,0.5452716666666667,X/B,0.4286041666666668,0.05481513213266599,0.22998000000000046
[J-8]x dis,Third pair + BDFD,67,232,33467.42928099998,0.3362037053482587,0.6637962825870646,B,0.480605183189655,0.022571676807325795,0.4394100000000002
[J-8]x con,Third pair + BDFD,26,94,13524.100173,0.6041049935897438,0.39589500641025643,X/B,0.3626490957446808,0.02228559409329682,0.1443100000000001
[7-4]x,Second pair + OESD,5,5,95.205794,0.4048322,0.5951679999999999,X/B,0.36194509999999996,0.018073534412151343,0.051685000000000515
[J-8]x dis,Second pair + Gutshot,9,14,614.400552,0.5191880000000001,0.4808119444444444,X/B,0.36620253571428574,0.016688813860319653,0.11839000000000013
BBx,Third pair + BDFD,47,250,28584.75650599999,0.2091315852836879,0.7908684147163121,B,0.21432247199999999,0.015017962703327403,0.21967999999999996
BBx,Third pair,47,125,14281.423835999998,0.2304302329787234,0.7695697670212767,B,0.279614564,0.014231193005887707,0.19529999999999995
A[6-2]x,Weak pair,4,72,1915.256,0.578679638888889,0.42132036111111104,X/B,0.35739572222222227,0.013199249433695107,0.03880000000000017
A[9-7]x,Weak pair,18,552,45231.77350000003,0.6118713604938271,0.38812863657407404,X/B,0.4066159347826083,0.013115457292641792,0.0777700000000003
A[6-2]x,Third pair,2,3,210.5838,0.540966,0.45903399999999994,X/B,0.27512566666666666,0.010997661168617804,0.02295999999999978
