flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
ABB,Weak pair,6,288,40695.16400000001,1.0,0.0,0.0,F,0.0,0.0,0.0
ABB,Air,6,109,10933.561500000002,1.0,0.0,0.0,F,0.0,0.0,0.0
ABB,Second pair,6,39,3780.822199999999,1.0,0.0,0.0,F,0.0,0.0,0.0
ABB,Top pair,6,48,4824.3215,0.2917282083333333,0.7015736458333333,0.006698187500000001,C,0.29842637499999997,0.0005403016952058251,0.0112659357877
ABB,Air + BDFD,6,327,32984.33860000001,1.0,0.0,0.0,F,0.0,0.0,0.0
ABB,Second pair + BDFD,6,78,7594.124599999998,0.67747540625,0.28522269791666666,0.037301868055555555,F,0.3700945641025641,0.01736490291865026,0.13943293132100001
ABB,Top pair + BDFD,6,96,9782.420900000006,0.0,0.9328316354166667,0.0671683645833333,C,0.06716836458333333,6.189347669721957e-05,0.0016936036199998838
ABB,Third pair,6,51,2241.236350000001,1.0,0.0,0.0,F,0.0,0.0,0.0
ABB,Third pair + BDFD,6,48,4215.8712000000005,0.9358321180555554,0.05945590277777779,0.004711999999999999,F,0.08856587500000002,0.0010911917543503361,0.06908326084230001
ABB,Air + Gutshot,6,85,5714.31707,0.9999406388888888,0.0,5.9377777777777775e-05,F,3.83000000000007e-05,0.0,0.0
ABB,Air + Gutshot + BDFD,6,183,16838.2816,0.7816721850408851,0.08287956133557799,0.1354482805034472,F,0.21569927595628416,0.005062992329496712,0.142245815271
ABB,Weak pair + Gutshot,5,36,3320.4714,0.45702425,0.2207234833333333,0.3222523333333333,F/R,0.33960794444444437,0.009240022179277618,0.056130830997
ABB,Two pair+,6,237,18369.914429999993,0.0,0.5233631576591798,0.4766368372482277,C/R,0.3094936940928269,0.0036717891164624395,0.057709999999999796
ABB,Third pair + Gutshot,6,120,6248.594799999998,0.025111875000000002,0.7179619333333335,0.2569262333333333,C,0.2820380874999999,0.0021536863010096392,0.0514978036082
ABB,Second pair + Gutshot,6,120,9744.57164,0.0007562749999999999,0.8686978999999999,0.13054581666666668,C,0.1313020958333333,0.00017185027506480194,0.028750993375
ABB,Top pair + Gutshot,6,117,10691.649700000002,0.0,0.9594762043859649,0.04052381228070175,C,0.04101782051282051,4.285317553324522e-05,0.021201489339999567
ABB,Two pair+ + BDFD,6,33,1652.4435299999996,0.0,0.13019836111111113,0.8698016111111112,R,0.12758340909090904,0.0021581716566108056,0.01045468185000047
ABB,Second pair + Gutshot + BDFD,6,24,778.9280799999999,0.0,0.45795462499999995,0.5420453333333334,C/R,0.28479102083333335,0.01370364812132357,0.09853500000000004
ABB,Top pair + Gutshot + BDFD,6,18,935.0952000000001,0.0,0.640846375,0.359153625,C/R,0.23509127777777783,0.004143786037959986,0.010002118229999723
ABB,Third pair + Gutshot + BDFD,6,24,1623.2753,0.0,0.26491020833333334,0.7350898333333333,R,0.2649101875,0.0034621876755874478,0.03125898071999984
A[K/Q]x,Weak pair,16,864,95548.85399999998,1.0,0.0,0.0,F,0.0,0.0,0.0
A[K/Q]x,Air,16,552,33232.65169999999,1.0,0.0,0.0,F,0.0,0.0,0.0
A[K/Q]x,Second pair,16,578,39044.511400000025,0.34856474218012656,0.6291957520551802,0.022239511265283143,F/C,0.25411345242214545,0.05758890710879102,0.268524
A[K/Q]x,Top pair,16,584,48898.3728,0.0,0.9695066475694443,0.03049334041854354,C,0.030565545376712324,9.941254834140137e-05,0.017408841669999474
A[K/Q]x,Air + BDFD,16,1188,97511.06669000005,1.0,0.0,0.0,F,0.0,0.0,0.0
A[K/Q]x,Second pair + BDFD,16,292,18557.035939999998,0.0,0.8407856907118055,0.1592143245659722,C,0.15243942465753432,0.0021653056769674506,0.10197820072
A[K/Q]x,Top pair + BDFD,16,304,22774.682219999995,0.0,0.8756922909722222,0.12430769930555555,C,0.12541385032894733,0.0007757128013991847,0.17400999999999983
A[K/Q]x,Third pair,16,122,8815.889879999997,0.9963921450892858,3.58984375e-06,0.0036042806919642854,F,0.0066173893442622944,9.617780164389125e-05,0.0466896916176
A[K/Q]x,Third pair + BDFD,16,208,17471.1139,0.16850213612351192,0.44817095390625006,0.3833269072916666,C/R,0.3227642644230771,0.007383744274846916,0.11243175187559999
A[K/Q]x,Two pair+,16,198,14400.6125,0.0,0.17100039623397437,0.8289996037660257,R,0.17343933838383835,0.0005960681148506501,0.013061858200001098
A[K/Q]x,Two pair+ + BDFD,16,38,2561.9628899999993,0.0,0.4135249895833334,0.5864750104166665,C/R,0.36174213157894736,0.007260877794103124,0.18939999999999912
A[K/Q]x,Air + Gutshot,16,638,30947.548039999965,0.18082256767971613,0.7022027325034339,0.11697470038347071,C,0.2950444608150467,0.00326392980923215,0.35441
A[K/Q]x,Air + Gutshot + BDFD,16,222,13203.470800000003,0.0246776875,0.37070796875,0.6046143055555555,C/R,0.18748442342342345,0.004013789605688511,0.06772500071999996
ABB,Air + OESD,3,19,850.8173400000001,0.1111111111111111,0.640873992063492,0.248014873015873,C/R,0.20126513157894738,0.06833964439595511,0.46392605
ABB,Air + OESD + BDFD,3,21,2357.3755000000006,0.008463814814814815,0.3010236851851852,0.6905124814814814,R,0.32614119047619045,0.0025579570402296673,0.008252011080000088
A[K/Q]x,Air + OESD,2,26,1064.4162,0.0,0.6023414230769231,0.3976585384615384,C/R,0.10900644230769233,0.0012331381685816837,0.007385623650000284
A[K/Q]x,Air + OESD + BDFD,2,6,500.92979999999994,0.0,0.1753513333333333,0.8246486666666666,R,0.17535133333333333,0.0,0.0
A[J-T][9-5],Weak pair,10,450,47302.31439999998,1.0,0.0,0.0,F,0.0,0.0,0.0
A[J-T][9-5],Air,10,273,17642.910439999996,1.0,0.0,0.0,F,0.0,0.0,0.0
A[J-T][9-5],Top pair,10,360,23540.83434999998,0.0,0.9747574055555555,0.025242583333333336,C,0.0252425888888889,5.109558337751774e-05,0.02129493288000006
A[J-T][9-5],Air + BDFD,10,747,52731.14751999999,1.0,0.0,0.0,F,0.0,0.0,0.0
A[J-T][9-5],Top pair + BDFD,10,180,11842.05899000001,0.0,0.8203365944444446,0.17966339999999997,C,0.1796634027777779,0.0002304831449648926,0.07206000000000046
A[J-T][9-5],Third pair,10,88,6132.163810000001,0.9987249150793651,1.2225595238095239e-05,0.0012628339285714288,F,0.0012153068181818187,0.0,0.0
A[J-T][9-5],Third pair + BDFD,10,158,11923.24961,0.11668218521825395,0.5921972347222222,0.2911205584325397,C/R,0.3072846613924049,0.003486660513294721,0.0933801
A[J-T][9-5],Air + Gutshot,10,380,22784.095419999994,0.2835660308596978,0.5677645843300991,0.14866935930572325,F/C,0.3294419171052632,0.029912269450639788,0.4510838906279999
A[J-T][9-5],Second pair,10,364,14734.216189999996,0.5267028248823366,0.44761716945220476,0.025680031734181513,F/C,0.3626553145604396,0.01983528898005711,0.135834314926
A[J-T][9-5],Air + Gutshot + BDFD,10,168,9029.990399999997,0.13699309666666665,0.25528364793650793,0.6077232420634922,C/R,0.39604052976190485,0.0256527833434193,0.47474395
A[J-T][9-5],Second pair + BDFD,10,116,6585.70492,0.0,0.7543420342857142,0.24565797452380958,C,0.2488602543103448,0.00278074057300313,0.016973171625000026
A[J-T][9-5],Air + OESD,5,71,2963.544800000001,0.0,0.5155073839560439,0.48449261040293035,C/R,0.10233136619718311,0.0009834018134480405,0.008092295640000201
A[J-T][9-5],Air + OESD + BDFD,5,33,2191.3357300000002,0.0,0.055854477777777786,0.9441454888888888,R,0.049657681818181816,6.419633801912568e-05,0.0006999438899999433
A[J-T][9-5],Two pair+,10,164,12620.228039999995,0.0,0.27514493992753625,0.7248550409057971,R,0.28369542378048784,0.0019181008774684749,0.1440800000000003
A[J-T][9-5],Two pair+ + BDFD,10,27,1676.90497,0.0,0.32013664999999997,0.6798633833333333,R,0.3116673888888889,0.002708453847477103,0.013650735480000264
A[J-T][4-2],Weak pair,6,270,24097.209199999998,1.0,0.0,0.0,F,0.0,0.0,0.0
A[J-T][4-2],Air + Gutshot,6,252,12460.529619999994,0.12125644444444443,0.7337686309523809,0.14497492857142857,C,0.26623137103174604,0.0008078392207422777,0.030216293650000024
A[J-T][4-2],Third pair,6,32,1370.5502399999998,0.9714399380952381,0.028192392857142857,0.0003676607142857143,F,0.024197031249999997,7.066873915915779e-05,0.011374495227
A[J-T][4-2],Air,6,205,11056.97777,1.0,0.0,0.0,F,0.0,0.0,0.0
A[J-T][4-2],Top pair,6,216,11930.449230000002,0.0,0.9810940694444445,0.018905930555555558,C,0.018905930555555547,1.4962547784043088e-05,0.004036555899999428
A[J-T][4-2],Air + Gutshot + BDFD,6,108,4116.253000000001,0.0,0.1698359074074074,0.8301641018518519,R,0.1698359027777778,0.0005167176596053972,0.013110385561000016
A[J-T][4-2],Air + BDFD,6,507,32974.59548,1.0,0.0,0.0,F,0.0,0.0,0.0
A[J-T][4-2],Top pair + BDFD,6,108,5948.210849999999,0.0,0.8367956851851851,0.16320432407407406,C,0.16320431944444447,0.0002080400235797092,0.05301581141999989
A[J-T][4-2],Third pair + BDFD,6,64,3080.0735059999997,0.034504704761904766,0.6196399660714286,0.34585535773809517,C/R,0.33606796875000006,0.018446632145783397,0.09765899999999998
A[J-T][4-2],Two pair+,6,90,5997.7003,0.0,0.2336612,0.7663387666666668,R,0.2336612166666666,0.010034909886488638,0.23576999999999942
A[J-T][4-2],Two pair+ + BDFD,6,12,589.6301,0.0,0.42293325,0.5770667500000001,C/R,0.4103245833333333,0.002228945425212296,0.008157861599998739
A[J-T][4-2],Second pair,6,228,7804.469110000002,0.27581910500352363,0.6767347562837678,0.04744610688278131,C,0.3110128574561403,0.004667947666748253,0.06369692445120001
A[J-T][4-2],Second pair + BDFD,6,78,3903.52933,0.0,0.7433071527777778,0.25669284722222224,C,0.259435282051282,0.003031214660773604,0.023035112903999976
A[J-T][9-5],Underpair,5,30,1711.7011,0.42028790000000005,0.5756996666666666,0.004012366666666667,F/C,0.16652170000000005,0.002313747035390314,0.017155433532199997
A[J-T][4-2],Underpair,3,18,904.2975,0.35487722222222223,0.6451227777777778,0.0,F/C,0.16460466666666668,0.00043186770800698177,0.0027784175674999993
A[9-7]x,Weak pair,18,552,48507.60330000005,0.8864806075617284,0.1134535799382716,6.580308641975307e-05,F,0.1171204048913045,0.002394694818305564,0.0300667038258
A[9-7]x,Air,18,1790,75314.37390999995,0.9979401383147004,0.0020598611459253496,0.0,F,0.002309644413407821,4.6849728937506796e-05,0.006771261186000001
A[9-7]x,Top pair,18,810,45135.097139999976,0.0,0.9784855037037039,0.021514497530864197,C,0.021514496913580247,1.3602401913078e-05,0.006991542000000095
A[9-7]x,Air + BDFD,18,1374,69018.40651000006,0.9258399481645816,0.07268368183828329,0.0014763739097178763,F,0.08048346906841339,0.0014386957860759836,0.417464
A[9-7]x,Top pair + BDFD,18,324,16301.010190000008,0.0,0.9120231790123456,0.08797682716049385,C,0.0879768240740741,4.406473908938303e-05,0.023911369440000385
A[9-7]x,Air + Gutshot,18,154,6195.8793099999975,0.008721763507625272,0.6664741323555348,0.3248040977824463,C,0.29202361688311695,0.0038505202039580662,0.2588003
A[9-7]x,Third pair,18,118,5191.838479999999,0.07862926984126985,0.8336073442460318,0.08776336825396826,C,0.17063366101694916,0.005547397453110038,0.18961509999999998
A[9-7]x,Second pair,18,202,8913.243040000001,0.00935310267857143,0.7322446956958709,0.2584022055224867,C,0.26586305198019805,0.003833081145130841,0.13074752671200002
A[9-7]x,Air + Gutshot + BDFD,18,246,12809.942189999992,8.398148148148148e-06,0.4049534214285715,0.5950381773368608,C/R,0.25755650000000013,0.0044398383597969,0.1236600000000001
A[9-7]x,Second pair + BDFD,18,278,18281.723540000006,0.0,0.724513417217813,0.2754865836640212,C,0.2791740251798562,0.0030770011086876828,0.08537857314000022
A[9-7]x,Third pair + BDFD,18,236,12795.959659999995,0.0,0.8965716786044974,0.10342833230820105,C,0.10135333686440677,0.0004240165325318969,0.026005618503999805
A[9-7]x,Air + OESD,10,45,1717.2902800000002,0.0,0.32794587333333336,0.6720541766666667,R,0.38611947777777783,0.002417251290880308,0.02448254839999997
A[9-7]x,Air + OESD + BDFD,10,63,3852.0539,0.0,0.09019946111111113,0.9098005277777776,R,0.10112656349206348,0.000828630653077819,0.004990457919999613
A[9-7]x,Two pair+,18,154,10216.384450000009,0.0,0.3125503695987654,0.6874496296296297,R,0.3139491753246754,0.007203256296146732,0.12441000000000031
A[9-7]x,Two pair+ + BDFD,18,45,2221.31326,0.0,0.38747247222222225,0.6125274999999999,C/R,0.21269147777777775,0.0004811757926011438,0.00656469614999935
A[9-7]x,Underpair,18,312,19700.33099999999,0.05228054398148149,0.940519226080247,0.007200225308641974,C,0.05867665865384619,0.00014605822478499332,0.013208370704999996
A[6-2]x,Weak pair,4,72,5601.2496999999985,0.9130376805555556,0.08221619444444445,0.004746138888888888,F,0.08696232638888891,0.0015491641330600422,0.0188808432068
A[6-2]x,Air + Gutshot,10,53,1688.1590199999996,0.010528150833333333,0.7449409358333333,0.24453094833333333,C,0.2283131698113207,0.005558448130389613,0.25157937012
A[6-2]x,Third pair,10,33,975.4591800000001,0.0072813375,0.8834555916666668,0.10926307083333334,C,0.1266087272727273,0.0015182927465788427,0.023030673511999923
A[6-2]x,Air,10,1102,36249.74558000001,0.9981799299000891,0.0018200700999108123,0.0,F,0.0018533203266787662,5.7386591897989066e-05,0.007283182726599999
A[6-2]x,Top pair,10,438,18003.363032999994,0.0,0.9719385841860465,0.028061408837209294,C,0.02796005136986302,3.634728226892402e-05,0.003280217110000194
A[6-2]x,Air + Gutshot + BDFD,10,159,4218.852890000001,0.0,0.49928670166666667,0.5007132991666666,C/R,0.31170106918239004,0.01006027477797752,0.16476458170000044
A[6-2]x,Air + BDFD,10,786,33726.39630999998,0.931744836408906,0.06584390444986493,0.0024112556559489893,F,0.06994124872773536,0.0014199310765330901,0.409317
A[6-2]x,Top pair + BDFD,10,156,5859.063613000004,0.0,0.8627195777777776,0.13728042936507937,C,0.13139949038461532,9.272883044034032e-05,0.007713548640000312
A[6-2]x,Third pair + BDFD,10,66,2363.2252900000008,0.0,0.8555274791666665,0.14447252083333334,C,0.12629065151515154,0.001264870296072226,0.07060198562000011
A[6-2]x,Air + OESD,6,12,451.8935,0.0,0.2044119166666667,0.7955880833333334,R,0.22672858333333337,0.004790846965642423,0.016189690399999533
A[6-2]x,Second pair,10,61,1950.7110400000006,5.166666666666667e-06,0.6334930027777778,0.3665018305555556,C/R,0.30884226229508205,0.04794128126792073,0.2112571
A[6-2]x,Air + OESD + BDFD,6,36,1198.7883999999997,0.0,0.041310962962962966,0.9586890370370371,R,0.04519188888888889,0.00037858848196229355,0.0031251904100003
A[6-2]x,Second pair + BDFD,10,122,4569.804529999997,0.0,0.6597763965277779,0.34022360347222225,C,0.3290371229508196,0.005226191377622753,0.14414336118000026
A[6-2]x,Two pair+,10,94,3231.937504,0.0,0.2296501827777778,0.7703498383333331,R,0.22959306382978728,0.005953080706329081,0.2956194087600011
A[6-2]x,Two pair+ + BDFD,10,43,864.7552610000002,0.0,0.3066446533333334,0.6933553466666666,R,0.27068990697674417,0.009100789681574326,0.2708926925400007
A[6-2]x,Underpair,10,336,18687.3209,0.06708594444444445,0.8924937350000001,0.040420298333333333,C,0.11102283184523805,0.002044372942561442,0.0433834638917
A[6-2]x,Weak pair + Gutshot,5,48,2491.4356000000002,0.0,0.9113537333333334,0.08864626666666667,C,0.10038662500000001,0.0010978734497823657,0.00645697553799991
A[6-2]x,Third pair + Gutshot,6,12,270.08296,0.0,0.47988608333333344,0.5201139166666665,C/R,0.30053708333333334,0.008993539575817378,0.1526911565999999
A[6-2]x,Second pair + Gutshot,6,12,443.9015,0.0,0.6255265833333333,0.3744734166666666,C/R,0.2637279166666667,0.005729471383104576,0.09507736860000016
A[6-2]x,Top pair + Gutshot,6,12,497.95130000000006,0.0,0.9501795833333334,0.04982041666666667,C,0.04982041666666667,0.0,0.0
A[6-2]x,Second pair + Gutshot + BDFD,6,24,906.3178999999999,0.0,0.4571400416666667,0.5428600833333332,C/R,0.21628077083333339,0.007861918887262223,0.0910994684200002
A[6-2]x,Top pair + Gutshot + BDFD,6,24,932.4461999999999,0.0,0.936469625,0.06353037499999999,C,0.063530375,0.0,0.0
A[6-2]x,Third pair + Gutshot + BDFD,6,24,611.38351,0.0,0.271433125,0.728566875,R,0.27143312500000005,0.007928260930458345,0.029376772039999822
A[6-2]x,Underpair + Gutshot,3,24,1341.8791,0.0,0.8768824444444444,0.12311752777777778,C,0.10037829166666667,0.0013338494806274224,0.008689244871999869
BBB,Weak pair,4,162,22749.312000000005,1.0,0.0,0.0,F,0.0,0.0,0.0
BBB,Air,4,56,5444.905800000001,1.0,0.0,0.0,F,0.0,0.0,0.0
BBB,Top pair,4,25,2293.3394,0.9373166071428571,0.06268339285714286,0.0,F,0.07020539999999999,0.0013920918962882127,0.0085136631708
BBB,A-high + Gutshot,4,30,2986.404,1.0,0.0,0.0,F,0.0,0.0,0.0
BBB,Air + BDFD,4,168,16337.214600000001,1.0,0.0,0.0,F,0.0,0.0,0.0
BBB,Top pair + BDFD,4,50,4686.285800000001,0.0,0.9729611785714285,0.027038821428571426,C,0.030283479999999995,0.0,0.0
BBB,A-high + Gutshot + BDFD,4,90,8867.578199999998,0.7907447604166667,0.11872359375,0.09053165625000001,F,0.22320559444444443,0.003192903988651534,0.0189550345706
BBB,Second pair,4,13,786.3895000000001,1.0,0.0,0.0,F,0.0,0.0,0.0
BBB,Second pair + BDFD,4,26,1581.5579999999995,0.7330371375,0.2616282625,0.005334575,F,0.3873059038461539,0.02296159404839198,0.16108829112200002
BBB,Air + Gutshot,4,14,1438.8373000000001,1.0,0.0,0.0,F,0.0,0.0,0.0
BBB,Air + Gutshot + BDFD,4,42,4328.8496,1.0,0.0,0.0,F,0.0,0.0,0.0
BBB,Air + OESD,4,22,2218.5489000000002,0.28825378928571427,0.662209425,0.04953682499999999,C,0.5524697272727273,0.12548790597396337,0.6177731
