hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,C/R,R,R,R,R,R,C,R,R,R,R,R,R
Two pair+ + BDFD,R,C/R,R,C/R,C/R,R,C/R,R,R,R,R,C/R,R
Overpair,—,—,—,—,—,—,—,—,—,—,C,C,C
Overpair + Gutshot,—,—,—,—,—,—,—,—,—,—,C,C/R,C
Overpair + OESD,—,—,—,—,—,—,—,—,—,—,—,C,C
Top pair,C,C,C,C,C,C,F,C,C,C,C,C,C
Top pair + BDFD,C,C,C,C,C,C,C,C,C,C,C/R,C,C
Top pair + Gutshot,C,—,—,—,—,C,C,C,—,C,C/R,C/R,C/R
Top pair + Gutshot + BDFD,C/R,—,—,—,—,C,C,C/R,—,R,R,C/R,C/R
Top pair + OESD,—,—,—,—,—,—,C,C,—,—,R,C/R,R
Top pair + OESD + BDFD,—,—,—,—,—,—,C,C/R,—,—,R,C/R,R
Second pair,F,F/C,F/C,C,C,C/R,F,C,C,C,C,C,C
Second pair + BDFD,F,C,C,C,C,C,F,C,C,C,C,C,C
Second pair + Gutshot,C,—,—,—,—,C/R,C,C,—,C,C,C,C
Second pair + Gutshot + BDFD,C/R,—,—,—,—,C/R,C,C/R,—,C,C/R,C,C
Second pair + OESD,—,—,—,—,—,—,C,C,—,—,R,C,C/R
Second pair + OESD + BDFD,—,—,—,—,—,—,C/R,C/R,—,—,R,C/R,R
Third pair,F,F,F,F,C,C,F,F/C,C,C,C,C,C
Third pair + BDFD,F,C/R,C/R,C/R,C,C,F,C,C,C,C,C,C
Third pair + Gutshot,C,—,—,—,—,C/R,F/C,C,—,C,C,C,C
Third pair + Gutshot + BDFD,R,—,—,—,—,R,F/C,C,—,C,C,C,C
Third pair + OESD,—,—,—,—,—,—,C,C,—,—,C,C,C/R
Third pair + OESD + BDFD,—,—,—,—,—,—,C/R,C,—,—,R,C/R,R
Underpair,—,—,F/C,F/C,C,C,—,C,C,C,C,C,C
Underpair + Gutshot,—,—,—,—,—,C,—,C,—,C,C,C,C
Underpair + OESD,—,—,—,—,—,—,—,C/R,—,—,—,C,C
Weak pair,F,F,F,F,F,F,F,F,F/C,F,F/C,F,F/C
Weak pair + Gutshot,F/R,—,—,—,—,C,F,F/C,—,—,C,F/C,C
Weak pair + OESD,—,—,—,—,—,—,F/R,C/R,—,—,C,C,C
2 overcards,—,—,—,—,—,—,—,—,C,C,F/C,F/C,F
2 overcards + BDFD,—,—,—,—,—,—,—,—,—,—,C,C,F/C
2 overcards + Gutshot,—,—,—,—,—,—,—,C,—,—,C/R,C/R,C/R
2 overcards + Gutshot + BDFD,—,—,—,—,—,—,—,R,—,—,R,R,R
2 overcards + OESD,—,—,—,—,—,—,—,C/R,—,—,C/R,C/R,R
2 overcards + OESD + BDFD,—,—,—,—,—,—,—,R,—,—,R,R,R
A-high,—,—,—,—,—,—,—,F,F,F,F,F,F
A-high + BDFD,—,—,—,—,—,—,—,F,F/C,F/C,F/C,F/C,F/R
A-high + Gutshot,—,—,—,—,—,—,F,C,C/R,C/R,C/R,F/R,F/R
A-high + Gutshot + BDFD,—,—,—,—,—,—,F,C/R,R,R,C/R,C/R,C/R
A-high + OESD,—,—,—,—,—,—,F/C,C,—,—,C/R,F/C,C/R
A-high + OESD + BDFD,—,—,—,—,—,—,C,R,—,—,R,C/R,C/R
Air,F,F,F,F,F,F,F,F,F,F,F,F,F
Air + BDFD,F,F,F,F,F,F,F,F,F,F,F,F,F
Air + Gutshot,F,C,F/C,C,C,C,F,F,C/R,C/R,C/R,F/R,C/R
Air + Gutshot + BDFD,F,C/R,C/R,R,C/R,C/R,F,F/C,R,R,R,F/R,C/R
Air + OESD,C/R,C/R,C/R,—,R,R,C,C/R,R,R,C/R,R,R
Air + OESD + BDFD,R,R,R,—,R,R,C/R,R,R,R,R,R,R
