flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
[7-4]x,A-high + Gutshot,15,24,842.5751260000001,0.3188324666666666,0.31168510000000005,0.36948250000000005,F/R,0.5458470624999999,0.6511156162662279,1.0780978478
[J-8]x con,Air + Gutshot + BDFD,26,328,19353.008398999995,0.22432986721611725,0.17953655450752953,0.5961335757478632,F/R,0.5010683521341465,0.6209752062944869,1.17291987208
BBB,Weak pair + OESD,3,18,1920.5913,0.3333333333333333,0.3012073333333333,0.36545933333333336,F/R,0.511155388888889,0.5172799555571188,0.9248731433600001
[J-8]x con,Air + Gutshot,26,146,7578.817103999998,0.3117619612627516,0.2582559932884899,0.4299820307104396,F/R,0.6044085239726028,0.47078591022458466,0.8789548999999999
[J-8]x con,A-high + Gutshot,23,52,3821.684860000001,0.36415566149068324,0.30705793633540374,0.32878640217391303,F/R,0.553065076923077,0.4604495179460103,1.1074753960000003
[J-8]x con,A-high + OESD,8,20,1368.3893,0.25,0.6076146153846154,0.14238525961538462,F/C,0.499999975,0.44706487512763937,1.58801376459
BBB,Third pair + Gutshot + BDFD,4,16,1453.9284999999995,0.46268425,0.455839125,0.08147668749999999,F/C,0.47160896875,0.19159185828676834,0.5570508063999999
BBx,Weak pair + Gutshot,8,66,6253.977999999999,0.42831259375,0.49859508333333336,0.07309236458333332,F/C,0.43849669696969695,0.1619549442604312,0.32967403403999995
BBB,A-high + OESD,1,2,273.44100000000003,0.5,0.44965,0.05035,F/C,0.5,0.15060849327492948,0.1877988
[7-4]x,2 overcards + BDFD,20,1091,27771.142474000007,0.3894499730915884,0.47002576278643343,0.1405242699087515,F/C,0.4725752048579285,0.146101606160724,0.6193018839099999
