flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
BBx,Weak pair + Gutshot,6,45,170.49632800000003,0.3484724388888889,0.6515275749999999,C,0.22104365555555555,0.626989295853829,1.5541435
BBB,Third pair + Gutshot + BDFD,4,16,152.763734,0.4859749375,0.5140250625,F/C,0.4859749375,0.5559314791453853,0.815885
[J-8]x dis,Weak pair,50,686,1233.9951179999994,0.5663919176927537,0.43360808230724635,F/C,0.474917193877551,0.3999106081610435,1.09194105
[J-8]x con,Air + Gutshot,24,59,409.2090090000001,0.25720082738095235,0.7427991726190477,C,0.24795283050847458,0.3886225327038104,2.5362267
[7-4]x,2 overcards + Gutshot,16,249,862.9053109999998,0.22164403409961686,0.7783559670367468,C,0.786986439759036,0.33926241936585394,0.7589638
[J-8]x con,Second pair,21,37,520.011875,0.09523880952380955,0.9047611904761904,C,0.3243247297297297,0.30534823992308635,1.0311667999999998
BBB,A-high + OESD,1,2,32.1087,0.5,0.5,F/C,0.5,0.25980231413915855,0.29098835
A[6-2]x,Weak pair,4,66,41.359635,0.2715245625,0.728475453125,C,0.27339682575757573,0.24000540324623115,0.8995979000000001
BBx,Third pair + Gutshot,9,13,56.931696,0.5573768888888889,0.4426231111111111,F/C,0.4974140769230769,0.22744457274056495,0.731015
[J-8]x dis,Air + BDFD,61,963,10096.510908999975,0.4571947062273355,0.5428052964326733,F/C,0.448624515576324,0.21485892007755242,1.34500695
