flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
ABB,Weak pair,6,288,34.925000999999995,0.8972333576388888,0.07368991319444444,0.029076760416666667,F,0.10276665798611119,0.0,0.0
ABB,Top pair,6,48,10.172941000000002,0.5811624791666666,0.1936480625,0.22518947916666665,F/R,0.2837550104166667,0.702374718745353,0.9439492869161998
ABB,Top pair + BDFD,6,96,20.865977000000004,0.10436594791666666,0.40157721875,0.4940569166666666,C/R,0.1389354895833333,0.1756257378703025,0.30839587660050005
ABB,Air,6,32,1.2895590000000001,0.9828741944444443,0.002903694444444445,0.014222022222222222,F,0.01926482812499999,0.0,0.0
ABB,Air + BDFD,6,96,3.855165,0.8297530731481481,0.1424184064814815,0.02782853796296297,F,0.17033378125,0.0,0.0
ABB,Second pair,6,18,1.434339,0.9574455666666667,0.0336225,0.008932066666666669,F,0.034415611111111105,0.0,0.0
ABB,Second pair + BDFD,6,36,2.8280199999999995,0.4677330333333334,0.27611538333333335,0.25615155,F/C,0.28684413888888893,0.014173309040565666,0.15510289607
ABB,Air + Gutshot,6,26,3.6356010000000003,0.41107000000000005,0.26167524999999997,0.32725461111111115,F/R,0.28676107692307695,0.33352944510772664,2.6736439
ABB,Air + Gutshot + BDFD,6,78,10.325527999999998,0.07830078703703704,0.32169251851851854,0.6000067685185185,C/R,0.20262363461538463,0.02393080101413507,2.0405653216056
ABB,Third pair,6,9,1.009039,0.8755976666666667,0.03132608333333333,0.09307616666666667,F,0.12753316666666664,0.0,0.0
ABB,Third pair + BDFD,6,18,1.973555,0.39684091666666665,0.19642620833333335,0.406732625,F/R,0.21769405555555554,0.2813823354009461,0.3895569454834
ABB,Weak pair + Gutshot,5,48,4.062267999999999,0.14901785,0.15728016666666667,0.6937020166666665,R,0.31043196874999995,0.25037299020911696,1.2729690035227001
ABB,Two pair+,6,257,44.245909,0.001811246841322928,0.33015183729534175,0.6680368672481256,R,0.3303341284046692,0.14804393449287256,1.0525631555200001
ABB,Third pair + Gutshot,6,84,6.029251,0.1819177772727273,0.1945891189393939,0.6234930651515151,C/R,0.3105532559523809,0.13388040347075408,0.9555988015319002
ABB,Second pair + Gutshot,6,120,18.307177,0.18683851666666665,0.4245048999999999,0.3886566,C/R,0.19084976666666664,0.15043113816358344,0.4225402810272
ABB,Top pair + Gutshot,6,120,22.733622000000004,0.012557375,0.37967134166666666,0.60777125,C/R,0.12524984999999997,0.011529774986393118,0.38087537612999967
ABB,Two pair+ + BDFD,6,36,6.791444,0.0007257499999999999,0.25545880555555556,0.7438154166666667,R,0.25618456944444445,0.11735239907368222,0.6021022069199994
ABB,Second pair + Gutshot + BDFD,6,24,4.490506,0.005679333333333332,0.451738625,0.5425820833333334,C/R,0.06279193749999999,0.005985056305538524,0.05036074069399996
ABB,Top pair + Gutshot + BDFD,6,24,4.6618829999999996,0.004520083333333334,0.37893420833333336,0.616545625,C/R,0.12106574999999999,0.0008829539992143129,0.18689246427999961
ABB,Third pair + Gutshot + BDFD,6,24,4.147469,0.013294291666666666,0.19066291666666668,0.7960427916666667,R,0.2039572083333333,0.34646684395048205,0.5186377823911998
A[K/Q]x,Weak pair,16,912,692.5077539999996,0.5787484606481481,0.2529465592592593,0.16830494629629628,F/C,0.2733636694078951,0.005351700817707557,0.5707850218116001
A[K/Q]x,Top pair,16,592,622.4353309999999,0.02619575337837838,0.654831625,0.3189726199324325,C,0.34516837415540474,0.0037344281297784013,0.6402295278600001
A[K/Q]x,Top pair + BDFD,16,320,331.15785299999993,0.00012499687500000002,0.5538713968750001,0.446003634375,C/R,0.10223318593750004,0.049580237557654325,0.24769234112999997
A[K/Q]x,Air,16,149,77.22054999999997,0.9720718407748502,0.01824828374490093,0.009679868756764068,F,0.023629164429530208,0.0006379147348750297,0.33047246263999996
A[K/Q]x,Air + BDFD,16,447,224.85732300000018,0.7884718878082566,0.1547408419246263,0.05678727476302632,F,0.2015960033557046,0.01889734531288089,1.41299170576
A[K/Q]x,Second pair,16,522,368.4019180000001,0.4910406610373182,0.37639663438036514,0.1325627513000361,F/C,0.18428194157088118,0.013209637438978022,0.4059157540999999
A[K/Q]x,Second pair + BDFD,16,180,161.427189,0.06982398958333334,0.49781640773809527,0.4323595952380952,C/R,0.12425291666666667,0.03155771337645999,0.4594335843242998
A[K/Q]x,Third pair,12,36,4.232781,0.09549532083333334,0.25781692500000003,0.6466877541666667,C/R,0.2802597222222223,0.046068430557242274,0.9842291848400002
A[K/Q]x,Third pair + BDFD,12,72,7.252562,0.008876620833333335,0.28922801527777775,0.7018953291666666,R,0.28392272222222237,0.17089805199970354,0.34807163322480006
A[K/Q]x,Two pair+,16,294,250.0486539999999,9.86842105263158e-09,0.19333696235380116,0.8066630345394735,R,0.19305314625850337,0.1705705093202306,0.8110413269700004
A[K/Q]x,Two pair+ + BDFD,16,38,29.697262,0.0,0.32661287499999997,0.6733870937499999,R,0.3168526973684211,0.2710691616554936,0.6414430974599995
A[K/Q]x,Air + Gutshot,16,437,283.6845709999999,0.08233420494378309,0.4455480706018519,0.47211770122354496,C/R,0.11545449656750569,0.009057307177092137,0.20752401446999968
A[K/Q]x,Air + Gutshot + BDFD,16,159,165.41529700000007,0.0003651579861111111,0.4201602934027777,0.5794745104166668,C/R,0.08284769811320752,0.0037407876266206267,0.2562263179999988
ABB,Air + OESD,3,5,0.827933,0.04671516666666666,0.48695549999999993,0.4663294999999999,C/R,0.1304589,0.09165388719147771,0.5906258994527999
ABB,Air + OESD + BDFD,3,15,2.546394,0.006428777777777779,0.3578886111111111,0.6356828888888889,C/R,0.1573257333333333,0.002529677234578114,0.3525736197096
ABB,Underpair + Gutshot,3,24,8.527215,0.008017111111111112,0.4694210833333334,0.5225618611111112,C/R,0.03368145833333333,0.0030262168502877113,0.039005096634200064
A[K/Q]x,Air + OESD,2,2,0.246484,0.0,0.28538600000000003,0.7146140000000001,R,0.285386,0.0,0.0
A[K/Q]x,Air + OESD + BDFD,2,6,0.68584,0.0,0.27542083333333334,0.7245791666666667,R,0.2754208333333333,0.009962323068494981,0.03143233284000004
A[K/Q]x,Underpair,8,48,69.054563,0.15403881249999998,0.7011261041666668,0.14483508333333334,C,0.2988738958333333,0.0,0.0
A[J-T][9-5],Weak pair,10,450,395.5575380000002,0.8133680074404761,0.14583183749999998,0.040800148214285716,F,0.18986166000000004,0.0863725859991572,0.6168154968599999
A[J-T][9-5],Top pair,10,370,544.6569569999996,0.027239783783783784,0.7682632675675675,0.2044969810810811,C,0.23173674864864882,0.0035522260575636564,0.11961774508000005
A[J-T][9-5],Top pair + BDFD,10,200,294.80373699999996,1.5805e-05,0.67588376,0.32410039,C,0.3241162175,0.002665981148494833,0.16244251947000024
A[J-T][9-5],Air,10,80,64.74996200000001,0.9902529002813854,0.006048959199134199,0.003698106428571429,F,0.00995715625,0.0002850704203783892,0.013709373968799999
A[J-T][9-5],Air + BDFD,10,240,185.90920799999998,0.8570169419408369,0.1332725785209235,0.009710517619047617,F,0.16481609374999992,0.04020166558121992,0.607539956145
A[J-T][9-5],Air + Gutshot,10,351,367.9568860000003,0.09662123679556668,0.4662431730138876,0.43713560485943603,C/R,0.12315066239316244,0.01079769076505958,0.09709707956200005
