hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,R,R,R,R,R,C/R,R,R,R,R,R,R,C/R
Two pair+ + BDFD,R,R,C/R,C/R,C,C,C/R,R,R,C/R,R,R,R
Overpair,—,—,—,—,—,—,—,C/R,C/R,C,C,C,C
Overpair + Gutshot,—,—,—,—,—,—,R,C/R,—,—,C,C/R,C
Overpair + OESD,—,—,—,—,—,—,R,—,—,—,—,C,C
Top pair,F/R,C,C,C,C,C,F,C,C,C,C,C,C
Top pair + BDFD,C/R,C/R,C,C,C,C,C/R,C/R,C,C,C/R,C/R,C/R
Top pair + Gutshot,C/R,—,—,—,—,C,C/R,C/R,—,C,C/R,C,C
Top pair + Gutshot + BDFD,C/R,—,—,—,—,C,C/R,C/R,—,C/R,C/R,C/R,C
Top pair + OESD,—,—,—,—,—,—,C/R,C/R,—,—,R,C,C
Top pair + OESD + BDFD,—,—,—,—,—,—,C/R,C/R,—,—,R,C/R,C/R
Second pair,F,F/C,F/C,F/C,C/R,C/R,—,C/R,C/R,C/R,C,C,C
Second pair + BDFD,F/C,C/R,C/R,C/R,C/R,C/R,—,C/R,C/R,C/R,C,C,C
Second pair + Gutshot,C/R,—,—,—,—,C,C/R,C/R,—,C,C,C,C
Second pair + Gutshot + BDFD,C/R,—,—,—,—,C,C/R,C/R,—,C/R,C,C,C
Second pair + OESD,—,—,—,—,—,—,C/R,C/R,—,—,C,C,C
Second pair + OESD + BDFD,—,—,—,—,—,—,C/R,C/R,—,—,C/R,C,C
Third pair,F,C/R,F/R,C/R,C/R,C/R,F,F/C,C/R,C,C/R,C,C
Third pair + BDFD,F/R,R,C/R,R,C/R,C/R,F,C/R,C/R,C/R,C/R,C,C
Third pair + Gutshot,C/R,—,—,—,—,—,F/R,C/R,—,C,C,C,C
Third pair + Gutshot + BDFD,R,—,—,—,—,—,F/R,C/R,—,C,C,C,C
Third pair + OESD,—,—,—,—,—,—,C/R,C/R,—,—,C,C,C
Third pair + OESD + BDFD,—,—,—,—,—,—,R,C/R,—,—,C,C,C
Underpair,—,C,C,C,C,C,—,C/R,C,C,C,C,C
Underpair + Gutshot,C/R,—,—,—,—,C,—,C,—,C,C,C,C
Underpair + OESD,—,—,—,—,—,—,R,C/R,—,—,—,C,C
Weak pair,F,F/C,F,F/C,F/C,C,F,F,C/R,F/C,C,F/C,C
Weak pair + Gutshot,R,—,—,—,—,C,F,F/C,—,—,C,C,C
Weak pair + OESD,—,—,—,—,—,—,R,C,—,—,C,C,C
2 overcards,—,—,—,—,—,—,—,—,F/C,F/C,F/C,F,F
2 overcards + BDFD,—,—,—,—,—,—,—,—,C,C,C,C,C
2 overcards + Gutshot,—,—,—,—,—,—,—,C/R,—,—,C/R,C,C
2 overcards + Gutshot + BDFD,—,—,—,—,—,—,—,R,—,—,R,C/R,C/R
2 overcards + OESD,—,—,—,—,—,—,—,C/R,—,—,C/R,C/R,C/R
2 overcards + OESD + BDFD,—,—,—,—,—,—,—,R,—,—,C/R,C/R,C/R
A-high,—,—,—,—,—,—,—,F,F,F,F,F,F
A-high + BDFD,—,—,—,—,—,—,—,F,F/C,F/C,F/C,F/C,F/C
A-high + Gutshot,—,—,—,—,—,—,F,C/R,C,C/R,C/R,C/R,C
A-high + Gutshot + BDFD,—,—,—,—,—,—,C/R,C/R,C/R,C/R,C/R,C/R,C
A-high + OESD,—,—,—,—,—,—,F/R,C/R,—,—,C/R,C,C
A-high + OESD + BDFD,—,—,—,—,—,—,C/R,C/R,—,—,C/R,C/R,C/R
Air,F,F,F,F,F,F,F,F,F,F,F,F,F/C
Air + BDFD,F,F,F,F,F/C,C,F,F,C/R,C/R,C/R,F/C,C
Air + Gutshot,F/R,C/R,C/R,C/R,C,C,F,F/C,C/R,C,C/R,C/R,C
Air + Gutshot + BDFD,C/R,C/R,C/R,C/R,C,C,F,C/R,C/R,C,C/R,C/R,C/R
Air + OESD,C/R,R,C/R,—,C,C,C/R,C/R,R,C/R,C/R,C/R,C/R
Air + OESD + BDFD,C/R,R,R,—,C/R,C,C/R,R,R,R,R,R,R
