flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
BBB,Air + OESD,3,6,0.04148400000000001,0.22987700000000003,0.4375451666666666,0.33257783333333335,C/R,0.335265,1.9667183486814437,2.9888975171539998
ABB,Top pair,6,48,10.172941000000002,0.5811624791666666,0.1936480625,0.22518947916666665,F/R,0.2837550104166667,0.702374718745353,0.9439492869161998
BBB,Top pair + BDFD,3,24,5.030179000000001,0.27077595833333334,0.4062270833333334,0.3229969583333333,C/R,0.2707759583333334,0.4978394584969327,0.9399775555655999
BBB,A-high + OESD,1,2,0.018584,0.502452,0.17390250000000002,0.323646,F/R,0.24087275000000002,0.45681455979809993,0.9136291195961999
BBB,Second pair + Gutshot,4,43,12.085623999999997,0.2961358090909091,0.3706117136363636,0.3332525727272727,C/R,0.3009580697674419,0.45416031158893067,2.8688599192233997
BBx,Weak pair,47,2088,186.28057500000028,0.6711646037022965,0.26388340840650676,0.06495199627800292,F,0.34460037643678126,0.3867359013472752,2.47534388642
BBB,Third pair + Gutshot,4,44,11.105639999999998,0.48985345454545454,0.1667119318181818,0.3434345681818182,F/R,0.21159668181818178,0.3570194086602624,2.8257343500000003
BBB,Air + OESD + BDFD,3,18,0.117541,0.03625300000000001,0.33291436111111117,0.6308323888888889,C/R,0.31335680555555556,0.35098727248253025,0.6701687961037
ABB,Third pair + Gutshot + BDFD,6,24,4.147469,0.013294291666666666,0.19066291666666668,0.7960427916666667,R,0.2039572083333333,0.34646684395048205,0.5186377823911998
BBB,Top pair + Gutshot,4,43,12.24403,0.10774436363636364,0.48828273409090905,0.4039728977272728,C/R,0.17159965116279072,0.34611997403107037,3.1517951176595007
