flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
[J-8]x con,Air + Gutshot + BDFD,26,287,1127.7463209999999,0.32589937678062686,0.674100621937322,C,0.3308350470383276,0.6690962532258583,2.1785492
BBx,Third pair + Gutshot,4,7,0.68568,0.5,0.5,F/C,0.5,0.6206035864192481,0.6223076
A[9-7]x,Underpair,18,115,0.777551,0.6420060736609069,0.35799393678543684,F/C,0.42353397391304354,0.5925784852073207,0.79486045
[7-4]x,Air + Gutshot + BDFD,16,156,1151.8539920000005,0.37958562037037036,0.6204143796296295,F/C,0.49176171153846143,0.5753175928621728,1.290135
[J-8]x dis,Air + Gutshot,64,316,554.1248069999999,0.2514987518761837,0.7485012324988164,C,0.21634820727848106,0.542601672211976,1.8868462000000001
K/Qx con,Second pair,14,67,25.510138,0.26793165051020407,0.7320683375850339,C,0.27795784328358203,0.5321774714057267,1.2782453554752
BBx,Air + Gutshot + BDFD,47,379,52.56708200000003,0.6252629063345327,0.37473709669008154,F/C,0.4409681583113457,0.5037710651510565,1.3225315
[7-4]x,A-high + Gutshot,15,24,229.04639000000006,0.4924348666666667,0.5075651333333333,F/C,0.46778974999999995,0.49597464704691535,1.146715
BBB,Second pair + Gutshot + BDFD,4,6,0.03802200000000001,0.5750298333333334,0.42497025,F/C,0.4066585833333333,0.47899596114142184,1.24037
K/Qx dis,Third pair,29,86,18.962274,0.5214684931034483,0.4785315137931034,F/C,0.4409957383720929,0.4422956743285579,0.8544172025366998
