hand_category,raw_blocks,smoothed_blocks,policy_distance,pure_cells_changed,mix_cells_changed,raw_pattern,smoothed_pattern
Two pair+,1,1,0.0,0,0,B | B | B | B | B | B | B | B | B | B | B | B | B,B | B | B | B | B | B | B | B | B | B | B | B | B
Overpair,2,2,0.0,0,0,B | B | B | B | B | B | X/B,B | B | B | B | B | B | X/B
Top pair,5,5,0.0,0,0,B | B | X/B | X/B | X/B | X/B | B | B | X/B | X/B | X/B | X/B | B,B | B | X/B | X/B | X/B | X/B | B | B | X/B | X/B | X/B | X/B | B
Second pair,8,7,0.0456140350877193,0,2,B | X/B | X/B | X | B | B | X/B | X/B | B | B | X/B | X/B | B,B | X | X | X | B | B | X/B | X/B | B | B | X/B | X/B | B
Third pair,8,5,0.045454545454545456,0,2,B | B | B | B | B | B | X/B | B | X/B | X | X/B | X | X/B,B | B | B | B | B | B | B | B | X/B | X | X/B | X | X
Underpair,7,6,0.05,0,1,B | X | X | X | X | X | B | X/B | X | X | X | X/B | B,B | X | X | X | X | X | B | X/B | X | X | X | X | B
Weak pair,5,5,0.0,0,0,B | X/B | X/B | X/B | X/B | B | B | X/B | X | X | X | X | X,B | X/B | X/B | X/B | X/B | B | B | X/B | X | X | X | X | X
2 overcards,3,3,0.0,0,0,X/B | X | X/B | X/B | X/B,X/B | X | X/B | X/B | X/B
2 overcards + draw,3,3,0.0,0,0,B | X | X | X/B | X/B | X/B,B | X | X | X/B | X/B | X/B
A-high,3,3,0.0,0,0,B | X/B | X/B | X/B | X/B | X,B | X/B | X/B | X/B | X/B | X
A-high + draw,2,2,0.0,0,0,B | B | B | B | B | B | X/B,B | B | B | B | B | B | X/B
Air,3,3,0.0,0,0,X/B | X/B | X/B | X/B | X/B | X/B | X/B | B | B | X/B | X/B | X/B | X/B,X/B | X/B | X/B | X/B | X/B | X/B | X/B | B | B | X/B | X/B | X/B | X/B
Air + draw,1,1,0.0,0,0,B | B | B | B | B | B | B | B | B | B | B | B | B,B | B | B | B | B | B | B | B | B | B | B | B | B
