hand_category,raw_blocks,smoothed_blocks,policy_distance,pure_cells_changed,mix_cells_changed,raw_pattern,smoothed_pattern
Two pair+,4,2,0.006993006993006993,0,1,C/R | R | R | R | R | R | C/R | R | R | R | R | R | R,C/R | R | R | R | R | R | R | R | R | R | R | R | R
Overpair,1,1,0.0,0,0,C | C | C,C | C | C
Top pair,1,1,0.0,0,0,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Second pair,6,3,0.027972027972027972,0,2,F/C | C | F/C | C | C | C/R | C | C | C | C | C | C | C,C | C | C | C | C | C/R | C | C | C | C | C | C | C
Third pair,5,3,0.07342657342657342,0,5,F/C | F/C | F/C | F/C | C | C | F/C | C/R | C | C | C | C | C,C | C | C | C | C | C | C | C/R | C | C | C | C | C
Underpair,2,2,0.0,0,0,F/C | F/C | C | C | C | C | C | C | C | C,F/C | F/C | C | C | C | C | C | C | C | C
Weak pair,8,4,0.09272727272727273,0,2,F | F | F | F | F | F/C | F | F | F/C | F | F/C | F | C,F | F | F | F | F | F | F | F | F | F | F/C | F | C
2 overcards,3,3,0.0,0,0,C | C | F/C | F/C | F,C | C | F/C | F/C | F
2 overcards + draw,2,2,0.0,0,0,C | C/R | C/R | C/R,C | C/R | C/R | C/R
A-high,2,2,0.0,0,0,F | F | F | F | F | F/R,F | F | F | F | F | F/R
A-high + draw,4,3,0.2815126050420168,0,4,F | C | R | C/R | C/R | C/R | C/R,F | C | R | R | R | R | R
Air,1,1,0.0,0,0,F | F | F | F | F | F | F | F | F | F | F | F | F,F | F | F | F | F | F | F | F | F | F | F | F | F
Air + draw,7,3,0.05338078291814947,0,2,F | C/R | C/R | C/R | C/R | C/R | F/R | C/R | C/R | R | R | C/R | R,F | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | R | R | R | R
