hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,C/R,R,R,R,R,R,C/R,R,R,R,R,R,R
Overpair,—,—,—,—,—,—,—,—,—,—,C,C,C
Top pair,C,C,C,C,C,C,C,C,C,C,C,C,C
Second pair,F/C,C,F/C,C,C,C/R,C,C,C,C,C,C,C
Third pair,F/C,F/C,F/C,F/C,C,C,F/C,C/R,C,C,C,C,C
Underpair,—,—,F/C,F/C,C,C,—,C,C,C,C,C,C
Weak pair,F,F,F,F,F,F/C,F,F,F/C,F,F/C,F,C
2 overcards,—,—,—,—,—,—,—,—,C,C,F/C,F/C,F
2 overcards + draw,—,—,—,—,—,—,—,C,—,—,C/R,C/R,C/R
A-high,—,—,—,—,—,—,—,F,F,F,F,F,F/R
A-high + draw,—,—,—,—,—,—,F,C,R,C/R,C/R,C/R,C/R
Air,F,F,F,F,F,F,F,F,F,F,F,F,F
Air + draw,F,C/R,C/R,C/R,C/R,C/R,F/R,C/R,C/R,R,R,C/R,R
