hand_category,raw_blocks,smoothed_blocks,policy_distance,pure_cells_changed,mix_cells_changed,raw_pattern,smoothed_pattern
Two pair+,1,1,0.0,0,0,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Overpair,1,1,0.0,0,0,C | C | C | C | C | C | C,C | C | C | C | C | C | C
Top pair,1,1,0.0,0,0,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Second pair,6,3,0.017543859649122806,0,2,F/C | F | F/C | F/C | C | C | F/C | C | C | C | C | C | C,F | F | F/C | F/C | C | C | C | C | C | C | C | C | C
Third pair,4,2,0.007662835249042145,0,1,F | C | C | C | C | C | F/C | C | C | C | C | C | C,F | C | C | C | C | C | C | C | C | C | C | C | C
Underpair,3,3,0.0,0,0,C | C | F/C | F/C | C | C | C | C | C | C | C | C | C,C | C | F/C | F/C | C | C | C | C | C | C | C | C | C
Weak pair,9,3,0.2679324894514768,1,3,F | F | F | F | F/C | C | F | F | F/C | F | F/C | F | C,F | F | F | F | F | C | F | F | F | F | F | F | F
2 overcards,1,1,0.0,0,0,F | F | F | F | F,F | F | F | F | F
2 overcards + draw,1,1,0.0,0,0,C | C | C | C | C | C,C | C | C | C | C | C
A-high,1,1,0.0,0,0,F | F | F | F | F | F,F | F | F | F | F | F
A-high + draw,3,3,0.0,0,0,F | F/C | C | C | C | C | C,F | F/C | C | C | C | C | C
Air,4,2,0.1182170542635659,0,1,F | F | F | F | F | F | F | F | F | F | F/C | F | C,F | F | F | F | F | F | F | F | F | F | F | F | C
Air + draw,5,3,0.011194029850746268,0,1,C | C | C | F/C | C | C | F | C | C | C | C | C | C,C | C | C | C | C | C | F | C | C | C | C | C | C
