hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,R,R,R,R,C/R,C/R,C/R,R,R,R,R,R,R
Overpair,—,—,—,—,—,—,R,C/R,C/R,C,C,C,C
Top pair,C/R,C/R,C,C,C,C,C,C,C,C,C,C,C
Second pair,F/C,F/C,F/C,F/C,C/R,C/R,C/R,C/R,C/R,C/R,C,C,C
Third pair,R,R,R,R,C/R,C/R,C/R,C/R,C/R,C/R,C/R,C,C
Underpair,C,C,C,C,C,C,R,C,C,C,C,C,C
Weak pair,F,F,F,F,F,F,F,F/C,F/C,F/C,C,C,C
2 overcards,—,—,—,—,—,—,—,—,F/C,F/C,F/C,F,F
2 overcards + draw,—,—,—,—,—,—,—,C,C,C,C/R,C,C
A-high,—,—,—,—,—,—,—,F,F,F,F/C,F,F
A-high + draw,—,—,—,—,—,—,F/R,C/R,C/R,C/R,C/R,C/R,C
Air,F,F,F,F,F,F,F,F,F/C,F/C,F/C,F/C,C
Air + draw,C/R,C/R,C/R,C/R,C,C,C/R,C/R,C/R,C/R,C/R,C/R,C/R
