hand_category,raw_blocks,smoothed_blocks,policy_distance,pure_cells_changed,mix_cells_changed,raw_pattern,smoothed_pattern
Two pair+,1,1,0.0,0,0,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Overpair,1,1,0.0,0,0,C | C | C,C | C | C
Top pair,1,1,0.0,0,0,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Second pair,5,3,0.04195804195804196,0,2,C | C | F | F/C | F/C | F | C | C | C | C | C | C | C,C | C | F | F | F | F | C | C | C | C | C | C | C
Third pair,4,3,0.010526315789473684,0,1,F/C | F | F | F | F | F | F/C | F/C | C | C | C | C | C,F | F | F | F | F | F | F/C | F/C | C | C | C | C | C
Underpair,6,2,0.09226190476190477,0,2,F | F | F/C | F | C | C | F/C | C | C | C,F | F | F | F | C | C | C | C | C | C
Weak pair,5,3,0.06377551020408163,0,2,F | F | F | F | F | F | C | F/C | F | F | F | F | F/C,F | F | F | F | F | F | C | F | F | F | F | F | F
2 overcards,1,1,0.0,0,0,F | F | F | F,F | F | F | F
2 overcards + draw,2,2,0.0,0,0,C | C | C | F/C,C | C | C | F/C
A-high,1,1,0.0,0,0,F | F | F | F | F | F,F | F | F | F | F | F
A-high + draw,3,3,0.0,0,0,C | F/C | C | C | C | C | C,C | F/C | C | C | C | C | C
Air,1,1,0.0,0,0,F | F | F | F | F | F | F | F,F | F | F | F | F | F | F | F
Air + draw,3,3,0.0,0,0,C | C | C | F/C | C | C | C | C | C | C | C | C | C,C | C | C | F/C | C | C | C | C | C | C | C | C | C
