hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,C,C,C,C,C,C,C,C,C,C,C,C,C
Overpair,—,—,—,—,—,—,—,—,—,—,C,C,C
Top pair,C,C,C,C,C,C,C,C,C,C,C,C,C
Second pair,C,C,F,F/C,F/C,F,C,C,C,C,C,C,C
Third pair,F/C,F,F,F,F,F,F/C,F/C,C,C,C,C,C
Underpair,—,—,F,F,F/C,F,—,C,C,F/C,C,C,C
Weak pair,F,F,F,F,F,F,C,F/C,F,F,F,F,F/C
2 overcards,—,—,—,—,—,—,—,—,—,F,F,F,F
2 overcards + draw,—,—,—,—,—,—,—,C,—,—,C,C,F/C
A-high,—,—,—,—,—,—,—,F,F,F,F,F,F
A-high + draw,—,—,—,—,—,—,C,F/C,C,C,C,C,C
Air,—,—,—,—,F,F,—,F,F,F,F,F,F
Air + draw,C,C,C,F/C,C,C,C,C,C,C,C,C,C
