flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
[7-4]x,A-high,7,36,5608.569999999998,0.6424419285714286,0.3575580714285715,X/D,0.3748666388888888,0.021651244439822467,0.07835
A[6-2]x,Air + draw,10,260,31876.354000000018,0.667596400892857,0.332403600625,X,0.35789540769230777,0.005918566504575686,0.06754220227999994
A[6-2]x,Two pair+,10,142,22211.597200000004,0.5212409474999999,0.47875905874999997,X/D,0.22187967957746468,0.004744338354980869,0.0608949999999993
[7-4]x,2 overcards + draw,20,1865,250296.94157999952,0.4814142433370396,0.5185857562772942,X/D,0.2574391892761396,0.003304367337765097,0.10288006755900003
A[6-2]x,Third pair,10,135,14666.9136,0.7728174541666666,0.22718254583333333,X,0.21976484444444447,0.002163140968870963,0.035044315469999886
[7-4]x,Third pair,20,273,34172.70469999998,0.5862341368055556,0.4137658616666666,X/D,0.28979669780219774,0.0018681222403143314,0.06600000000000002
[7-4]x,A-high + draw,15,132,19268.74400000001,0.5513061972222223,0.44869380555555555,X/D,0.18499278030303026,0.0018517751881988991,0.031095680879999855
A[6-2]x,Second pair,10,219,27888.3874,0.758768200462963,0.24123180555555557,X,0.22513637214611867,0.0017514921801038727,0.04659915092000002
[7-4]x,Top pair,20,507,74627.15569999996,0.5215197525925925,0.47848024375,X/D,0.2512712465483234,0.0012418044336514064,0.07756500000000024
[7-4]x,Air + draw,19,376,46578.12860000002,0.465991528618421,0.5340084894736844,X/D,0.19136859840425532,0.0011309205280255104,0.05999999999999996
