flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
ABB,Weak pair,6,336,43125.693499999994,0.10871676751543209,0.8912832452160493,B,0.10659196130952382,1.1151060348530844e-05,0.0024036303400002622
ABB,Top pair,6,288,60563.67500000005,0.14374973263888888,0.8562502743055554,B,0.14374972916666673,0.0002324091370154048,0.013783486880000594
ABB,Air,6,128,5390.723792,0.43681796875000006,0.5631820298611111,X/B,0.25381085156249994,0.0037398479799715554,0.024991474299999795
ABB,Second pair,6,198,32150.087900000002,0.3405444007597342,0.6594556035137703,B,0.3345789267676767,0.0007425906403084028,0.0430443468
ABB,Air + draw,6,124,13891.637091999999,0.11463676264880951,0.8853632224702381,B,0.13211412903225805,4.4287051526230864e-05,0.021261772200000452
ABB,Third pair,6,135,16028.343587000005,0.1045098569664903,0.8954901430335096,B,0.10942331111111112,0.00010198821622050375,0.019180036979999926
ABB,Two pair+,6,293,54037.19850000001,0.10251398831908831,0.8974860148860399,B,0.10324649317406143,6.296754502094757e-05,0.036136819589999904
A[K/Q]x,Weak pair,16,912,129321.87209999998,0.3618425550925926,0.6381574349537036,X/B,0.2705204303728067,0.0010692898131884052,0.02933999999999983
A[K/Q]x,Top pair,16,912,193417.85000000015,0.3021599067982456,0.6978400910087719,B,0.30215990789473696,0.0006550014906860747,0.017167458659999822
A[K/Q]x,Air,16,596,48291.125276000006,0.5642604363674519,0.43573955448457796,X/B,0.2488496451342281,0.0016891725688910793,0.056559999999999985
A[K/Q]x,Second pair,16,702,110764.23260000006,0.45299062306160437,0.5470093783740257,X/B,0.21018144088319105,0.0010107623207408845,0.03633000000000024
A[K/Q]x,Third pair,12,108,7090.763480999999,0.007729272222222222,0.9922707416666667,B,0.007511606481481481,1.8907027248559786e-05,0.00060919924000018
A[K/Q]x,Two pair+,16,332,64912.44620000003,0.006554321022727273,0.9934456821022727,B,0.006496793674698791,2.7221018336044792e-08,8.328499998810911e-06
A[K/Q]x,Air + draw,16,604,83715.82410799997,0.1129342315340909,0.8870657604482324,B,0.11414401241721854,6.675911101012774e-05,0.0014577152000001092
ABB,Underpair,3,24,5144.913,0.17257066666666668,0.827429388888889,B,0.17732439583333334,0.0,0.0
A[K/Q]x,Underpair,8,48,10343.701000000001,0.8759029166666666,0.12409708333333333,X,0.12409708333333334,0.0005712033754058002,0.004124292480000236
A[J-T][9-5],Weak pair,10,450,50989.09860000002,0.3646284392857143,0.6353715520833334,X/B,0.2733698133333334,0.00166810883976271,0.03986000000000019
A[J-T][9-5],Top pair,10,570,120165.41099999998,0.4610650614035087,0.5389349350877193,X/B,0.17448039649122815,0.0017958818311584236,0.043175000000000095
A[J-T][9-5],Air,10,320,33239.30298699999,0.537892604223485,0.4621073902813852,X/B,0.24469137968750004,0.0010077473634837473,0.044709999999999896
A[J-T][9-5],Air + draw,10,552,81720.1674710001,0.21772587547619046,0.7822741227380952,B,0.21540826177536204,0.00021884944980432868,0.06940999999999989
A[J-T][9-5],Third pair,10,111,8631.29462,0.07930274333333334,0.9206972483333333,B,0.08364141891891891,0.0002719421118620008,0.006584363829999873
A[J-T][9-5],Two pair+,10,206,41858.768694000006,0.025401485,0.9745985195454546,B,0.02565479854368933,1.0545829099281314e-05,0.001138946669999541
A[J-T][9-5],Second pair,10,306,41019.31603799996,0.4481038668350169,0.5518961328619529,X/B,0.2049318790849672,0.0014953559178550182,0.05829000000000022
A[J-T][9-5],Underpair,10,150,32285.809,0.9075713638888889,0.09242863611111111,X,0.08668893333333337,9.926445987990219e-05,0.0008974977899995906
