flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
[J-8]x dis,Third pair,67,390,51933.004195999965,0.43203463606965187,0.5679653564676616,X/B,0.3661430294871794,0.02263294808722724,0.22771500000000025
A[6-2]x,Weak pair,9,120,2674.4251999999997,0.2719098950617284,0.7280901141975308,B,0.3546339458333333,0.018018977291147313,0.07759999999999997
[7-4]x,Weak pair,16,180,2365.03755,0.7883313923611112,0.2116686076388889,X,0.1561571722222222,0.016814982855137366,0.45996000000000026
BBx,Third pair,47,429,48439.57829400003,0.18735272848699766,0.8126472715130024,B,0.25789278438228436,0.013993244315296407,0.21967999999999996
A[9-7]x,Weak pair,18,552,45231.77350000003,0.6118713604938271,0.38812863657407404,X/B,0.4066159347826083,0.013115457292641792,0.0777700000000003
[J-8]x con,Top pair,26,819,123001.34837000018,0.48250099638630606,0.5174990002254156,X/B,0.34643381440781457,0.010744768040887444,0.16274999999999978
A[J-T][4-2],Weak pair,6,270,35950.02099999999,0.40762545039682546,0.5923745386904762,X/B,0.35369256851851866,0.010575258448259815,0.07528500000000023
[J-8]x dis,Top pair,67,2190,339240.3234200003,0.4757030484044977,0.5242969506515045,X/B,0.3402869531963472,0.009882489969533509,0.23743499999999998
BBx,Weak pair,47,2166,274479.4988999997,0.45817089800039396,0.5418291029072386,X/B,0.3404723333333339,0.00974086894496155,0.10556499999999999
A[6-2]x,Third pair,2,9,631.8881,0.2924595,0.7075405000000001,B,0.33558588888888885,0.008824784705307273,0.04591999999999992
