flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
ABB,Weak pair,6,324,44015.6354,0.9405513280864198,0.025274091666666665,0.03417458641975309,F,0.06174195987654322,0.0017888648699801186,0.114082830997
ABB,Air,6,436,43917.9001,1.0,0.0,0.0,F,0.0,0.0,0.0
ABB,Second pair,6,261,21898.446519999998,0.33533791319444445,0.5360779199585136,0.12858415097402595,F/C,0.4668921685823755,0.16927660307816444,0.8213170860000002
ABB,Top pair,6,279,26233.48729999996,0.05159327708333333,0.8849753810185185,0.06343135578703701,C,0.11422482078853045,0.00015474375723378088,0.024761781720000188
ABB,Third pair,6,243,14328.97764999999,0.3900862688311688,0.40793424333814327,0.20197952604617608,F/C,0.5054803950617284,0.1565235317626827,0.6809217457
ABB,Air + draw,6,308,25760.79151,0.755894007779506,0.0986267490052057,0.14547925816967278,F,0.25405097240259733,0.1297248650720198,1.77583344602
ABB,Two pair+,6,270,20022.357959999994,0.0,0.47503804524124327,0.5249619466286756,C/R,0.3171842703703704,0.003998499423289869,0.1475594097600009
A[K/Q]x,Weak pair,16,864,95548.85399999998,1.0,0.0,0.0,F,0.0,0.0,0.0
A[K/Q]x,Air,16,1740,130743.71839000001,1.0,0.0,0.0,F,0.0,0.0,0.0
A[K/Q]x,Second pair,16,870,57601.54734,0.23213299767443527,0.7007454637369568,0.0671215472960383,C,0.29710673390804576,0.009049967554434319,0.1459872010938
A[K/Q]x,Top pair,16,888,71673.05502000003,0.0,0.9372741373659844,0.06272585136452243,C,0.06303613626126127,0.00031431232266242886,0.17400999999999983
A[K/Q]x,Third pair,16,330,26287.00377999999,0.46404714632936506,0.28645751369047623,0.2494953422867063,F/C,0.4912327621212119,0.08101778577949323,0.3280655
A[K/Q]x,Two pair+,16,236,16962.57539,0.0,0.20610492075892858,0.7938950792410715,R,0.20867332203389843,0.001492943932253016,0.07468286579999983
A[K/Q]x,Air + draw,16,892,45716.36483999998,0.12926259804140405,0.6212188765493697,0.24951851640625003,C/R,0.339609820067265,0.007190212550355778,0.3729
A[J-T][9-5],Weak pair,10,450,47302.31439999998,1.0,0.0,0.0,F,0.0,0.0,0.0
