flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
BBB,Air + draw,4,144,14628.868600000005,0.5629503080815018,0.21107198397435895,0.22597772653388276,F/R,0.5411804131944445,0.399429664630898,1.1889555
[7-4]x,A-high,7,36,1777.6432570000002,0.631628261904762,0.16528989285714288,0.20308180952380955,F/R,0.5047292083333333,0.22896527427151153,0.66178
BBB,Third pair,4,168,11802.493589999996,0.39071914040404043,0.5040346964646465,0.1052461515151515,F/C,0.4598240803571428,0.21879460498982253,0.8567878629699999
ABB,Second pair,6,261,21898.446519999998,0.33533791319444445,0.5360779199585136,0.12858415097402595,F/C,0.4668921685823755,0.16927660307816444,0.8213170860000002
ABB,Third pair,6,243,14328.97764999999,0.3900862688311688,0.40793424333814327,0.20197952604617608,F/C,0.5054803950617284,0.1565235317626827,0.6809217457
A[J-T][4-2],Third pair,6,96,4450.623746,0.3468164492063492,0.42249077500000004,0.23069279206349205,F/C,0.5314582291666666,0.1432747353364439,0.323519420608
ABB,Air + draw,6,308,25760.79151,0.755894007779506,0.0986267490052057,0.14547925816967278,F,0.25405097240259733,0.1297248650720198,1.77583344602
A[6-2]x,Weak pair,9,120,8092.685299999997,0.405794524691358,0.5428481604938271,0.051357320987654324,F/C,0.4515143125,0.12898037663353945,0.482483685862
[J-8]x con,Air + draw,26,806,44952.76889300006,0.13681478653984905,0.21359044074883446,0.6495947663660991,C/R,0.4294766612903229,0.12766496170768013,1.5038886999999999
A[J-T][9-5],Second pair,10,480,21319.921109999996,0.3985083871539961,0.5221059489919242,0.07938568518518517,F/C,0.3965332791666665,0.10916818912242543,0.554395
