flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
[J-8]x dis,Weak pair,54,739,1542.8785389999998,0.4901777015673644,0.5098222984326356,F/C,0.47671609607577803,0.763743416577579,3.5829999999999997
A[K/Q]x,Second pair,16,688,5081.159844999999,0.6820948858702812,0.3179051155063228,F,0.32471241061046513,0.4420127229531152,2.74267
A[J-T][4-2],Second pair,6,189,760.2187990000001,0.409472956060606,0.5905270494949494,F/C,0.33927725132275127,0.4098086103803024,0.99175
BBB,Air + draw,4,43,165.077731,0.7384311532738095,0.26156884672619046,F,0.41453244186046506,0.35201358555050666,1.20144
ABB,Third pair,6,135,1285.3189139999995,0.6834100132275132,0.3165899867724868,F,0.30196450370370365,0.34960900090863223,1.9131900000000002
BBB,Third pair,4,95,785.8213729999998,0.5738170690613027,0.426182922605364,F/C,0.46821973157894736,0.34488581849914046,0.94526
[J-8]x dis,Air,61,1561,15237.73705300001,0.6306298652993023,0.36937013702371013,F/C,0.4675968238308781,0.3346688229914242,1.84176865
BBB,Second pair,4,98,1087.739115,0.3591325566239317,0.6408674433760684,F/C,0.42118773469387755,0.3286738471708025,1.13285
A[J-T][4-2],Air + draw,6,304,4009.7952229999964,0.4278901220619658,0.5721098846153847,F/C,0.3076633256578947,0.3075434909556533,2.95887
A[J-T][9-5],Second pair,10,306,2248.6368250000005,0.5416736819191919,0.45832633141414136,F/C,0.38012541830065344,0.3026189918326872,1.254315
