hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,R,R,R,R,C/R,C/R,C/R,R,R,R,R,R,R
Overpair,—,—,—,—,—,—,R,C/R,C/R,C,C,C,C
Top pair,C/R,C/R,C,C,C,C,C/R,C,C,C,C,C,C
Second pair,C/R,F/C,F/C,F/C,C/R,C/R,C/R,C/R,C/R,C/R,C,C,C
Third pair,F/R,R,C/R,R,C/R,C/R,F/R,C/R,C/R,C/R,C/R,C,C
Underpair,C/R,C,C,C,C,C,R,C/R,C,C,C,C,C
Weak pair,F,F/C,F,F/C,F/C,C,F,F/C,C/R,F/C,C,C,C
2 overcards + draw,—,—,—,—,—,—,—,C/R,C,C,C/R,C,C
2 overcards,—,—,—,—,—,—,—,—,F/C,F/C,F/C,F,F
A-high,—,—,—,—,—,—,—,F,F,F,F/C,F,F/C
A-high + draw,—,—,—,—,—,—,F/R,C/R,C/R,C/R,C/R,C/R,C
Air,F,F,F,F,F,F,F,F,F/C,F/C,F/C,F/C,C
Air + draw,C/R,C/R,C/R,C/R,C,C,F/R,C/R,C/R,C/R,C/R,C/R,C/R
