flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
BBB,Air + draw,4,44,0.825637,0.5007262916666667,0.24413426041666664,0.25513940625,F/R,0.49126597727272736,1.2407796843965695,2.9274475
BBB,Top pair,4,144,35.848743999999954,0.15424426709401712,0.4318258653846153,0.4139298774928776,C/R,0.22033840277777783,0.38883534670370207,3.593436461535
BBB,Second pair,4,108,24.036272000000004,0.14086840740740741,0.4092870740740741,0.4498445277777777,C/R,0.19572977314814807,0.29807118194223825,2.8688599192233997
BBB,Third pair,4,99,17.718636999999998,0.3403578531746032,0.19685087936507942,0.4627911765873016,F/R,0.3179955757575758,0.2897424760001036,2.9523308
BBB,Underpair,1,6,0.8803620000000001,0.0108145,0.32932316666666667,0.6598620000000001,R,0.34013783333333336,0.2665060688789154,0.6096106067579001
A[J-T][9-5],Second pair,10,306,287.42407899999995,0.32792963346801346,0.40185920370370376,0.2702111939057239,F/C,0.28937768954248383,0.2467685329244341,1.4935812746000001
ABB,Top pair,6,288,58.43442299999999,0.1372579756944444,0.3559079930555556,0.5068340416666667,C/R,0.2054484913194445,0.24035532055059433,1.4090747369162
A[J-T][4-2],Two pair+,6,120,437.750976,0.0,0.3107666999999999,0.6892333,R,0.31076670000000006,0.227164749031692,0.7807837519999993
BBx,Weak pair,47,2166,236.09739900000014,0.6461928920198693,0.28095171674124736,0.07285539738123382,F/C,0.2509842564635267,0.21391961825013078,1.6316109152800002
BBB,A-high + draw,4,128,35.61544400000004,0.33091779687500006,0.24531039062499999,0.42377177343750005,F/R,0.3094235585937499,0.19381083756550221,1.6260130944594002
