flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
BBx,Weak pair,9,59,2.0176479999999994,0.4200562185185185,0.5799437814814815,F/C,0.49728762711864416,0.9372329863749531,1.34144
K/Qx con,Third pair,14,158,43.13906100000001,0.2853301538446148,0.7146698461553852,C,0.24846330379746845,0.6744255688270384,1.7405164601221
BBx,Air + draw,47,1090,104.25112500000007,0.2916546177302496,0.7083453835629114,C,0.278792435321101,0.6441626245865202,2.645063
K/Qx dis,Third pair,41,305,28.85027800000001,0.184347362945591,0.8156526387965694,C,0.1583943131147541,0.6008144750173265,1.7100305525366999
A[9-7]x,Underpair,18,115,0.777551,0.6420060736609069,0.35799393678543684,F/C,0.42353397391304354,0.5925784852073207,0.79486045
[7-4]x,Weak pair,16,180,2650.546340000001,0.5712147378472222,0.4287852673611111,F/C,0.497074625,0.5781629768137935,2.47719
[7-4]x,2 overcards + draw,20,1827,16556.367328999986,0.5488775106068335,0.45112248919205244,F/C,0.4516189750957853,0.5099209685578806,3.637655
A[J-T][9-5],Second pair,10,324,19.31861100000003,0.7321861498239162,0.26781384402510533,F,0.2778644166666668,0.45709419295367376,1.17105
[J-8]x con,Air + draw,26,685,2506.029517,0.19837210926409046,0.8016278899346277,C,0.2460535364963504,0.3690511926016489,2.4872368000000002
BBB,Third pair,4,71,24.99681499999999,0.5051884562937063,0.4948115437062937,F/C,0.4678827323943663,0.34899903260096626,1.194455
