board,combo,flop5,hand,base,bdfd,candidate_F,candidate_C,candidate_R,source_loss_bb,oracle_regret_bb
Js Th 8d,7cAc,Bxx,Gutshot,A-high,False,0.0,0.5,0.5,1.76049175,1.76049175
Js Th 8d,5c7c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.65631545,1.65631545
Js Th 8d,4c7c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.6554531000000001,1.6554531000000001
Js Th 8d,6c7c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.6415954499999998,1.6415954499999998
Qs Th 8d,6c7c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.62035505,1.62035505
Js Th 8d,7cKc,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.5708970999999998,1.5708970999999998
Ts 9h 8d,6cAc,Bxx,Gutshot,A-high,False,0.0,0.5,0.5,1.53056775,1.53056775
Ts 9h 8d,3c6c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.5038886999999999,1.5038886999999999
Js Th 9d,7cAc,Bxx,Gutshot,A-high,False,0.0,0.5,0.5,1.5036498999999999,1.5036498999999999
Ts 9h 8d,5c6c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.5004507,1.5004507
Ts 9h 8d,4c6c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.4911554500000002,1.4911554500000002
Js Th 9d,5c7c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.46830235,1.46830235
Js Th 9d,6c7c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.46521495,1.46521495
Js Th 9d,4c7c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.4418368999999998,1.4418368999999998
Qs Th 9d,5c8c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.4175996999999998,1.4175996999999998
Ts 9h 8d,6cKc,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.39177645,1.39177645
Ts 9h 7d,6cKc,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.37082215,1.37082215
Qs Th 8d,5c9c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.3206449500000002,1.3206449500000002
Ts 9h 7d,5c6c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.28506565,1.28506565
Qs Jh 9d,5c8c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.2840765,1.2840765
Qs Jh 9d,6c8c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.27818565,1.27818565
Qs Th 9d,8cAc,Bxx,Gutshot,A-high,False,0.0,0.5,0.5,1.2671381,1.2671381
Qs Jh 9d,7c8c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.25798915,1.25798915
Ts 9h 7d,6cQc,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.2495346,1.2495346
Qs Jh 9d,8cAc,Bxx,Gutshot,A-high,False,0.0,0.5,0.5,1.2446909,1.2446909
Js 9h 8d,4c7c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.23761005,1.23761005
Ts 9h 7d,3c6c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.2360296,1.2360296
Ts 9h 7d,4c6c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.23242495,1.23242495
Qs Th 8d,7cJc,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.20968685,1.20968685
Js 9h 8d,7cAc,Bxx,Gutshot,A-high,False,0.0,0.5,0.5,1.1938735999999999,1.1938735999999999
Qs Th 9d,6c7c,Bxx,Gutshot,Air,False,0.0,0.5,0.5,1.1937065,1.1937065
Js Th 8d,6s7s,Bxx,Gutshot,Air,True,0.0,0.5,0.5,1.1936619,1.1936619
