hand_category,present_cells,raw_transitions,smoothed_blocks,smoothed_mix_cells,frequency_distance,raw_root_loss_bb,smoothed_root_loss_bb,incremental_root_loss_bb,options,raw_pattern,smoothed_pattern
Two pair+,13,3,1,0,0.13864808810570678,1.2256654686659312e-05,1.1122381422075344e-05,-1.1342732645839675e-06,structured:1=0.000011122; structured:2=0.000011082; structured:3=0.000012297; raw:99=0.000012257,X | X | X | X | X | X/D | X | X | X | X | X | X | X/D,X | X | X | X | X | X | X | X | X | X | X | X | X
Overpair,3,1,1,0,0.2400355230641024,4.756780138175846e-06,8.478367730021291e-06,3.721587591845445e-06,structured:1=0.000008478; structured:2=0.000004757; structured:3=0.000016486; raw:99=0.000004757,X | X | X/D,X | X | X
Top pair,13,1,1,0,0.07281490545203005,8.04531277630573e-06,5.859322807045855e-06,-2.185989969259875e-06,structured:1=0.000005859; structured:2=0.000008045; structured:3=0.000206394; raw:99=0.000008045,X | X | X | X | X | X | X | X | X | X | X | X | X/D,X | X | X | X | X | X | X | X | X | X | X | X | X
Second pair,13,1,1,0,0.06606375633161973,8.651006379824172e-06,7.477629711733158e-06,-1.173376668091015e-06,structured:1=0.000007478; structured:2=0.000008651; structured:3=0.000032313; raw:99=0.000008651,X | X | X | X | X | X | X | X | X | X | X | X | X/D,X | X | X | X | X | X | X | X | X | X | X | X | X
Third pair,13,1,1,0,0.08790712715022497,8.936172729547732e-06,6.1935734133631445e-06,-2.7425993161845874e-06,structured:1=0.000006194; structured:2=0.000008936; structured:3=0.000013748; raw:99=0.000008936,X | X | X | X | X | X | X | X | X | X | X | X | X/D,X | X | X | X | X | X | X | X | X | X | X | X | X
Underpair,10,1,1,0,0.06757148006766137,1.3123518249911646e-06,1.51355815675677e-06,2.0120633176560536e-07,structured:1=0.000001514; structured:2=0.000001312; structured:3=0.000042810; raw:99=0.000001312,X | X | X | X | X | X | X | X | X | X/D,X | X | X | X | X | X | X | X | X | X
Weak pair,13,1,1,0,0.0647179572509689,1.885114398476154e-06,3.442079584510339e-06,1.5569651860341854e-06,structured:1=0.000003442; structured:2=0.000001885; structured:3=0.000908996; raw:99=0.000001885,X | X | X | X | X | X | X | X | X | X | X | X | X/D,X | X | X | X | X | X | X | X | X | X | X | X | X
OESD,12,3,1,0,0.11230236993031766,5.423370341977519e-06,5.636236298315899e-06,2.1286595633838029e-07,structured:1=0.000005636; structured:2=0.000004480; structured:3=0.000006579; raw:99=0.000005423,X | X | X | X | X/D | X | X | X | X | X | X | X/D,X | X | X | X | X | X | X | X | X | X | X | X
Gutshot,13,1,1,0,0.09463336981001376,3.538507864765169e-05,4.261231530407328e-05,7.227236656421594e-06,structured:1=0.000042612; structured:2=0.000035385; structured:3=0.000032962; raw:99=0.000035385,X | X | X | X | X | X | X | X | X | X | X | X | X/D,X | X | X | X | X | X | X | X | X | X | X | X | X
2 overcards + BDFD,3,1,1,0,0.2514964355043989,6.906719846650749e-05,9.802395650018775e-05,2.895675803368025e-05,structured:1=0.000098024; structured:2=0.000069067; structured:3=0.000098612; raw:99=0.000069067,X | X | X/D,X | X | X
A-high + BDFD,6,1,1,0,0.12729419628939853,7.839039432370491e-06,1.060636972639686e-05,2.767330294026369e-06,structured:1=0.000010606; structured:2=0.000007839; structured:3=0.001103711; raw:99=0.000007839,X | X | X | X | X | X/D,X | X | X | X | X | X
Air,13,0,1,0,0.02095965606035941,4.487726380255536e-05,4.487726380255536e-05,0.0,structured:1=0.000044877; structured:2=0.000271306; structured:3=0.001235895; raw:99=0.000044877,X | X | X | X | X | X | X | X | X | X | X | X | X,X | X | X | X | X | X | X | X | X | X | X | X | X
