hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,X,X,X,X,X,X,X,X,X,X,X,X,X
Overpair,—,—,—,—,—,—,—,—,—,—,X,X,X
Top pair,X,X,X,X,X,X,X,X,X,X,X,X,X
Second pair,X,X,X,X,X,X,X,X,X,X,X,X,X
Third pair,X,X,X,X,X,X,X,X,X,X,X,X,X
Underpair,—,—,X,X,X,X,—,X,X,X,X,X,X
Weak pair,X,X,X,X,X,X,X,X,X,X,X,X,X
OESD,X,X,X,—,X,X,X,X,X,X,X,X,X
Gutshot,X,X,X,X,X,X,X,X,X,X,X,X,X
2 overcards + BDFD,—,—,—,—,—,—,—,—,—,—,X,X,X
A-high + BDFD,—,—,—,—,—,—,—,X,X,X,X,X,X
Air,X,X,X,X,X,X,X,X,X,X,X,X,X
