hand_category,present_cells,raw_transitions,smoothed_blocks,smoothed_mix_cells,frequency_distance,raw_root_loss_bb,smoothed_root_loss_bb,incremental_root_loss_bb,options,raw_pattern,smoothed_pattern
Two pair+,13,0,1,0,0.03272372424733754,2.6901357913527996e-06,2.6901357913527996e-06,0.0,structured:1=0.000002690; structured:2=0.000092205; structured:3=0.000030864; raw:99=0.000002690,B | B | B | B | B | B | B | B | B | B | B | B | B,B | B | B | B | B | B | B | B | B | B | B | B | B
Overpair,7,1,1,0,0.16802006454386836,2.606113023042797e-05,2.8813349220316032e-05,2.7522189898880592e-06,structured:1=0.000028813; structured:2=0.000046244; structured:3=0.000048996; raw:99=0.000026061,B | B | B | B | B | B | X/B,B | B | B | B | B | B | B
Top pair,13,4,1,13,0.1371983250235615,0.000776508150600995,0.0009217389843211278,0.00014523083372013282,structured:1=0.000921739; structured:2=0.000902979; structured:3=0.000878119; raw:99=0.000776508,B | B | X/B | X/B | X/B | X/B | B | B | X/B | X/B | X/B | X/B | B,X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B
Second pair,13,7,1,13,0.16808947934565177,0.000123489384314787,0.00016020629101388294,3.6716906699095936e-05,structured:1=0.000160206; structured:2=0.000155982; structured:3=0.000142409; raw:99=0.000123489,B | X/B | X/B | X | B | B | X/B | X/B | B | B | X/B | X/B | B,X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B
Third pair,13,7,1,13,0.2525675027673596,0.0001689595905124698,0.00027837087570754284,0.00010941128519507306,structured:1=0.000278371; structured:2=0.000246307; structured:3=0.000257423; raw:99=0.000168960,B | B | B | B | B | B | X/B | B | X/B | X | X/B | X | X/B,X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B
Underpair,13,6,1,13,0.28039206438033615,5.3763393220257394e-05,0.00025173958999423555,0.00019797619677397815,structured:1=0.000251740; structured:2=0.000062787; structured:3=0.000057974; raw:99=0.000053763,B | X | X | X | X | X | B | X/B | X | X | X | X/B | B,X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B
Weak pair,13,4,1,13,0.2550077100159334,0.00031751081947301756,0.0007548678668747221,0.00043735704740170445,structured:1=0.000754868; structured:2=0.000331625; structured:3=0.000321351; raw:99=0.000317511,B | X/B | X/B | X/B | X/B | B | B | X/B | X | X | X | X | X,X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B
OESD,12,0,1,0,0.08624051378684848,1.4556477047719453e-06,1.4556477047719453e-06,0.0,structured:1=0.000001456; structured:2=0.000001922; structured:3=0.000006161; raw:99=0.000001456,B | B | B | B | B | B | B | B | B | B | B | B,B | B | B | B | B | B | B | B | B | B | B | B
Gutshot,13,1,1,0,0.18082528775204876,4.578321036642024e-05,4.690804735526121e-05,1.124836988840978e-06,structured:1=0.000046908; structured:2=0.000069277; structured:3=0.000056820; raw:99=0.000045783,B | B | B | B | B | B | B | B | B | B | B | B | X/B,B | B | B | B | B | B | B | B | B | B | B | B | B
2 overcards + BDFD,5,3,1,5,0.23275068816333705,0.00010261681543011515,0.00011725453030476641,1.4637714874651253e-05,structured:1=0.000117255; structured:2=0.000108363; structured:3=0.000113108; raw:99=0.000102617,X | X | X/B | X | X/B,X/B | X/B | X/B | X/B | X/B
A-high + BDFD,6,1,1,6,0.1730898304553976,8.903169956665998e-05,9.619238647495485e-05,7.16068690829488e-06,structured:1=0.000096192; structured:2=0.000094620; structured:3=0.000089463; raw:99=0.000089032,X/B | X/B | X/B | X/B | X | X,X/B | X/B | X/B | X/B | X/B | X/B
Air,13,2,1,13,0.07093787998277247,0.00023233633203709214,0.0002743744161218431,4.203808408475098e-05,structured:1=0.000274374; structured:2=0.000274521; structured:3=0.000232336; raw:99=0.000232336,X/B | X/B | X/B | X/B | X/B | X/B | X/B | B | X/B | X/B | X/B | X/B | X/B,X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B | X/B
