hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,B,B,B,B,B,B,B,B,B,B,B,B,B
Overpair,—,—,—,—,—,—,B,B,B,B,B,B,B
Top pair,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B
Second pair,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B
Third pair,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B
Underpair,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B
Weak pair,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B
OESD,B,B,B,—,B,B,B,B,B,B,B,B,B
Gutshot,B,B,B,B,B,B,B,B,B,B,B,B,B
2 overcards + BDFD,—,—,—,—,—,—,—,—,X/B,X/B,X/B,X/B,X/B
A-high + BDFD,—,—,—,—,—,—,—,X/B,X/B,X/B,X/B,X/B,X/B
Air,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B,X/B
