hand_category,present_cells,raw_transitions,smoothed_blocks,smoothed_mix_cells,frequency_distance,raw_root_loss_bb,smoothed_root_loss_bb,incremental_root_loss_bb,options,raw_pattern,smoothed_pattern
Two pair+,13,3,1,13,0.2315150728066368,0.00010730523148927598,0.0005455779011859572,0.0004382726696966812,structured:1=0.000545578; structured:2=0.000205726; structured:3=0.000225367; raw:99=0.000107305,C/R | R | R | R | R | R | C/R | R | R | R | R | R | R,C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R
Overpair,3,0,1,0,0.24235579273903782,8.757697652534236e-07,8.757697652534236e-07,0.0,structured:1=0.000000876; structured:2=0.000005342; structured:3=0.000002093; raw:99=0.000000876,C | C | C,C | C | C
Top pair,13,0,1,0,0.13438854108632547,3.3322564637383585e-05,3.3322564637383585e-05,0.0,structured:1=0.000033323; structured:2=0.000037074; structured:3=0.000080558; raw:99=0.000033323,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Second pair,13,5,1,0,0.27925302576159633,0.0005892347115372622,0.00030955682210295646,-0.0002796778894343057,structured:1=0.000309557; structured:2=0.001279388; structured:3=0.001311933; raw:99=0.000589235,F/C | C | F/C | C | C | C/R | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Third pair,13,4,2,4,0.23308714687252063,0.0009930497138580625,0.000716453336148575,-0.0002765963777094873,structured:1=0.001762865; structured:2=0.000716453; structured:3=0.001013224; raw:99=0.000993050,F/C | F/C | F/C | F/C | C | C | F/C | C/R | C | C | C | C | C,F/C | F/C | F/C | F/C | C | C | C | C | C | C | C | C | C
Underpair,10,1,1,0,0.12151093538362516,5.310972101425556e-06,5.231326396928792e-06,-7.96457044967645e-08,structured:1=0.000005231; structured:2=0.000005311; structured:3=0.000007490; raw:99=0.000005311,F/C | F/C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C
Weak pair,13,7,1,0,0.22322002557371404,0.001561709292763545,0.0023335699599382714,0.0007718606671747265,structured:1=0.002333570; structured:2=0.002133448; structured:3=0.001848145; raw:99=0.001561709,F | F | F | F | F | F/C | F | F | F/C | F | F/C | F | C,F | F | F | F | F | F | F | F | F | F | F | F | F
OESD,12,3,1,12,0.2092690094324803,0.00017067006490516777,0.000159546530277849,-1.1123534627318773e-05,structured:1=0.000159547; structured:2=0.000172984; structured:3=0.000158893; raw:99=0.000170670,C/R | C/R | R | R | R | C/R | C/R | R | R | R | R | R,C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R
Gutshot,13,4,1,13,0.2583825241520874,0.002718181749739283,0.002897178080207156,0.000178996330467873,structured:1=0.002897178; structured:2=0.002534423; structured:3=0.002147861; raw:99=0.002718182,F | C/R | C/R | C/R | C/R | C/R | F | F/C | C/R | C/R | C/R | C/R | C/R,C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R
2 overcards + BDFD,3,1,1,3,0.26954959778553855,0.00031827581556463923,0.00017179039743289923,-0.00014648541813174002,structured:1=0.000171790; structured:2=0.000335249; structured:3=0.000325513; raw:99=0.000318276,C | C | F/C,C/R | C/R | C/R
A-high + BDFD,6,2,2,5,0.16245691152913827,0.0009891453910734448,0.0009865635148087906,-2.5818762646541293e-06,structured:1=0.003554431; structured:2=0.000986564; structured:3=0.000989145; raw:99=0.000989145,F | F/C | F/C | F/C | F/C | F/R,F | F/C | F/C | F/C | F/C | F/C
Air,13,0,1,0,0.06591135882878595,0.002807733105936667,0.002807733105936667,0.0,structured:1=0.002807733; structured:2=0.003364979; structured:3=0.009159004; raw:99=0.002807733,F | F | F | F | F | F | F | F | F | F | F | F | F,F | F | F | F | F | F | F | F | F | F | F | F | F
