hand_category,present_cells,raw_transitions,smoothed_blocks,smoothed_mix_cells,frequency_distance,raw_root_loss_bb,smoothed_root_loss_bb,incremental_root_loss_bb,options,raw_pattern,smoothed_pattern
Two pair+,13,0,1,0,8.325961538465688e-06,0.0,0.0,0.0,structured:1=0.000000000; structured:2=0.001937719; structured:3=0.001557096; raw:99=0.000000000,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Overpair,7,0,1,0,0.004029726625678757,7.660391452516092e-08,7.660391452516092e-08,0.0,structured:1=0.000000077; structured:2=0.001919359; structured:3=0.000910789; raw:99=0.000000077,C | C | C | C | C | C | C,C | C | C | C | C | C | C
Top pair,13,0,1,0,0.15487720045032743,0.0002190721701007782,0.0002190721701007782,0.0,structured:1=0.000219072; structured:2=0.000269296; structured:3=0.000241497; raw:99=0.000219072,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Second pair,13,5,1,0,0.2252458298843371,0.0003871187601239739,0.0001507836407391801,-0.00023633511938479383,structured:1=0.000150784; structured:2=0.000298145; structured:3=0.000309288; raw:99=0.000387119,F/C | F | F/C | F/C | C | C | F/C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Third pair,13,3,1,0,0.13840593471589685,7.908133021156894e-05,6.513043978654702e-05,-1.395089042502194e-05,structured:1=0.000065130; structured:2=0.000068411; structured:3=0.000174510; raw:99=0.000079081,F | C | C | C | C | C | F/C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Underpair,13,2,1,0,0.11255846083435907,3.7117794860023515e-06,3.514772567908396e-06,-1.9700691809395489e-07,structured:1=0.000003515; structured:2=0.000017793; structured:3=0.000003712; raw:99=0.000003712,C | C | F/C | F/C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Weak pair,13,8,1,0,0.3082436802988183,0.00018279465815813927,0.0002743669247945073,9.157226663636807e-05,structured:1=0.000274367; structured:2=0.000246699; structured:3=0.000610306; raw:99=0.000182795,F | F | F | F | F/C | C | F | F | F/C | F | F/C | F | C,F | F | F | F | F | F | F | F | F | F | F | F | F
OESD,12,2,1,0,0.038042828243371206,1.3406000033187036e-05,7.239332149868558e-06,-6.166667883318476e-06,structured:1=0.000007239; structured:2=0.000021137; structured:3=0.000013406; raw:99=0.000013406,C | C | C | C | C | F/C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C
Gutshot,13,6,1,0,0.21077356580655573,0.0008309557700022276,0.0002765931340425324,-0.0005543626359596954,structured:1=0.000276593; structured:2=0.000722548; structured:3=0.000761561; raw:99=0.000830956,F/C | C | C | F/C | C | C | F | F/C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
2 overcards + BDFD,5,0,1,0,0.13177898849782427,2.057657000551964e-05,2.057657000551964e-05,0.0,structured:1=0.000020577; structured:2=0.000060680; structured:3=0.000021144; raw:99=0.000020577,C | C | C | C | C,C | C | C | C | C
A-high + BDFD,6,3,1,6,0.21512778930234774,0.0001998201016933435,0.0014533474615880994,0.0012535273598947556,structured:1=0.001453347; structured:2=0.000410636; structured:3=0.000322913; raw:99=0.000199820,F | F | F | F/C | F | F/C,F/C | F/C | F/C | F/C | F/C | F/C
Air,13,0,1,0,0.05702919352621248,0.0003954326481210763,0.0003954326481210763,0.0,structured:1=0.000395433; structured:2=0.000826035; structured:3=0.000845932; raw:99=0.000395433,F | F | F | F | F | F | F | F | F | F | F | F | F,F | F | F | F | F | F | F | F | F | F | F | F | F
