hand_category,present_cells,raw_transitions,smoothed_blocks,smoothed_mix_cells,frequency_distance,raw_root_loss_bb,smoothed_root_loss_bb,incremental_root_loss_bb,options,raw_pattern,smoothed_pattern
Two pair+,13,2,1,13,0.23678353777095587,5.1553364162284196e-05,5.5419751058047954e-05,3.866386895763765e-06,structured:1=0.000055420; structured:2=0.000041689; structured:3=0.000057830; raw:99=0.000051553,R | R | R | R | C/R | C/R | C/R | R | R | R | R | R | R,C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R
Overpair,7,2,1,7,0.16414488737596586,1.062206905206147e-05,4.378534162086519e-05,3.316327256880372e-05,structured:1=0.000043785; structured:2=0.000028289; structured:3=0.000036786; raw:99=0.000010622,R | C/R | C/R | C | C | C | C,C/R | C/R | C/R | C/R | C/R | C/R | C/R
Top pair,13,3,1,13,0.25431081442522663,1.9638128416759466e-05,0.00012549652264381173,0.00010585839422705225,structured:1=0.000125497; structured:2=0.000021928; structured:3=0.000053683; raw:99=0.000019638,C/R | C/R | C | C | C | C | C/R | C | C | C | C | C | C,C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R
Second pair,13,3,1,13,0.1917788824746261,2.4377403262707316e-05,1.5280340804219324e-05,-9.097062458487991e-06,structured:1=0.000015280; structured:2=0.000030139; structured:3=0.000030470; raw:99=0.000024377,C/R | F/C | F/C | F/C | C/R | C/R | C/R | C/R | C/R | C/R | C | C | C,C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R
Third pair,13,7,1,13,0.1799904525970724,1.4205371495706913e-05,2.3643699807231038e-05,9.438328311524123e-06,structured:1=0.000023644; structured:2=0.000014544; structured:3=0.000014430; raw:99=0.000014205,F/R | R | C/R | R | C/R | C/R | F/R | C/R | C/R | C/R | C/R | C | C,C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R
Underpair,13,4,1,0,0.24348741123421647,2.545664478685792e-06,2.6151110170245748e-06,6.944653833878268e-08,structured:1=0.000002615; structured:2=0.000002599; structured:3=0.000002546; raw:99=0.000002546,C/R | C | C | C | C | C | R | C/R | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Weak pair,13,9,2,12,0.2871287772600732,2.3234714209082075e-05,0.00040593667247017966,0.00038270195826109764,structured:1=0.000619479; structured:2=0.000405937; structured:3=0.000405083; raw:99=0.000023235,F | F/C | F | F/C | F/C | C | F | F/C | C/R | F/C | C | C | C,F/C | F/C | F/C | F/C | F/C | F/C | F/C | F/C | F/C | F/C | F/C | F/C | C
OESD,12,8,1,12,0.17628714141769128,1.1914347746265262e-05,4.483205448069055e-06,-7.4311422981962065e-06,structured:1=0.000004483; structured:2=0.000004584; structured:3=0.000004176; raw:99=0.000011914,C/R | R | C/R | C | C | C/R | C/R | R | C/R | R | R | C/R,C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R
Gutshot,13,4,1,13,0.1764577573420189,3.6108298602874124e-05,0.00013602722186617264,9.991892326329851e-05,structured:1=0.000136027; structured:2=0.000039189; structured:3=0.000133331; raw:99=0.000036108,C/R | C/R | C/R | C/R | C | C | F/R | C/R | C/R | C/R | C/R | C/R | C,C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R | C/R
2 overcards + BDFD,5,0,1,0,0.23432119179867755,9.25832419141012e-06,9.25832419141012e-06,0.0,structured:1=0.000009258; structured:2=0.000010657; structured:3=0.000043398; raw:99=0.000009258,C | C | C | C | C,C | C | C | C | C
A-high + BDFD,6,1,1,6,0.2158912423312882,0.000114984799119266,0.0001157203766771365,7.355775578705201e-07,structured:1=0.000115720; structured:2=0.000114985; structured:3=0.000124464; raw:99=0.000114985,F | F/C | F/C | F/C | F/C | F/C,F/C | F/C | F/C | F/C | F/C | F/C
Air,13,4,1,0,0.22536416033922788,0.0006706607379694164,0.000607778805737601,-6.288193223181545e-05,structured:1=0.000607779; structured:2=0.001168194; structured:3=0.000744066; raw:99=0.000670661,F | F | F | F | F | F | F | F | F/C | F | F/C | F | F,F | F | F | F | F | F | F | F | F | F | F | F | F
