hand_category,present_cells,raw_transitions,smoothed_blocks,smoothed_mix_cells,frequency_distance,raw_root_loss_bb,smoothed_root_loss_bb,incremental_root_loss_bb,options,raw_pattern,smoothed_pattern
Two pair+,13,0,1,0,4.663461537954795e-08,0.0,0.0,0.0,structured:1=0.000000000; structured:2=0.000019492; structured:3=0.000168764; raw:99=0.000000000,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Overpair,3,0,1,0,0.0014884567129629597,0.0,0.0,0.0,structured:1=0.000000000; structured:2=0.000749135; structured:3=0.000137360; raw:99=0.000000000,C | C | C,C | C | C
Top pair,13,0,1,0,0.007608302920506298,9.066439459478198e-07,9.066439459478198e-07,0.0,structured:1=0.000000907; structured:2=0.000001302; structured:3=0.000265123; raw:99=0.000000907,C | C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Second pair,13,4,1,0,0.26538877417675544,1.0685342994744098e-05,1.3323123671303693e-05,2.637780676559595e-06,structured:1=0.000013323; structured:2=0.000012839; structured:3=0.000011933; raw:99=0.000010685,C | C | F | F/C | F/C | F | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
Third pair,13,3,2,8,0.18622892682495606,1.790020874377603e-05,5.700755190637439e-05,3.9107343162598364e-05,structured:1=0.000382643; structured:2=0.000057008; structured:3=0.000024674; raw:99=0.000017900,F/C | F | F | F | F | F | F/C | F/C | C | C | C | C | C,F/C | F/C | F/C | F/C | F/C | F/C | F/C | F/C | C | C | C | C | C
Underpair,10,5,2,0,0.12137529900802761,2.2449375839024767e-06,2.5608057775488424e-06,3.1586819364636565e-07,structured:1=0.000154818; structured:2=0.000002561; structured:3=0.000006589; raw:99=0.000002245,F | F | F/C | F | C | C | F/C | C | C | C,F | F | F | F | C | C | C | C | C | C
Weak pair,13,4,1,0,0.18245607452274412,0.000151168166351801,0.0001792379762862099,2.8069809934408914e-05,structured:1=0.000179238; structured:2=0.000151694; structured:3=0.000178569; raw:99=0.000151168,F | F | F | F | F | F | C | F/C | F | F | F | F | F/C,F | F | F | F | F | F | F | F | F | F | F | F | F
OESD,12,0,1,0,0.004072405998153888,7.991637760734775e-06,7.991637760734775e-06,0.0,structured:1=0.000007992; structured:2=0.000554711; structured:3=0.000143298; raw:99=0.000007992,C | C | C | C | C | C | C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C
Gutshot,13,4,1,0,0.22090946039976644,0.000261146626756297,0.00025885590013008934,-2.290726626207675e-06,structured:1=0.000258856; structured:2=0.000271633; structured:3=0.000266765; raw:99=0.000261147,C | C | C | F/C | C | C | C | F/C | C | C | C | C | C,C | C | C | C | C | C | C | C | C | C | C | C | C
2 overcards + BDFD,3,2,3,1,0.20092538747104813,7.047880477733158e-05,7.047880477733158e-05,0.0,structured:1=0.000307482; structured:2=0.000319725; structured:3=0.000070479; raw:99=0.000070479,C | F/C | F,C | F/C | F
A-high + BDFD,6,0,1,0,0.0895279522985481,1.706936224404084e-06,1.706936224404084e-06,0.0,structured:1=0.000001707; structured:2=0.000012092; structured:3=0.000025249; raw:99=0.000001707,F | F | F | F | F | F,F | F | F | F | F | F
Air,8,0,1,0,0.039672061867180766,4.041318094769895e-06,4.041318094769895e-06,0.0,structured:1=0.000004041; structured:2=0.000239069; structured:3=0.000138574; raw:99=0.000004041,F | F | F | F | F | F | F | F,F | F | F | F | F | F | F | F
