flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Low pocket pair,6,288,32752.240500000004,0.11334991319444444,0.8866500972222222,B,False,0,0,,,1.4624123440716078e-05,0.0024036303400002622
ABB,Top pair,6,144,30076.091000000004,0.1983957777777778,0.8016042222222222,B,False,0,0,,,0.00045956336057884176,0.013783486880000594
ABB,Air,6,128,5390.723792,0.43681796875000006,0.5631820298611111,B/X,False,0,0,,,0.0037398479799715554,0.024991474299999795
ABB,Second pair,6,54,7404.1582000000035,0.3793497222222222,0.620650288888889,B/X,False,0,0,,,0.0011360121239280495,0.004682885829999961
ABB,Gutshot,6,572,96132.68746200006,0.1564823088613452,0.8435176968861894,B,False,0,0,,,0.0002035617027307137,0.0430443468
ABB,Third pair,6,27,2599.821587,0.11662680555555556,0.8833732222222223,B,False,0,0,,,7.1902037041497775e-06,0.019180036979999926
ABB,Two pair+,6,293,54037.19850000001,0.10251398831908831,0.8974860148860399,B,False,0,0,,,6.296754502094757e-05,0.036136819589999904
A[K/Q]x,Low pocket pair,14,336,19530.015500000023,0.25994141439909296,0.7400585757653061,B,False,0,0,,,0.0002805499710122119,0.03205856174999973
A[K/Q]x,Top pair,16,912,193417.85000000015,0.3021599067982456,0.6978400910087719,B,False,0,0,,,0.0006550014906860747,0.017167458659999822
A[K/Q]x,Air,16,596,48291.125276000006,0.5642604363674519,0.43573955448457796,X/B,False,0,0,,,0.0016891725688910793,0.056559999999999985
A[K/Q]x,Second pair,16,702,110764.23260000006,0.45299062306160437,0.5470093783740257,B/X,False,0,0,,,0.0010107623207408845,0.03633000000000024
A[K/Q]x,Third pair,12,108,7090.763480999999,0.007729272222222222,0.9922707416666667,B,False,0,0,,,1.8907027248559786e-05,0.00060919924000018
A[K/Q]x,Two pair+,16,332,64912.44620000003,0.006554321022727273,0.9934456821022727,B,False,0,0,,,2.7221018336044792e-08,8.328499998810911e-06
A[K/Q]x,Weak pair,16,576,109791.85659999994,0.41686306429398134,0.5831369296999008,B/X,False,0,0,,,0.0008955596367625045,0.016939999999999955
A[K/Q]x,Gutshot,16,596,81970.88510799997,0.11445593420138889,0.8855440590277778,B,False,0,0,,,6.818023237844553e-05,0.0014577152000001092
ABB,OESD,3,20,1939.35133,0.15999604166666667,0.8400039583333333,B,False,0,0,,,0.00025310807288774975,0.005658541999999755
A[K/Q]x,OESD,2,8,1744.939,0.0046178750000000005,0.995382,B,False,0,0,,,0.0,0.0
A[K/Q]x,Underpair,8,48,10343.701000000001,0.8759029166666666,0.12409708333333333,X,False,0,0,,,0.0005712033754058002,0.004124292480000236
A[J-T]x,Low pocket pair,14,336,19433.607399999997,0.19039172301587298,0.8096082771541949,B,False,0,0,,,0.00011656631782585532,0.007232308999999759
A[J-T]x,Top pair,16,912,192470.49700000015,0.4906965603070175,0.5093034364035087,B/X,False,0,0,,,0.0015910012812549736,0.043175000000000095
A[J-T]x,Air,16,620,61653.33194700005,0.5227453307646781,0.47725466449878245,X/B,False,0,0,,,0.0010602800988555397,0.044709999999999896
A[J-T]x,Gutshot,16,772,120673.36934400014,0.27218063879826765,0.727819356033463,B,False,0,0,,,0.00022694392185399604,0.06940999999999989
A[J-T]x,Third pair,12,117,8969.31722,0.06608561944444445,0.9339143736111111,B,False,0,0,,,0.0002616935525295119,0.006584363829999873
A[J-T]x,OESD,5,84,7902.561727000001,0.062025870000000004,0.93797413,B,False,0,0,,,1.625036346431023e-06,5.930028000022958e-05
A[J-T]x,Two pair+,16,326,63753.11269400001,0.025977056249999998,0.9740229465909089,B,False,0,0,,,2.4304460590908837e-05,0.002368609759999174
A[J-T]x,Weak pair,15,384,67505.51220000004,0.5148340276455027,0.48516596669312173,X/B,False,0,0,,,0.00649106961533813,0.07528500000000023
A[J-T]x,Second pair,16,495,66008.61820599991,0.5408547101430978,0.459145281523569,X/B,False,0,0,,,0.0018140847115069522,0.05829000000000022
A[J-T]x,Underpair,16,240,51636.31700000002,0.9255316111111112,0.07446839236111112,X,False,0,0,,,9.378445887309697e-05,0.0010270093400002623
A[9-2]x,Low pocket pair,18,312,10035.288000000011,0.3794040587962963,0.6205959416666667,B/X,False,0,0,,,0.0145732610135992,0.0777700000000003
A[9-2]x,Top pair,28,1812,371890.50700000115,0.6039377428571429,0.39606224837662335,X/B,False,0,0,,,0.003733042686416012,0.06409999999999982
A[9-2]x,Air,28,3220,433091.294414999,0.42757371117422294,0.5724262881704293,B/X,False,0,0,,,0.001371117748544261,0.04619999999999998
A[9-2]x,Gutshot,25,296,21503.779891,0.07128998093343439,0.9287100208732264,B,False,0,0,,,0.001054697655863272,0.022149999999999892
A[9-2]x,OESD,13,68,4025.490891000001,0.0020695961538461536,0.9979304038461538,B,False,0,0,,,0.0,0.0
A[9-2]x,Third pair,14,102,6287.647639000004,0.26159148214285716,0.7384085178571429,B,False,0,0,,,0.00641504293663088,0.08826
A[9-2]x,Two pair+,28,380,59776.38348900001,0.01157217864684335,0.9884278213531567,B,False,0,0,,,6.159355531430964e-07,0.00018799923999921476
A[9-2]x,Second pair,25,291,25233.151942000008,0.1591395508888889,0.8408604464444445,B,False,0,0,,,0.00029264278372277745,0.04995999999999974
A[9-2]x,Underpair,28,984,202485.75900000014,0.8400627233843538,0.159937276310941,X,False,0,0,,,0.0002932952531202055,0.00483973350000042
A[9-2]x,Weak pair,18,312,37111.74149999999,0.7919813146604937,0.20801867839506172,X,False,0,0,,,0.0002925179612677847,0.0502600000000001
BBB,Low pocket pair,4,162,15436.774200000002,0.09448178968253967,0.9055181805555554,B,False,0,0,,,1.0230490451118873e-05,0.0005801329800000588
BBB,Gutshot,4,362,72254.34184200001,0.23017015306386837,0.7698298334952715,B,False,0,0,,,0.0005330841510593129,0.04632819312999956
BBB,Air,4,68,3178.822962999998,0.4020531541666666,0.5979468458333334,B/X,False,0,0,,,0.0012862823994709718,0.006995792020000025
BBB,Top pair,3,36,4002.7207999999996,0.2500455277777777,0.7499544722222223,B,False,0,0,,,0.0006903027678996258,0.011215354250000331
BBB,OESD,4,197,30968.760708999995,0.3222687728434957,0.6777312134079074,B,False,0,0,,,0.000521805753471424,0.06753000000000035
BBB,Two pair+,4,214,38638.24320000001,0.18749375551116684,0.8125062444888332,B,False,0,0,,,0.00035884226654252764,0.07025999999999968
BBB,Third pair,2,6,2.645569,0.8845805,0.11541950000000001,X,False,0,0,,,0.0,0.0
BBx,Low pocket pair,41,948,51191.300999999876,0.1862541873015873,0.8137458110917536,B,False,0,0,,,0.004599430158407329,0.0955400000000001
BBx,Air,47,2280,338472.0890170006,0.29428459053234,0.7057154077647457,B,False,0,0,,,9.914605050600437e-05,0.06695999999999991
BBx,Top pair,47,1902,348134.78980000044,0.3687905658415166,0.631209436816052,B/X,False,0,0,,,0.0035894768064212027,0.07651499999999985
BBx,Third pair,47,375,42866.18034200004,0.21623113451536646,0.7837688654846339,B,False,0,0,,,0.014755840176411947,0.21967999999999996
BBx,Gutshot,47,2281,433611.5347079992,0.23054544623016177,0.7694545505936352,B,False,0,0,,,0.0009989809230901217,0.1464500000000001
BBx,Two pair+,47,935,153247.72525199992,0.010932453777864212,0.9890675422683068,B,False,0,0,,,1.7360745639252385e-05,0.006159021480000604
BBx,Second pair,47,1470,234497.51541700002,0.628591998669888,0.3714080012919115,X/B,False,0,0,,,0.0017829008954020243,0.07942999999999997
BBx,Overpair,47,444,96117.72499999998,0.0658738108747045,0.9341262074468085,B,False,0,0,,,2.3381826008113178e-05,0.0022529425599998377
BBx,Weak pair,38,1140,205896.27490000005,0.6445875992498605,0.35541240533277635,X/B,False,0,0,,,0.010861845978050264,0.10556499999999999
BBx,OESD,46,879,135445.29840999993,0.12128319068675887,0.878716805158926,B,False,0,0,,,7.367270405830761e-05,0.04488000000000021
BBx,Underpair,20,162,35872.406,0.4613297583333333,0.5386702500000001,B/X,False,0,0,,,0.0005434278881785886,0.00309917322000004
K/Qx,Low pocket pair,42,672,21518.715500000017,0.7259174621693123,0.27408254252645514,X,False,0,0,,,0.004972187595054215,0.15413999999999994
K/Qx,Air,56,6636,1175984.4197860006,0.42077261175830377,0.5792273890884154,B/X,False,0,0,,,0.0014227358510942988,0.0531699999999999
K/Qx,Gutshot,49,929,120344.72421499992,0.1201655987809283,0.8798344045884505,B,False,0,0,,,5.289094871056069e-05,0.2501800000000003
K/Qx,Top pair,56,3042,533609.5144999991,0.4934345999799371,0.5065653963688218,B/X,False,0,0,,,0.006618247540736003,0.07699500000000015
K/Qx,OESD,31,168,14522.358001999997,0.024165225806451612,0.9758347661290321,B,False,0,0,,,0.0,0.0
K/Qx,Third pair,56,339,45754.68783600001,0.45651095644841266,0.5434890390873016,B/X,False,0,0,,,0.012342635466481053,0.1376100000000001
K/Qx,Two pair+,56,616,91873.31790500006,0.000996376138077609,0.9990036238619223,B,False,0,0,,,0.0,0.0
K/Qx,Second pair,56,672,74785.44476099992,0.2244037088293651,0.7755962927579365,B,False,0,0,,,0.0010130416835358945,0.15052999999999983
K/Qx,Underpair,55,1500,323028.5000000006,0.7255243387518037,0.27447566152837904,X,False,0,0,,,0.0013954957890407148,0.012401461920000401
K/Qx,Overpair,56,504,109683.19499999995,0.02448069940476191,0.9755193095238089,B,False,0,0,,,8.116343005827036e-07,0.00015604004000095982
K/Qx,Weak pair,42,672,78022.2879,0.8574760435846562,0.14252395562169312,X,False,0,0,,,0.0007299520260134549,0.0638300000000001
K/Qx,2 overcards + BDFD,28,84,18455.809999999994,0.8590170952380952,0.14098289285714286,X,False,0,0,,,0.0004282969344554251,0.006254387020000252
[J-8]x con,Low pocket pair,22,372,9804.403029999989,0.9132654200757577,0.08673457992424241,X,False,0,0,,,0.0011800958879839953,0.045579999999999996
[J-8]x con,Air,26,2907,475117.2473429999,0.5138698720818662,0.48613012740221395,X/B,False,0,0,,,0.0008107483735623682,0.08782500000000013
[J-8]x con,Gutshot,26,948,131871.846591,0.27790602787312946,0.7220939651995348,B,False,0,0,,,0.010095963456912374,0.5542200000000002
[J-8]x con,OESD,24,454,57087.659203999996,0.17843658423522854,0.8215634226844141,B,False,0,0,,,0.00423315058087431,0.3036999999999999
[J-8]x con,Two pair+,26,386,45545.883583999945,0.0274319552036678,0.9725680423711711,B,False,0,0,,,0.0003036907273383085,0.08684324000000032
[J-8]x con,Third pair,26,141,20241.99448700001,0.6836166474358976,0.31638335256410255,X,False,0,0,,,0.0003209388348139407,0.03554943119999976
[J-8]x con,Second pair,26,177,25456.595501999982,0.5249063931623931,0.47509361004273504,X/B,False,0,0,,,0.009396657784706998,0.1093049999999998
[J-8]x con,Top pair,26,714,110995.56834500018,0.5031035225568237,0.49689647668005077,X/B,False,0,0,,,0.0110730481317216,0.13650999999999983
[J-8]x con,Overpair,26,600,120075.55600000014,0.3689898205128205,0.6310101743589744,B/X,False,0,0,,,0.0008371823783804919,0.016925000000000523
[J-8]x con,2 overcards + BDFD,25,489,94940.20280000007,0.681305377777778,0.31869461244444447,X,False,0,0,,,0.002468295420307549,0.09643999999999978
[J-8]x dis,Low pocket pair,46,582,11251.78348000001,0.7567293726449276,0.24327061890096613,X,False,0,0,,,0.003918334720359495,0.08651999999999979
[J-8]x dis,Air,67,8152,1411748.7495359986,0.49020936497916684,0.5097906342309884,B/X,False,0,0,,,0.0007183761355967243,0.06722499999999983
[J-8]x dis,Gutshot,66,1566,206156.98008099984,0.2477207031917096,0.7522793010194077,B,False,0,0,,,0.0058069655685418125,0.5743099999999999
[J-8]x dis,Third pair,67,348,50127.54134899997,0.44099461923714767,0.5590053702321724,B/X,False,0,0,,,0.021785068593420977,0.2197050000000001
[J-8]x dis,OESD,53,598,52241.33729599997,0.06459317120182347,0.9354068253676446,B,False,0,0,,,0.00016100204934320085,0.04371999999999972
[J-8]x dis,Two pair+,67,691,90496.68453499992,0.003411653912256897,0.9965883440976933,B,False,0,0,,,3.3452337516269894e-06,0.00082215100000127
[J-8]x dis,Second pair,67,831,94477.6012179999,0.49379345373134326,0.5062065380597015,B/X,False,0,0,,,0.004182933661634339,0.15287000000000006
[J-8]x dis,Top pair,67,2157,336882.84857000026,0.4850591195715562,0.5149408794890019,B/X,False,0,0,,,0.009856026780935374,0.13445999999999997
[J-8]x dis,Overpair,67,1674,349743.593,0.27719854618573797,0.7228014582089552,B,False,0,0,,,0.0005132789610497,0.013911025500000562
[J-8]x dis,2 overcards + BDFD,67,1260,255718.16219999956,0.6080264615888809,0.3919735342572851,X/B,False,0,0,,,0.003451180245135984,0.07945000000000028
[J-8]x dis,Weak pair,57,924,89417.38700000013,0.9395483952241714,0.060451605604288514,X,False,0,0,,,0.00019114013607734055,0.06036999999999999
[J-8]x dis,Underpair,48,702,148074.00689999998,0.6672438534722223,0.3327561568287037,X,False,0,0,,,0.0008087033831822245,0.008454857070000089
[J-8]x con,Underpair,14,372,65911.82979999996,0.6424409667517007,0.3575590371315193,X/B,False,0,0,,,0.0003708587231566083,0.004000117440000395
[7-4]x,Low pocket pair,6,36,253.09292999999997,1.0,0.0,X,False,0,0,,,0.0,0.0
[7-4]x,Air,20,2368,237922.5076119998,0.5408177936327305,0.4591822050043529,X/B,False,0,0,,,0.0017442248575023325,0.08088999999999977
[7-4]x,Gutshot,20,886,79418.05786700001,0.41360744142107964,0.5863925441282328,B/X,False,0,0,,,0.004412171791474042,0.25016999999999995
[7-4]x,OESD,18,260,11744.392185999995,0.09535696851089975,0.9046430334732273,B,False,0,0,,,0.0010320528393728003,0.12231000000000022
[7-4]x,Two pair+,20,252,12733.820325000002,0.0019508034759358286,0.9980491965240642,B,False,0,0,,,3.8515734498069024e-07,0.00010319713999962232
[7-4]x,Third pair,16,51,5868.173099999999,0.47343152083333334,0.5265684791666667,B/X,False,0,0,,,0.0018798749171199825,0.05361999999999974
[7-4]x,Second pair,16,96,8794.112411999997,0.4311146701388889,0.5688853194444444,B/X,False,0,0,,,0.002928524740488073,0.0780149999999999
[7-4]x,Top pair,19,159,10618.603139000004,0.22187167543859654,0.7781283201754386,B,False,0,0,,,0.001770414176171148,0.10190999999999946
[7-4]x,Overpair,20,822,110510.38859999992,0.48095499058531754,0.5190450087400793,B/X,False,0,0,,,0.0003134175933577438,0.004365137939998931
[7-4]x,2 overcards + BDFD,20,1008,116726.92238600006,0.598842764264735,0.4011572419629603,X/B,False,0,0,,,0.0020160968432078874,0.05394000000000006
[7-4]x,Weak pair,3,36,841.4746,1.0,0.0,X,False,0,0,,,0.0,0.0
[7-4]x,Underpair,3,36,3163.5276000000003,0.6437271203703704,0.3562729074074074,X/B,False,0,0,,,0.00032449170771386906,0.002797899060000475
