hand_category,ABB,A[K/Q]x,A[J-T]x,A[9-2]x,BBB,BBx,K/Qx,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,B,B,B,B,B,B,B,B,B,B
Overpair,—,—,—,—,—,B,B,B,B/X,B/X
Top pair,B,B,B/X,X/B,B,B/X,B/X,B/X,X/B,B
Underpair,—,X,X,X,—,B/X,X,X,X/B,X/B
Second pair,B/X,B/X,X/B,B,—,X/B,B,B/X,X/B,B/X
Weak pair,—,B/X,X/B,X,—,X/B,X,X,—,X
Third pair,B,B,B,B,X,B,B/X,B/X,X,B/X
Low pocket pair,B,B,B,B/X,B,B,X,X,X,X
OESD,B,B,B,B,B,B,B,B,B,B
Gutshot,B,B,B,B,B,B,B,B,B,B/X
2 overcards + BDFD,—,—,—,—,—,—,X,X/B,X,X/B
Air,B/X,X/B,X/B,B/X,B/X,B,B/X,B/X,X/B,X/B
