flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Low pocket pair,6,288,40695.16400000001,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
ABB,Air,6,436,43917.9001,1.0,0.0,0.0,F,False,6,6,0.0,1.0,0.0,0.0
ABB,Second pair,6,117,11374.946799999998,0.7849836041666666,0.19014846527777776,0.024867912037037036,F,False,6,6,0.32252456597222223,1.0,0.011593129950386558,0.13943293132100001
ABB,Top pair,6,144,14606.742400000001,0.09724273611111112,0.855745638888889,0.04701163888888888,C,False,6,6,1.0,0.2917282083333333,0.0002199023599323866,0.0112659357877
ABB,Third pair,6,99,6457.10755,0.9609294537037038,0.035968316137566146,0.0031022499999999995,F,False,6,6,0.06416790277777779,1.0,0.0007124434362012535,0.06908326084230001
ABB,Gutshot,6,727,55895.18478999999,0.33906434132168,0.48964071882421994,0.17129495877354642,C/F,False,6,6,0.42999222489761535,0.21382224992180598,0.4002205564628006,2.22845
ABB,Two pair+,6,270,20022.357959999994,0.0,0.47503804524124327,0.5249619466286756,R/C,False,6,6,0.9999999722222224,0.0,0.003998499423289869,0.1475594097600009
A[K/Q]x,Low pocket pair,14,336,44465.92200000002,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
A[K/Q]x,Air,16,1740,130743.71839000001,1.0,0.0,0.0,F,False,16,16,0.0,1.0,0.0,0.0
A[K/Q]x,Second pair,16,870,57601.54734,0.23213299767443527,0.7007454637369568,0.0671215472960383,C,False,16,16,1.0000000152777777,0.34856474218012656,0.009049967554434319,0.1459872010938
A[K/Q]x,Top pair,16,888,71673.05502000003,0.0,0.9372741373659844,0.06272585136452243,C,False,16,16,0.9999999902777778,0.0,0.00031431232266242886,0.17400999999999983
A[K/Q]x,Third pair,16,330,26287.00377999999,0.46404714632936506,0.28645751369047623,0.2494953422867063,BDFD,True,16,16,0.8314978611979167,0.9963921450892858,0.0052155038756639465,0.130196651238
A[K/Q]x,Two pair+,16,236,16962.57539,0.0,0.20610492075892858,0.7938950792410715,R,False,16,16,0.9999999999999999,0.0,0.001492943932253016,0.07468286579999983
A[K/Q]x,Weak pair,16,528,51082.93199999993,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
A[K/Q]x,Gutshot,16,860,44151.018840000004,0.13962854316907053,0.6192353943509614,0.24113605378605765,C/R,False,16,16,0.9753222743055555,0.18082256767971613,0.007381828800910976,0.3729
ABB,OESD,3,40,3208.1928400000006,0.034125638888888886,0.42364915833333333,0.5422251972222222,R/C,False,3,3,0.9915361666666666,0.1111111111111111,0.018250107263203696,0.46392605
A[K/Q]x,OESD,2,32,1565.3460000000002,0.0,0.5222807812499999,0.4777191875,C/R,False,2,2,0.9999999999999999,0.0,0.0017856229654889155,0.007385623650000284
A[J-T]x,Low pocket pair,14,336,36469.83260000004,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
A[J-T]x,Air,16,1732,114405.63121000007,1.0,0.0,0.0,F,False,16,16,0.0,1.0,0.0,0.0
A[J-T]x,Top pair,16,864,53261.55342,0.0,0.9269253541666665,0.07307464120370369,C,False,16,16,1.0,0.0,0.00010041396020104658,0.07206000000000046
A[J-T]x,Third pair,16,342,22506.037165999995,0.39755146059854507,0.39731540149636246,0.20513312970403444,BDFD,True,16,16,0.9141343671502976,0.9884930487103175,0.0018557259324760926,0.0642603465938
A[J-T]x,Gutshot,16,908,48390.868440000035,0.17883117398989898,0.5132887373934658,0.30788007580492427,C/R,False,16,16,0.9143793097222223,0.22269993595397783,0.016665136779349707,0.79944
A[J-T]x,Second pair,16,786,33027.91954999998,0.32558737179580904,0.5869945069357421,0.08741812575536063,C/F,False,16,16,1.0000000055059524,0.43262142992778174,0.12061539255982959,0.55813
A[J-T]x,OESD,5,104,5154.880530000002,0.0,0.3493208166666667,0.6506791749999999,R,False,5,5,0.9999999666666666,0.0,0.0020110125505016104,0.027227819799999865
A[J-T]x,Two pair+,16,293,20884.463409999997,0.0,0.2716356175279828,0.7283643635910336,R,False,16,16,1.0000000208333333,0.0,0.004332120959930766,0.23576999999999942
A[J-T]x,Weak pair,15,384,34929.69100000002,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
A[J-T]x,Underpair,8,48,2615.9985999999994,0.39575889583333335,0.6017333333333333,0.002507729166666667,C/F,False,0,0,,,0.0016632196340933762,0.017155433532199997
A[9-2]x,Low pocket pair,18,312,28112.622900000017,0.9685389691358025,0.03146103086419753,0.0,F,False,0,0,,,0.00025874332137540304,0.008619342688799998
A[9-2]x,Air,28,5052,214308.92230999962,0.9678315944255728,0.03137003355132146,0.0007983723101198018,F,False,28,28,0.07205116444722001,0.998025778166625,0.0007129631120323815,0.417464
A[9-2]x,Top pair,28,1728,85298.53397599998,0.0,0.9540303472968137,0.04596965315073398,C,False,28,28,1.0000000065192742,0.0,2.9659629643471488e-05,0.023911369440000385
A[9-2]x,Gutshot,28,792,32408.231480000017,0.003948115727891885,0.5216736057616954,0.4743782752598195,C/R,False,28,28,0.9999946013321996,0.006648099308622049,0.00826673625804698,0.35640325
A[9-2]x,Third pair,28,453,21326.482609999977,0.017715955144557823,0.8717454538832199,0.11053859186507939,C,False,28,28,1.0000000070153063,0.05314786543367347,0.00181450906761541,0.18961509999999998
A[9-2]x,Second pair,28,663,33715.48214999995,0.0024306000283446714,0.7004650660070089,0.29710433298675537,C,False,28,28,1.0000000005668934,0.0060145541028911575,0.004073043472036258,0.1604537539999999
A[9-2]x,OESD,16,156,7220.026079999998,0.0,0.13685711458333333,0.8631428906249999,R,False,16,16,0.9999999930555554,0.0,0.001379752934190607,0.02448254839999997
A[9-2]x,Two pair+,28,336,16534.390474999997,0.0,0.3004070360969387,0.6995929650935374,R,False,28,28,0.9999999821428573,0.0,0.006699031326822193,0.2956194087600011
A[9-2]x,Underpair,28,648,38387.6519,0.05756818700396826,0.9233672649801588,0.019064537103174604,C,False,0,0,,,0.001070168310827569,0.0433834638917
A[9-2]x,Weak pair,18,312,25996.2301,0.8132933131172841,0.18344399938271605,0.0032626828703703706,F,False,0,0,,,0.0045223560313372175,0.0300667038258
BBB,Low pocket pair,4,162,22749.312000000005,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
BBB,Air,4,224,21782.120399999993,1.0,0.0,0.0,F,False,4,4,0.0,1.0,0.0,0.0
BBB,Top pair,4,75,6979.6251999999995,0.3124388690476191,0.66953525,0.018025880952380953,BDFD,True,4,4,0.9999999999999999,0.9373166071428571,0.00045740839983477507,0.0085136631708
BBB,Gutshot,4,389,36953.887839999974,0.5607521708268048,0.3926699328751433,0.046577904120179564,F/C,False,4,4,0.30817253563234037,0.4539352718355493,0.3018134061392995,1.6386377752199994
BBB,Second pair,4,39,2367.9474999999998,0.8220247583333333,0.17441884166666666,0.003556383333333334,F,False,4,4,0.2669628375,1.0,0.015336105534428745,0.16108829112200002
BBB,OESD,4,276,22358.724370000007,0.0893095403645833,0.670187912361111,0.24050254140625005,C,False,4,4,0.9166405156249999,0.09491631948198198,0.031980415642494986,0.6177731
BBB,Third pair,4,30,2464.3925000000004,1.0,0.0,0.0,F,False,4,4,0.0,1.0,0.0,0.0
BBB,Two pair+,4,218,15916.667239999995,0.0,0.6463131910012173,0.3536867995648204,C/R,False,4,4,0.9999999999999999,0.0,0.005254232913684448,0.1353200000000001
BBx,Low pocket pair,41,948,120919.738,1.0,0.0,0.0,F,False,0,0,,,0.0,0.0
BBx,Air,47,4776,405586.76639999927,1.0,0.0,0.0,F,False,47,47,0.0,1.0,0.0,0.0
BBx,Top pair,47,2253,155906.28576,3.326152482269503e-05,0.8866336806123397,0.11333305462615306,C,False,47,47,0.999999999029044,5.701975683890577e-05,0.0006491076248917994,0.22443000000000027
BBx,Second pair,47,2169,136109.30884000016,0.05135305548741831,0.8516795805625124,0.09696735505098872,C,False,47,47,0.999999990695711,0.07312016461424856,0.001385000721411363,0.2466541
BBx,Third pair,47,933,80942.54112999997,0.2163501010300574,0.5900377759315546,0.19361211606720702,C/F,False,47,47,0.9996939273514016,0.6484381690476192,0.2392003874600715,0.6870845671200001
BBx,Gutshot,47,2662,198438.36920999986,0.22065612207749274,0.5656720710806091,0.21367181096693366,C/F,False,47,47,0.8091263734204723,0.22076690985861194,0.22585394112218227,2.142795
BBx,Two pair+,47,958,68738.79171,0.0,0.16946582958009898,0.8305341813166871,R,False,47,47,1.0000000177304966,0.0,0.0016648093948391572,0.22216000000000022
BBx,Weak pair,38,1140,132514.17250000007,0.9345578784913673,0.06544212099693678,0.0,F,False,0,0,,,0.0024746160879142855,0.162987
BBx,OESD,46,1139,66840.51792000001,0.0013204382888039338,0.47864070400087383,0.5200388618522853,R/C,False,46,46,0.9985445913043476,0.001331654901217312,0.006458365576746733,0.37249655000000004
BBx,Underpair,13,78,5312.592099999999,1.0512820512820514e-06,0.9995394487179488,0.0004594871794871795,C,False,0,0,,,0.0,0.0
K/Qx,Low pocket pair,42,672,74976.36920000004,0.9446203915343914,0.05537524682539684,4.35978835978836e-06,F,False,0,0,,,0.0004894389521355729,0.030463236903000002
K/Qx,Air,56,9776,630022.464320002,0.8342534300378209,0.150698375566063,0.015048195213052668,F,False,56,56,0.2160050521078179,0.8705435863719542,0.02328663295605244,1.47989
K/Qx,Top pair,56,3462,194172.94012999992,0.0,0.8699259117450008,0.1300740865530303,C,False,56,56,1.0000000033234122,0.0,0.00047783699831927104,0.27235000000000015
K/Qx,Gutshot,52,1569,92114.35060999995,0.005080528903527309,0.4240164886958636,0.5709029881803753,R/C,False,52,52,0.9999938838730713,0.007340914418941273,0.005189938095700927,0.37508369999999996
K/Qx,Third pair,56,1011,70807.81497999998,0.0,0.791015865929705,0.20898412996740362,C,False,56,56,0.9999999968856288,0.0,0.0021240856359234007,0.16016743728000016
K/Qx,Second pair,56,1386,103032.96081,1.3888888888888889e-08,0.769100022058167,0.2308999625313509,C,False,56,56,1.0000000005350056,4.166666666666666e-08,0.001681007139959334,0.1276
K/Qx,OESD,40,440,26523.65530999999,0.0,0.21506880729166666,0.784931189583333,R,False,40,40,0.9999999916666668,0.0,0.0005890524550705223,0.013519567950000066
K/Qx,Two pair+,56,624,54301.38440999998,0.0,0.19114987308673467,0.8088501285501702,R,False,56,56,1.0000000148809525,0.0,0.0017789961656739812,0.07680000000000006
K/Qx,Underpair,55,1332,107303.09129999993,0.005795918878066378,0.9856186007251087,0.008585480346320345,C,False,0,0,,,0.00017011865410084865,0.019583315544000002
K/Qx,Weak pair,42,672,80374.97170000008,0.42438098902116406,0.5756162885582011,2.7142857142857136e-06,C/F,False,0,0,,,0.0064527283789055,0.0587975
[J-8]x con,Low pocket pair,22,372,36831.87546,0.8091456912878786,0.19085201515151518,2.2803030303030305e-06,F,False,0,0,,,0.0035540349133831245,0.06816123581059999
[J-8]x con,Air,26,3966,234418.816042,0.8032609400900325,0.17651887244522843,0.02022018750519592,F,False,26,26,0.10802179125924252,0.7627373420097734,0.02823236961276679,1.50181
[J-8]x con,Gutshot,26,1386,73795.94470800008,0.08831313554892439,0.3693298510273406,0.5423570094956081,R/C,False,26,26,0.894244434261402,0.07787849784108217,0.10695479741637123,1.53056775
[J-8]x con,OESD,26,725,40937.95450999999,0.009502688862483743,0.2768077751049014,0.7136895330663021,R,False,26,26,0.9889708211037539,0.008471071534961822,0.0318240496008287,0.8564940999999999
[J-8]x con,Third pair,26,420,26560.609340000006,0.038752890598290596,0.8593148347476599,0.10193227170329669,C,False,26,26,0.9881188656593407,0.09249641538461538,0.004550447798502041,0.3693092
[J-8]x con,Second pair,26,465,30012.85272999997,0.036446139316239315,0.8249966256512007,0.13855723645706144,C,False,26,26,0.9999371550213676,0.06428851864801864,0.0026352318007481735,0.2699659
[J-8]x con,Two pair+,26,527,31201.237611000022,0.0,0.29894857482383164,0.7010514296858369,R,False,26,26,0.9999999903846154,0.0,0.012137612610632752,0.3030799999999999
[J-8]x con,Top pair,26,984,52565.43340999996,0.0,0.8292393139263721,0.17076068306889897,C,False,26,26,0.9999999990079365,0.0,0.0005835114915509775,0.12192999999999969
[J-8]x dis,Low pocket pair,46,582,60230.435399999995,0.9200196714975846,0.07998034480676328,0.0,F,False,0,0,,,0.0011453181613336732,0.040406921920400005
[J-8]x dis,Air,67,10993,709295.9449699989,0.7809402580618838,0.19421942736894868,0.024840315756350245,F,False,67,67,0.1416894352929624,0.7289174079288125,0.03098822579392562,1.42027
