flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Low pocket pair,6,288,3180.079030999999,1.0,0.0,F,False,0,0,,,0.0,0.0
ABB,Top pair,6,144,2528.249230000001,0.642576625,0.35742337500000004,F/C,False,6,6,0.5361350625,1.0,0.26727538399268325,0.8014324
ABB,Air,6,128,342.45439300000004,1.0,0.0,F,False,6,6,0.0,1.0,0.0,0.0
ABB,Second pair,6,54,464.09584000000007,0.9320639666666667,0.06793608888888888,F,False,6,6,0.10190413333333331,1.0,0.009855525052589291,0.121095703496
ABB,Gutshot,6,572,7456.306738000003,0.3522625102917257,0.647737501164234,C/F,False,6,6,0.9051749772486772,0.43932704420830376,0.32191680453362376,1.7230149999999997
ABB,Third pair,6,27,239.640181,0.9999899999999999,1e-05,F,False,6,6,1.4999999999999999e-05,1.0,0.0,0.0
ABB,Two pair+,6,293,4661.957648,0.00010819583333333333,0.9998918041666666,C,False,6,6,1.0,0.00012728921568627453,0.0,0.0
A[K/Q]x,Low pocket pair,14,336,1442.0930279999998,1.0,0.0,F,False,0,0,,,0.0,0.0
A[K/Q]x,Top pair,16,912,11472.51848999999,0.1876628059210526,0.8123371918859649,C,False,16,16,1.0,0.28910216047297294,0.007261991096191774,0.2729282
A[K/Q]x,Air,16,572,2328.9975879999993,0.9729728409762732,0.02702715902372675,F,False,16,16,0.03537922852516296,1.0,0.0024413987825459955,0.638185
A[K/Q]x,Second pair,16,688,5081.159844999999,0.6820948858702812,0.3179051155063228,BDFD,True,16,16,0.9999964062500001,0.9158347664213138,0.002896388758136326,0.062358149293
A[K/Q]x,Third pair,12,108,552.5804700000002,0.004528677777777777,0.9954713291666666,C,False,12,12,1.0,0.01358603333333333,0.0,0.0
A[K/Q]x,Two pair+,16,332,5128.481803999999,0.0,1.0,C,False,16,16,1.0,0.0,0.0,0.0
A[K/Q]x,Weak pair,16,575,5210.570713999994,0.7527742076203228,0.24722578853129762,F,False,0,0,,,0.034555244239108905,1.0093400000000001
A[K/Q]x,Gutshot,16,596,6435.8298,0.15421230798611113,0.845787698611111,C,False,16,16,0.999801015625,0.21092350901124338,0.0035640321786608456,0.1574238
ABB,OESD,3,20,170.77367500000003,0.06854154166666666,0.9314584583333333,C,False,3,3,0.9641668333333334,0.16666666666666666,0.014491891100783813,0.8651465999999999
A[K/Q]x,OESD,2,8,169.149,0.0,1.0,C,False,2,2,1.0,0.0,0.0,0.0
