flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Low pocket pair,6,288,34.925000999999995,0.8972333576388888,0.07368991319444444,0.029076760416666667,F,False,0,0,,,0.0,0.0
ABB,Top pair,6,144,31.038917999999995,0.263298125,0.3322675,0.40443443749999997,R/C,False,6,6,0.8956341354166666,0.5811624791666666,0.4439199425968904,1.4090747369162
ABB,Air,6,128,5.144724,0.8680333534722223,0.10753972847222222,0.024426909027777777,F,False,6,6,0.17024694444444446,0.9828741944444443,0.0,0.0
ABB,Second pair,6,54,4.262359000000001,0.6309705444444443,0.19528442222222223,0.17374505555555556,F/C,False,6,6,0.5322669333333334,0.9574455666666667,0.0982478744172223,0.6954230186868
ABB,Gutshot,6,572,86.92051999999998,0.11669773125821381,0.32741888149236464,0.5558833817909219,R/C,False,6,6,0.9529776264550265,0.14025430842606668,0.07257219806208286,4.0157597
ABB,Third pair,6,27,2.9825939999999997,0.5564265,0.14139283333333333,0.3021804722222222,F/R,False,6,6,0.6031588333333333,0.8755976666666667,0.6726912239471954,2.2106408682591003
ABB,Two pair+,6,293,51.037353,0.0016718219729344728,0.3203901566595441,0.6779379758190882,R,False,6,6,0.9992742222222223,0.001811246841322928,0.14395986994365018,1.0525631555200001
A[K/Q]x,Low pocket pair,14,336,19.83794099999999,0.6063008299886621,0.31201633228458053,0.08168284005102042,F/C,False,0,0,,,0.04960469751089748,0.374527539036
A[K/Q]x,Top pair,16,912,953.5931839999997,0.017048119517543862,0.6194069835526316,0.3635449057017543,C/R,False,16,16,0.9998750312500001,0.02619575337837838,0.05194450665990733,0.3545094680217996
A[K/Q]x,Air,16,596,302.0778730000002,0.8343718760499049,0.12061770237969498,0.045010423261460764,F,False,16,16,0.21152811668765265,0.9720718407748502,0.014229663903721768,1.41299170576
A[K/Q]x,Second pair,16,702,529.8291070000004,0.3854323325379431,0.4063680587430084,0.2081996420272436,C/F,False,16,16,0.9301760029761905,0.4910406610373182,0.1303251553318392,1.48287005795
A[K/Q]x,Third pair,12,108,11.485342999999999,0.037749520833333335,0.2787576518518518,0.6834928041666667,R,False,12,12,0.9911233444444444,0.09549532083333334,0.1226120703962225,0.34807163322480006
A[K/Q]x,Two pair+,16,332,279.74591599999997,8.522727272727273e-09,0.2078286721590909,0.792171322159091,R,False,16,16,0.9999999687499999,9.86842105263158e-09,0.18123924347628956,0.8110413269700004
A[K/Q]x,Weak pair,16,576,672.6698129999996,0.5658594123346559,0.2061865134920635,0.22795401850611777,F/R,False,0,0,,,0.2096872466474505,1.0049009855448001
A[K/Q]x,Gutshot,16,596,449.099868,0.0606483482638889,0.4388004609374999,0.5005511631944445,R/C,False,16,16,0.9996348038194445,0.08233420494378309,0.007099093151414548,0.2562263179999988
ABB,OESD,3,20,3.374327,0.016500374999999998,0.3901553333333334,0.5933445416666666,R/C,False,3,3,0.9935715,0.04671516666666666,0.024397408050899638,0.5906258994527999
A[K/Q]x,OESD,2,8,0.932324,0.0,0.277912125,0.722087875,R,False,2,2,1.0,0.0,0.007328524904750491,0.03143233284000004
A[K/Q]x,Underpair,8,48,69.054563,0.15403881249999998,0.7011261041666668,0.14483508333333334,C,False,0,0,,,0.0,0.0
