hand_category,ABB,A[K/Q]x,A[J-T]x,A[9-2]x,BBB,BBx,K/Qx,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,R,R,R,R/C,R/C,R,R,R,R,R
Overpair,—,—,—,—,—,C/R,C/R,C,C,C
Top pair,R/C,C/R,C,C,BDFD,C,C,C,C,C/R
Underpair,—,C,C,C,—,C/R,C,C,C,C
Second pair,F/C,C/F,C/F,R/C,—,C/R,C/R,C,C,C
Weak pair,—,F/R,F/C,C/R,—,F/C,C,C,—,C
Third pair,F/R,R,R/C,R/C,F,R/C,R/C,C/R,C,C
Low pocket pair,F,F/C,F,C/F,F,F,C/F,C/F,C/F,C
OESD,R/C,R,R/C,C,R/C,R/C,R,R,R/C,R/C
Gutshot,R/C,R/C,C/R,C,R/F,R/C,C/R,R/C,C/R,C
2 overcards + BDFD,—,—,—,—,—,—,C,C,C,C
Air,F,F,F,BDFD,F,F,BDFD,BDFD,F,F
