flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Top pair,6,87,3.6498330000000005,0.08829410694685431,0.9117058900006426,BDFD,True,6,3,0.9994127456501832,0.7626629333333333,0.0020338454682740305,0.098118480516
ABB,Second pair,4,24,0.17374499999999998,0.9740894409090909,0.025910559090909092,F,False,0,0,,,0.0,0.0
ABB,Third pair,1,10,0.12965699999999997,1.0,0.0,F,False,0,0,,,0.0,0.0
ABB,Gutshot,6,412,49.252582,0.26687107688032374,0.7331289295924112,C,False,6,6,0.8910470285524323,0.3502679757823934,0.049311016827599835,0.5093754583158001
ABB,Two pair+,6,220,36.624024999999996,0.0,1.0,C,False,6,6,1.0,0.0,0.0,0.0
A[K/Q]x,Second pair,16,303,19.690468000000017,0.21359054698450855,0.7864094491092414,C,False,16,15,0.9999954278846154,0.5972832002635927,0.0011698559006367887,0.3877884
A[K/Q]x,Top pair,16,478,103.67167900000003,0.0,1.0,C,False,16,16,1.0,0.0,0.0,0.0
A[K/Q]x,Third pair,16,269,366.9981489999999,0.8010771967670368,0.19892280283613778,F,False,16,16,0.2650660953382555,0.9961464053030303,0.0015005612510078801,0.2872280324
A[K/Q]x,Two pair+,16,230,205.34842099999986,0.0,1.0,C,False,16,16,1.0,0.0,0.0,0.0
A[K/Q]x,Gutshot,16,642,218.87890000000016,0.174073834969855,0.8259261572099481,C,False,16,16,1.0,0.2593834650591387,0.013058030415832445,0.3223201314419
A[K/Q]x,Weak pair,13,105,8.470640000000003,1.0,0.0,F,False,0,0,,,0.0,0.0
ABB,OESD,3,26,4.0927050000000005,3.0303030303030305e-07,0.9999996969696969,C,False,3,3,0.9999996296296296,0.0,0.0,0.0
A[K/Q]x,OESD,2,32,1.215575,0.0,1.0,C,False,2,2,1.0,0.0,0.0,0.0
A[J-T]x,Top pair,16,647,166.84012199999998,0.0,1.0,C,False,16,16,1.0,0.0,0.0,0.0
A[J-T]x,Third pair,16,276,596.712781,0.8375580917637105,0.16244191433747995,F,False,16,15,0.20651066781230923,0.9985871090909091,0.0025153971379007992,0.38127300000000003
A[J-T]x,Gutshot,16,805,534.2709459999995,0.3347728821590282,0.66522711694133,C,False,16,16,0.9338967268582112,0.4621455036903326,0.09047163179947748,0.9316444
A[J-T]x,OESD,5,103,47.95791899999999,0.0,1.0,C,False,5,5,1.0,0.0,0.0,0.0
