hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,X,X,X,X,X,X/D,X,X,X,X,X,X,X/D
Overpair,—,—,—,—,—,—,—,—,—,—,X,X,X/D
Top pair,X,X,X,X,X,X,X,X,X,X,X,X,X/D
Underpair,—,—,X,X,X,X,—,X,X,X,X,X,X/D
Second pair,X,X,X,X,X,X,X,X,X,X,X,X,X/D
Third pair,X,X,X,X,X,X,X,X,X,X,X,X,X/D
Weak pair,X,X,X,X,X,X,X,X,X,X,X,X,X/D
OESD,X,X,X,—,X,X/D,X,X,X,X,X,X,X/D
Gutshot,X,X,X,X,X,X,X,X,X,X,X,X,X/D
2 overcards + BDFD,—,—,—,—,—,—,—,—,—,—,X,X,X/D
Air,X,X,X,X,X,X,X,X,X,X,X,X,X
