hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,C,C,C,C,C,C,C,C,C,C,C,C,C
Overpair,—,—,—,—,—,—,C,C,C,C,C,C,C
Top pair,C,C,C,C,C,C,C,C,C,C,C,C,C
Underpair,C,C,F/C,C/F,C,C,C,C,C,C,C,C,C
Second pair,F/C,F,F/C,C/F,C,C,C/F,C,C,C,C,C,C
Third pair,F,C,C,C,C,C,F/C,C,C,C,C,C,C
Weak pair,F,F,F,F,F/C,C,F,F,F/C,F,C/F,F,C
OESD,C,C,C,—,C,C,C/F,C,C,C,C,C,C
Gutshot,C/F,C,C,C/F,C,C,F,C/F,C,C,C,C,C
2 overcards + BDFD,—,—,—,—,—,—,—,—,C,C,C,C,C
Air,F,F,F,F,F,F,F,F,F,F,F,F,F
