hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,R,R,R,R,R/C,C/R,R/C,R,R,R,R,R,R
Overpair,—,—,—,—,—,—,R,C/R,C/R,C,C,C,C
Top pair,R/C,C/R,C,C,C,C,C/R,C,C,C,C,C,C
Underpair,R/C,C,C,C,C,C,R,C/R,C,C,C,C,C
Second pair,C/R,C/F,C/F,C/F,R/C,C/R,R/C,C/R,C/R,C/R,C,C,C
Weak pair,R,F/R,F,F/C,C/R,C,R,C/F,C,—,C,—,C
Third pair,R/F,R,R/C,R,R/C,R/C,R/F,R/C,R/C,C/R,C/R,C,C
Low pocket pair,F,F/C,F,F/C,C/F,C,F,F,C/F,C/F,C/F,C,C
OESD,R/C,R,R/C,—,C,C,R/C,R/C,R,R/C,R,R,R/C
Gutshot,R/C,R/C,R/C,C/R,C,C,F/R,R/C,C/R,C/R,R/C,C/R,C
2 overcards + BDFD,—,—,—,—,—,—,—,—,C,C,C,C,C
Air,F,F,F,F,F,F,F,F,F/C,F/C,F/C,F,F
