flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A-high high,Weak pair,22,1188,139564.48940000008,0.983786725841751,0.00689293409090909,0.009320341750841753,F,0.0005641694691494586,0.114082830997
A-high high,Air,22,2176,174661.6184900001,1.0,0.0,0.0,F,0.0,0.0
A-high high,Second pair,22,1131,79499.99385999983,0.26027979281625596,0.655836133615563,0.08388407557185312,C,0.03452302931137985,0.9247764999999999
A-high high,Top pair,22,1167,97906.54231999993,0.01407089375,0.9230108401803121,0.06291826166157186,C,0.0002715568557093637,0.17400999999999983
A-high high,Third pair,22,573,40615.981429999985,0.44387599792076604,0.3195875308671127,0.2365364833120163,F/C,0.1076555797844058,0.6809217457
A-high high,Air + draw,22,1200,71477.15635000006,0.3001620734245227,0.4786937508555067,0.22114417325081986,F/C,0.15906102746963363,1.6755907968400003
A-high high,Two pair+,22,506,36984.93335000005,0.0,0.2794503183450144,0.7205496794376907,R,0.004548099847420161,0.11541999999999994
A-high medium,Weak pair,16,720,71399.52360000007,1.0,0.0,0.0,F,0.0,0.0
A-high medium,Air,16,1732,114405.63121000007,1.0,0.0,0.0,F,0.0,0.0
A-high medium,Top pair,16,864,53261.55342,0.0,0.9269253541666665,0.07307464120370369,C,0.00010041396020104658,0.07206000000000046
A-high medium,Third pair,16,342,22506.037165999995,0.39755146059854507,0.39731540149636246,0.20513312970403444,F/C,0.09724119698930696,0.323519420608
A-high medium,Air + draw,16,1012,53545.74897000006,0.14437612317594115,0.5128611786437505,0.34276268701941165,C/R,0.015665451980435004,0.79944
A-high medium,Second pair,16,786,33027.91954999998,0.32558737179580904,0.5869945069357421,0.08741812575536063,F/C,0.12061539255982959,0.55813
A-high medium,Two pair+,16,293,20884.463409999997,0.0,0.2716356175279828,0.7283643635910336,R,0.004332120959930766,0.23576999999999942
A-high medium,Underpair,8,48,2615.9985999999994,0.39575889583333335,0.6017333333333333,0.002507729166666667,F/C,0.0016632196340933762,0.017155433532199997
A-high low,Weak pair,27,672,56600.28860000004,0.7262519132716049,0.2565851067901235,0.017162975720164612,F,0.03521355028194027,0.958964185862
A-high low,Air,28,5052,214308.92230999962,0.9678315944255728,0.03137003355132146,0.0007983723101198018,F,0.0007129631120323815,0.417464
A-high low,Top pair,28,1764,86728.931476,0.0,0.9541957879818594,0.04580421258503402,C,2.917046115758177e-05,0.023911369440000385
A-high low,Air + draw,28,768,32132.85948999998,0.003143428968253969,0.4262819173318002,0.57057465181116,C/R,0.007138100425759369,0.35640325
A-high low,Third pair,28,489,22207.94907999998,0.017478761692176874,0.8092261582482992,0.17329508095238097,C,0.0024562323450034894,0.3101761565999997
A-high low,Second pair,28,699,35065.70154999996,0.0024304462585034016,0.6926589028125644,0.3049106554073902,C,0.004465696676059114,0.19485736859999997
A-high low,Two pair+,28,336,16534.390474999997,0.0,0.3004070360969387,0.6995929650935374,R,0.006699031326822193,0.2956194087600011
A-high low,Underpair,28,672,39729.531,0.055724393424036296,0.9242820525014173,0.019993543303571427,C,0.0010790742365184099,0.0433834638917
Broadway,Weak pair,51,2370,288603.99459999986,0.9390341783898741,0.05397264169000934,0.006993180633364456,F,0.016549014696955376,1.8436581433600001
Broadway,Air,51,3716,312566.4171999997,1.0,0.0,0.0,F,0.0,0.0
Broadway,Top pair,51,2610,181280.97514000002,0.010448325552443198,0.8696241430524282,0.11992752978890901,C,0.000934079135914983,0.22443000000000027
Broadway,A-high + draw,46,1184,108821.64160000006,0.1649393316576087,0.6053699267663044,0.22969073736413045,C/R,0.037464481951031095,1.76049175
Broadway,Second pair,51,2526,157819.08357999995,0.044901964335071355,0.8496381549363811,0.10545987766742186,C,0.003998079342696068,0.4920292
Broadway,Air + draw,51,1816,126810.28810999989,0.33014942990572876,0.3588480361972857,0.3110025369283358,F/C,0.5532524579638637,2.00013741416
Broadway,Third pair,51,1191,98879.17439000006,0.2096176475044563,0.5953794315569326,0.1950029148947458,F/C,0.2586922665481455,1.3070034909000001
Broadway,Two pair+,51,1176,84655.45895000001,0.0,0.20686562263273564,0.7931343866694818,R,0.003600222538161592,0.22566000000000058
Broadway,A-high,47,1284,114802.46959999973,1.0,0.0,0.0,F,0.0,0.0
Broadway,Underpair,16,96,6508.735400000001,8.541666666666667e-07,0.9635196354166667,0.0364795,C,1.2220193246033624e-05,0.0008475250000000046
K/Q-high,Weak pair,54,1344,155351.34089999972,0.704865482458848,0.2951290304012345,5.478395061728394e-06,F,0.00713188512029176,0.117595
K/Q-high,Air,56,5984,351934.40115999937,0.9548268396282562,0.03785558097533621,0.007317579250875901,F,0.0031669704640537957,0.47293548805999996
K/Q-high,Top pair,56,3486,195117.74874999994,0.0,0.8679829955743659,0.13201700302128427,C,0.0004908874850327645,0.27235000000000015
K/Q-high,A-high,56,3456,270959.2260600002,0.7014641341411564,0.26734107889119185,0.03119478940795068,F,0.024569321000587837,0.693785
K/Q-high,Air + draw,52,1824,108231.46982000013,0.0026745702547044457,0.367888237679661,0.6294371955610976,C/R,0.004441380136332491,0.37508369999999996
K/Q-high,Third pair,56,1017,71336.44347999997,0.0,0.7908325293650791,0.2091674665320295,C,0.0021083454034585662,0.16016743728000016
K/Q-high,Second pair,56,1401,103549.96419,1.3888888888888889e-08,0.7687546607486431,0.2312453238408747,C,0.0016745988525119194,0.1276
K/Q-high,Two pair+,56,624,54301.38440999998,0.0,0.19114987308673467,0.8088501285501702,R,0.0017789961656739812,0.07680000000000006
K/Q-high,Underpair,56,1344,108086.86199999994,0.005692420326672336,0.9855909947597793,0.008716584863945578,C,0.00016888507201565794,0.019583315544000002
K/Q-high,A-high + draw,13,128,7632.3249,0.034919468749999995,0.3248171706730769,0.6402633629807692,C/R,0.005925310083810662,0.058736798193499994
Broadway,2 overcards + draw,23,500,22133.522050000007,0.0,0.6645273234519103,0.33547269038208166,C,0.001787043004299638,0.20673999999999956
K/Q-high,2 overcards,28,336,7128.837100000001,0.026195297619047618,0.9738046994047619,0.0,C,0.0004762809376110613,0.055278953337500006
Middle connected,Weak pair,22,444,43434.64126,0.7301181094155843,0.2694729788419913,0.0004088969696969697,F,0.05064105029100716,1.4287334919499999
Middle connected,Air,26,1556,95366.21583,0.9692522238115386,0.012811282443791368,0.017936498390313783,F,0.0007193144424851292,0.17684764792
Middle connected,Air + draw,26,806,44952.76889300006,0.13681478653984905,0.21359044074883446,0.6495947663660991,C/R,0.12766496170768013,1.5038886999999999
Middle connected,A-high,25,460,33652.762679,0.7282672665833334,0.139936172,0.1317965495833333,F,0.018661389757979124,0.291113130936
Middle connected,Third pair,26,528,33607.148050000025,0.020697905677655684,0.8497456771164023,0.1295564138583639,C,0.0040594703606876646,0.3693092
Middle connected,Second pair,26,600,38142.98855999997,0.014202956043956046,0.808864018645706,0.17693302163715913,C,0.002264198509539816,0.2699659
Middle connected,Two pair+,26,527,31201.237611000022,0.0,0.29894857482383164,0.7010514296858369,R,0.012137612610632752,0.3030799999999999
Middle connected,Top pair,26,1194,60506.00333999992,5.5907610907610904e-06,0.7646274883061454,0.23536691895451384,C,0.000801552056146348,0.22463999999999978
Middle connected,A-high + draw,23,216,14136.94836,0.10939357717391304,0.39661039945652177,0.49399600706521735,C/R,0.08350388671099498,1.53056775
Middle connected,2 overcards + draw,26,856,29150.29773799999,0.05202840884149185,0.6105429001722341,0.3374286820024547,C/R,0.010101436754501515,0.37486664999999997
Middle connected,Underpair,22,444,41177.16530000003,0.001862681565656565,0.9171847716630591,0.08095254487734488,C,7.381329918003702e-05,0.0030367994569999723
Middle connected,2 overcards,25,1950,105399.83753299997,0.6195805840002899,0.3691935229766283,0.0112258899073221,F/C,0.050360355624731776,0.750905
Middle dry,Weak pair,67,1602,171323.5370999998,0.5206631784411276,0.4778341799751244,0.0015026504145936983,F/C,0.058665941889524065,1.8472112760499992
Middle dry,Air,67,4380,287026.6975700008,0.972166378018084,0.010651017804765975,0.017182607520067204,F,0.001094263457470808,0.24726310165999998
Middle dry,A-high,67,1616,127823.53080499993,0.6974520504353234,0.1735841257773632,0.12896382792288558,F,0.0243534603828963,0.446433348508
Middle dry,Third pair,67,1269,81977.13431000014,6.218905472636815e-10,0.9054093124378109,0.09459068159401406,C,0.00041512602044103594,0.021676782890000013
Middle dry,Air + draw,67,2117,133448.508974,0.040697125305044,0.30331477088823505,0.6559880971158331,R,0.02095365368539406,1.6562823999999998
Middle dry,Second pair,67,1671,122677.33164000003,0.0,0.7941352225057973,0.2058647796841909,C,0.0006193090428982364,0.03538161936000002
Middle dry,Two pair+,67,905,68786.83858000001,0.0,0.21498787250458679,0.7850121171099321,R,0.005145400299198557,0.17038330080000036
Middle dry,Top pair,67,3210,174163.05658000006,0.0,0.7972741144138901,0.20272588938550087,C,0.0003868475652583812,0.19761071185999982
Middle dry,A-high + draw,22,188,11367.001900000001,0.05207025113636363,0.34070245,0.6072272784090909,C/R,0.016413310415788425,1.05771005
Middle dry,Underpair,52,726,69479.3785,1.5246634615384615e-05,0.9674043141025641,0.03258043504273504,C,1.331708672208516e-05,0.0009450919249999856
Middle dry,2 overcards + draw,67,2076,73197.18754499992,0.018454237919724423,0.5693646288815617,0.4121811306714331,C/R,0.0041111235104788705,0.23779395
Middle dry,2 overcards,67,4997,294445.71659499913,0.557551072505426,0.43246814097063824,0.009980784501895141,F/C,0.05032824732126321,0.710135
Middle connected,Overpair,18,204,10696.933600000002,0.0,0.7265575262345679,0.27344246296296293,C,0.0002344061787933682,0.007539377159999816
Middle dry,Overpair,46,486,27185.199399999998,0.0,0.7240953218599032,0.2759046859903382,C,4.136213989421262e-05,0.0015800327400000923
Low,Weak pair,16,180,7757.235071,0.16937232465277777,0.7873729114583333,0.04325475,C,0.008787787519368536,0.17185630000000002
Low,Air + draw,19,368,9995.483900999994,0.02256373364661654,0.18744871701957097,0.789987546843211,R,0.00228939572806186,0.6265896
Low,Third pair,20,273,8054.742045000005,0.0,0.8206240219444444,0.17937598513888892,C,0.00018099357034297435,0.06465999999999994
Low,Air,10,144,6425.455924000001,0.9609469268560605,0.003780954450757576,0.03527210867424242,F,0.0004661900496717573,0.0191734330648
Low,A-high,7,36,1777.6432570000002,0.631628261904762,0.16528989285714288,0.20308180952380955,F/R,0.22896527427151153,0.66178
Low,Two pair+,20,380,9870.09046799999,0.0,0.24520301849480447,0.7547969739506017,R,0.008947586956392146,0.15579525289999907
Low,Second pair,20,402,12697.314481999972,0.0,0.813083244398148,0.18691675490740747,C,0.0005038755580077435,0.07611614781000035
Low,A-high + draw,15,132,4552.951426,0.03992488333333333,0.44365463888888895,0.5164204777777778,C/R,0.000718403215799375,0.16704455
Low,Top pair,20,506,16055.888675000004,0.0,0.6659205907286634,0.3340794112640901,C,0.0016327247364241273,0.11477999999999966
Low,Overpair,20,570,21758.095700000016,0.0,0.8222797684523808,0.17772022402777776,C,0.000366566640680811,0.011856288559999938
Low,2 overcards + draw,20,1831,47030.67942699996,0.2508463451969566,0.4629617074336922,0.28619195047793344,C/R,0.04401918170096443,0.5378254
Low,2 overcards,20,2765,110225.13936800008,0.7969162884174097,0.19696621815749776,0.006117485864682327,F,0.03665137672237254,1.48821
Low,Underpair,10,90,4951.856899999998,0.0,0.9179778694444444,0.08202216388888889,C,0.00017615465176174083,0.0021499155559999926
