hand_category,A-high high,A-high medium,A-high low,Broadway,K/Q-high,Middle dry,Middle connected,Low
Two pair+,R,R,C/R,R,R,R,R,R
Overpair,—,—,—,C/R,C/R,C,C,C
Top pair,C/R,C,C,C,C,C,C,C
Underpair,C/R,C,C,C/R,C,C,C,C
Second pair,F/C,F/C,C/R,C/R,C/R,C,C,C
Third pair,R,C/R,C/R,C/R,C/R,C/R,C,C
Weak pair,F/C,F,C,F,C/R,C,C,C
2 overcards,—,—,—,—,F/C,F/C,F,F
2 overcards + draw,—,—,—,C/R,C,C/R,C,C
A-high,—,—,—,F,F,F/C,F,F/C
A-high + draw,—,—,—,C/R,C/R,C/R,C/R,C
Air,F,F,F,F,F/C,F/C,F/C,C
Air + draw,C/R,C/R,C,C/R,C/R,C/R,C/R,C/R
